,word,local_word,examples,local_examples
0,word,mot,key word|english word|first word|good word,le mot-clé|mot anglais|premier mot|bonne parole
1,and,et,,
2,and,et,,
3,and,et,He thinks of you day and night,Il pense à toi jour et nuit
4,and,mais,It's an embarrassing joke and not an insult,C'est embarrassant blague et pas une insulte
5,and,et,This is a squid and not an octopus,C'est un calmar et pas un poulpe
6,that,donc,,
7,that,ce,,
8,that,qui / qui / celui qui,I know the guy that sold you the disk,Je connais le gars qui vous a vendu le disque
9,that,le,On that evening I met Natalie|Do you see those two marks on the wall?,"Sur la soirée, j'ai rencontré Natalie|Voyez-vous ces deux marques sur le mur?"
10,that,que,Tell him that Margaret wanted to see him,Dites-lui que Margaret voulait le voir
11,that,pour,Turn the mirror so that the room becomes visually larger,Tourner le miroir de sorte que la pièce devient visuellement plus
12,for,pour,,
13,for,sur,,
14,for,pour,,
15,for,dans,,
16,for,par,,
17,for,de,,
18,for,parce que / pour,"Lord forgive me, for I've sinned","Seigneur, pardonne-moi, car j'ai péché"
19,with,avec,,
20,with no,sans,,
21,but,mais,,
22,but,cependant,,
23,but,et,,
24,but,mais,He's hardworking but not very intelligent,Il est laborieux mais pas très intelligent
25,but,et,You may tell that to others but not to me,Vous pouvez dire que pour les autres mais pas pour moi
26,but,néanmoins,"What he says is ugly, but it's quite true","Ce qu'il dit, c'est moche, mais c'est tout à fait vrai"
27,but,cependant,"Sam would have been best, but he was dead","Sam aurait été mieux, mais il était mort"
28,but,comme / sauf comme,There was nothing else to do but to wait,Il n'y avait rien d'autre à faire que d'attendre
29,but,pour ne pas,Never a day passes but he calls her,Jamais un jour ne passe sans qu'il l'appelle
30,you,vous,May I offer you a drink?,Puis-je vous offrir un verre?
31,you,tu,I'm thinking about you,Je pense à vous
32,this,ce,Do you recognise this object?,Reconnaissez-vous cet objet?
33,this,ce,I will explain this to you more fully later,Je vais vous expliquer ce à vous plus en détail plus tard
34,not,on ne saurait,,
35,not,peu,,
36,not,pas assez,,
37,not,tout à fait,,
38,not,mauvais,,
39,not,il est impossible,,
40,have,avoir,to have the right|to have children|to have consequences|to have access,pour avoir le droit|pour avoir des enfants|d'avoir des conséquences|pour avoir accès
41,have,être,to have time|to have their hands full|to have a product|to have nuclear weapons,pour avoir le temps|pour avoir les mains pleines|pour avoir un produit|posséder des armes nucléaires
42,have,recevoir,to have a chance|to have infections,pour avoir une chance|une infection
43,have,posséder,to have legitimacy|to have its own local particularities,la légitimité|avoir ses particularités locales
44,have,apporter,,
45,have,pouvoir,,
46,have got,être,,
47,have got,frapper,,
48,have to,придтись,,
49,have to,contraindre,,
50,have to,tomber,,
51,have to,suivre,,
52,have to,être nécessaire,,
53,have to,obliger,,
54,have to,avoir,,
55,letter,lettre,open letter|cover letter|official letter|registered letter,lettre ouverte|lettre d'accompagnement|lettre officielle|lettre recommandée
56,letter,lettre,drive letter|first letter|letter of the law|capital letter,lettre de lecteur|première lettre|la lettre de la loi|majuscule
57,letter,symbole,letters of genetic code,lettres de code génétique
58,plate,plaque,color plate|offset plate|phosphorous plate|gold plate,plaque de couleur|des plaques offset|le phosphore de la plaque|plaque en or
59,plate,cuisinière,tectonic plate|base plate|sandwich plate|wall plate,la plaque tectonique|plaque de base|plaque sandwich|plaque murale
60,plate,assiette,souvenir plates|dinner plate,assiettes souvenir|assiette
