ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","190","У их семьи есть три квартиры.","Their family has three flats.","Their, They, Them, Theirs","Their","family, families, familys, familier","family","has, had, have, having, haves, haveta, haveing, have led","has","three, threes, threten, threes'","three","flats, flat, flatter, flatting, flattest, flatbed, flatted, flats'","flats","",".","","","","","","","",""
"2","190","В каждом видео две части.","Each video has two parts.","Each","Each","video, videos, videoed, videoing, videos'","video","has, had, have, having, haves, haveta, haveing, have led","has","two, second, twice, couple, duet","two","parts, part, parted, parting, parter","parts","",".","","","","","","","",""
"3","190","В моем телевизоре шестьдесят четыре канала.","My TV has sixty-four channels.","My, I, Me, Mine","My","TV, TVS","TV","has, had, have, having, haves, haveta, haveing, have led","has","sixty-four, sixteenth, sixth, sixteen, sixty","sixty-four","channels, channel, channelled, channeled, channeling, channelling","channels","",".","","","","","","","",""
"4","190","В книге две части.","The book has two parts.","The, Then, Though","The","book, booked, booking, booker, books","book","has, had, have, having, haves, haveta, haveing, have led","has","two, second, twice, couple, duet","two","parts, part, parted, parting, parter","parts","",".","","","","","","","",""
"5","190","Эта программа занимает четыре месяца.","This program takes four months.","This, It'll, It's, Its","This","program, programs, programming, programmed, programing, programed","program","takes, take, taken, taking, took, taketa, taked, takeing","takes","four, fours, foured","four","months, monthly, month","months","",".","","","","","","","",""
"6","190","В этом здании двадцать два этажа.","This building has twenty-two floors.","This, It'll, It's, Its","This","building, builder, buildup, build","building","has, had, have, having, haves, haveta, haveing, have led","has","twenty-two, twenties, twentieth, twenty","twenty-two","floors, floor, floorer, flooring, floored, floors'","floors","",".","","","","","","","",""
"7","190","В этой группе два певца.","This band has two singers.","This, It'll, It's, Its","This","band, banded, bands, banding, bood","band","has, had, have, having, haves, haveta, haveing, have led","has","two, second, twice, couple, duet","two","singers, sings, singin, singing, singly, singsong, singularity, singularly","singers","",".","","","","","","","",""
"8","190","У каждой истории две стороны.","Every story has two sides","Every, Everybody's, Everyone's, Everything's, Everytime, Everyday, Everywhere, Everybody","Every","story, stories, storys, storying","story","has, had, have, having, haves, haveta, haveing, have led","has","two, second, twice, couple, duet","two","sides, side, siding, sided, sider, sode","sides","","","","","","","","","",""
"9","190","У меня пять уроков сегодня.","I have five lessons today.","I, me, my, mine","I","have, had, has, having, haves, haveta, haveing, have led","have","five, fives, fived, fiving, fiveing","five","lessons, lesson, lessoned, lessoning","lessons","today, todays, todays'","today","",".","","","","","","","",""
"10","190","У женщины два ребёнка.","A woman has two children.","A, an","A","woman, women, womaning, womans, womaned","woman","has, had, have, having, haves, haveta, haveing, have led","has","two, second, twice, couple, duet","two","children, child, childs, childer, chilt","children","",".","","","","","","","",""
"11","190","У каждой команды семь игроков.","Each team has seven players.","Each","Each","team, teams, teaming, teamed, teamin', team'd","team","has, had, have, having, haves, haveta, haveing, have led","has","seven, sevens, sevens'","seven","players, played, plays, playfulness, playing, playstation, playin, playroom","players","",".","","","","","","","",""
