,bigram,chi-sq
0,"('Coco', 'Lorum')",953612.0
1,"('Omby', 'Amby')",953612.0
2,"('librivox', 'recording')",937978.0327249941
3,"('Nimmie', 'Amee')",921822.9998824048
4,"('Bo', 'Peep')",919553.4642584113
5,"('Wul', 'Takim')",908200.9523609778
6,"('United', 'States')",905929.4999242848
7,"('Li', 'Mon')",894010.3124852532
8,"('Googly', 'Goo')",894009.3749410119
9,"('Tinker', 'Bell')",875797.9930083654
10,"('Ghip', 'Ghisizzle')",866917.2726414718
11,"('Cap', ""'n"")",829271.9226483407
12,"('Tik', 'tok')",812009.0812615451
13,"('button', 'Bright')",789382.7927353247
14,"('Su-', 'dic')",785325.0587872581
15,"('Woggle', 'Bug')",765791.8741938339
16,"('Tin', 'Woodman')",745333.529137714
17,"('Mary', 'Louise')",741939.6535643642
18,"(""'n"", 'Bill')",729884.0332460644
19,"('Coo-ee', 'oh')",695643.6944743121
20,"('De', 'Graf')",688716.166617438
21,"('Clayton', 'Vernon')",662227.2221844706
22,"('Nick', 'Chopper')",654933.4049582605
23,"('charcoal', 'burner')",653901.2570869487
24,"('Hee', 'haw')",637860.3342845894
25,"('Mount', 'Munch')",635737.9999650448
26,"('Jellia', 'Jamb')",578972.0355952249
27,"('Mountain', 'Ear')",560944.1176038788
28,"('efifth', ""'ry"")",544911.4283461147
29,"('Green', 'Monkey')",514921.85819293006
30,"('l', 'Frank')",491398.28256389877
31,"('Treasure', 'Chamber')",490981.7847504621
32,"('Diamond', 'Swan')",481797.71309279837
33,"('Lonesome', 'Duck')",476796.9998301164
34,"('Gray', 'Ape')",467460.07115825725
35,"('keek', 'eek')",456268.0382141962
36,"('Frank', 'Baum')",451551.8963578309
37,"('Johnny', 'Dooit')",440122.15376484254
38,"('Antoinette', 'Seaver')",421867.4776677266
39,"('Jason', 'Jones')",418867.44940041023
40,"('Supreme', 'Dictator')",409876.34194874606
41,"('Dr', 'Leete')",388849.5048683782
42,"('ma', ""'am"")",388495.5552547818
43,"('s', ""'pose"")",381418.3987818383
44,"('pum', 'Je')",370572.88083681156
45,"('Liberty', 'Girls')",346343.8397224927
46,"('Cowardly', 'Lion')",344305.2802692227
47,"('cockle', 'shell')",343288.799782549
48,"('glass', 'Cat')",330158.6275021741
49,"('Mamma', 'Bee')",328889.7325220837
50,"('Emerald', 'city')",318172.62970084406
51,"('|', '|')",314246.95653533854
52,"('Sol', 'Jerrems')",310172.23377283657
53,"('Uncle', 'Henry')",310154.8592924351
54,"('ag', ""'in"")",308514.08814945846
55,"('Lady', 'Aurex')",305908.21029949485
56,"('O', 'Gorman')",305117.43788583763
57,"('Master', 'Woodsman')",300676.46708243474
58,"('Prince', 'Marvel')",298633.55127600965
59,"('Aunt', 'Em')",291575.21342104796
60,"('Cookie', 'cook')",274239.02505480713
61,"('L', 'Frank')",273392.39754272066
62,"('Love', 'Magnet')",271236.9775505025
63,"('Tommy', 'Kwikstep')",225389.27259193853
64,"('nineteenth', 'century')",217315.45040602252
65,"('Bini', 'Aru')",209786.0599010278
66,"(""'"", 'll')",207857.49999437208
67,"('Jake', 'Kasker')",205879.0169968136
68,"('Christmas', 'Eve')",205550.85953788963
69,"('metal', 'Monarch')",204895.2531998776
70,"('Frank', 'BAUM')",198661.24991698144
71,"('Aunt', 'Jane')",195585.02826452148
72,"('Kiki', 'Aru')",191947.97827131848
73,"('Gran', ""'dad"")",191848.5275362051
74,"('grand', 'Gallipoot')",181205.59945061977
75,"('public', 'domain')",176889.90632839003
76,"('dingle', 'bell')",167283.85930324683
77,"('hoo', 'hoo')",165540.13869070506
78,"('Colonel', 'Hathaway')",160297.87583127085
79,"('Silas', 'Watson')",159110.6045869357
80,"('Santa', 'Claus')",151583.4557979191
81,"('Miss', 'Stearne')",149637.72803942967
82,"('Woggle', '-Bug')",147733.40834347537
83,"('New', 'York')",144402.02491625104
84,"('ha', 'hum')",140093.9278938643
85,"('traveling', 'machine')",134827.286991773
86,"('pro', 'German')",133537.0716554921
87,"('Laughing', 'valley')",130999.39279032208
88,"('don', ""'t"")",130588.83354604214
89,"('saw', 'horse')",122675.87612732274
90,"('line', '-Art')",119177.87433107694
91,"('do', 'not')",116183.62253142962
92,"('prime', 'minister')",114419.03989934067
93,"('Fog', 'bank')",113388.8627866563
94,"('fool', 'Killer')",112676.4467258973
95,"('mrs', 'Yoop')",112325.59496514648
96,"('Willie', 'price')",110750.1895135014
97,"('Ol', 'Swallertail')",110391.78842473897
98,"('visit', 'librivox.org')",106338.64921643303
99,"('Titus', 'price')",105315.7288140226
100,"('yellow', 'hen')",105094.7487355097
101,"('Uncle', 'Eben')",104762.08697016006
102,"('Chief', 'Steward')",102453.02849534315
103,"('twentieth', 'century')",101870.70503162939
104,"('red', 'Wagon')",101701.6397225949
105,"('Sky', 'island')",97272.56179841512
106,"('truth', 'Pond')",94716.15872788723
107,"('Dr', 'Anstruther')",93782.89532213636
108,"('', 'do')",93030.6487995404
109,"('Liberty', 'Girl')",92593.98302993183
110,"('pum', 'Jim')",92330.93275039429
111,"('yellow', 'Hen')",91373.44028518932
112,"('Aunt', 'Hannah')",89543.79245597952
113,"('won', ""'t"")",86726.86780655313
114,"('Betsy', 'Bobbin')",85046.67571153882
115,"('golden', 'Pig')",84629.06443585281
116,"('high', 'Ki')",83028.65996808276
117,"('wicked', 'Witch')",78817.44774195936
118,"('Queen', 'Cor')",75220.1716754167
119,"('art', 'drawing')",74110.90423998745
120,"('Ne', 'Joselyn')",73070.14082462773
121,"('Colonel', 'Weatherby')",72156.9873674242
122,"('“my', 'lord')",72093.97477183213
123,"('shaggy', 'man')",71942.89103051578
124,"('bramble', 'bush')",71803.59389535878
125,"('page', 'line')",71112.53040876219
126,"('Professor', 'Dyer')",71108.99806995715
127,"('hungry', 'tiger')",70669.80856545795
128,"('black', 'Sheep')",70390.36715853741
129,"('Will', 'Morrison')",68899.72265603118
130,"('Brown', 'bear')",68350.02693819447
131,"('tiger', 'Lily')",68105.85704548199
132,"('hum', 'hum')",64878.35196342011
133,"('lady', 'Aurex')",60611.375921154744
134,"('mrs', 'Sutton')",60579.95456374
135,"('Tin', 'Owl')",59762.40386539786
136,"('-Art', 'draw')",58758.96503606685
137,"('N', 'Joselyn')",58203.504526883116
138,"('electric', 'tube')",54235.02552773859
139,"('Jack', 'Pumpkinhead')",53736.97072658937
140,"('full', 'page')",53673.49627507744
141,"('high', 'Coco')",52469.72419985736
142,"('magic', 'Belt')",51485.97159593127
143,"('dinner', 'pail')",50434.97778594214
144,"('new', 'York')",49470.01927690796
145,"('Miss', 'Huckins')",49211.063300967515
