,eng_word,l1,l1_context,l2,l2_context
0,treat,régal,real treat for the eyes|delight | feast | real treat | special treat | ,угощение,morning treat|feast | 
1,treat,régal,real treat for the eyes|delight | feast | real treat | special treat | ,удовольствие,pleasure | fun | satisfaction | enjoyment | amusement | joy | delight | 
2,treat,délice,delight | delicacy | bliss | delicious treats | ,лакомство,delicacy | dainty | 
3,treat,délice,delight | delicacy | bliss | delicious treats | ,удовольствие,pleasure | fun | satisfaction | enjoyment | amusement | joy | delight | 
4,treat,soigner,to treat people|to treat angina|cure | heal | look after | care | look after | heal | care | ,лечить,to treat people|heal | cure | heal | dose | 
5,treat,soigner,to treat people|to treat angina|cure | heal | look after | care | look after | heal | care | ,вылечить,cure | heal | 
6,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,рассматривать,consider | see | view | regard | examine | review | 
7,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,относиться,include | apply | belong | relate | concern | view | regard | date back | 
8,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,рассматриваться,consider | view | address | examine | regard | see | review | construe | 
9,treat,traiter,to treat cancer|to treat disease|to treat diabetes|to treat depression|process | address | deal | handle | discuss | cover | process | ,обращаться,turn | contact | apply | appeal | address | deal | turn | reach out | 
10,treat,traiter,to treat cancer|to treat disease|to treat diabetes|to treat depression|process | address | deal | handle | discuss | cover | process | ,обрабатывать,to treat even vast skin areas|process | handle | process | handle | machine | cultivate | 
11,treat,friandise,real treat|natural pet treats|sweet | candy | delicacy | goody | pet treats | ,угощение,morning treat|feast | 
12,treat,gâterie,wholesome treat|sweet treats|,угощение,morning treat|feast | 
13,treat,festin,feast | banquet | ,угощение,morning treat|feast | 
14,treat,douceur,softness | sweetness | sweet | gentleness | mildness | smoothness | delicacy | meekness | kindness | ,удовольствие,pleasure | fun | satisfaction | enjoyment | amusement | joy | delight | 
15,treat,émail,enamel | ,no_equality,
16,diner,dîneur,,no_equality,
17,diner,no_equality,,diners,
18,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
19,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
20,dinner,dîner,gala dinner|romantic dinner|mess dinner|business dinners|diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
21,dinner,soir,evening | night | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
22,dinner,souper,formal dinner|group dinner|supper | diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
23,necessary,nécessaire,absolutely necessary|reasonably necessary|really necessary|still necessary|required | needed | needed | appropriate | essential | ,нужный,right | needed | correct | appropriate | proper | relevant | 
24,necessary,nécessaire,absolutely necessary|reasonably necessary|really necessary|still necessary|required | needed | needed | appropriate | essential | ,должный,proper | due | adequate | appropriate | 
25,necessary,indispensable,particularly necessary|essential | indispensable | vital | crucial | critical | needed | needed | imperative | ,обязательный,mandatory | compulsory | obligatory | binding | essential | indispensable | optional | 
26,necessary,indispensable,particularly necessary|essential | indispensable | vital | crucial | critical | needed | needed | imperative | ,неотъемлемый,integral | inalienable | essential | inherent | indispensable | vital | 
27,necessary,requis,required | requested | needed | needed | requisite | ,нужный,right | needed | correct | appropriate | proper | relevant | 
28,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,идти,to go home|to go further|to go straight|to go forward|come | walk | move | keep | run | walk | follow | 
29,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
30,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,ходить,walk | walk | run | walk around | wear | 
31,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,поехать,drive | go there | go back | go out | ride | 
32,go,entrer,to go into detail|to go to war|to go underground|to go down in history|enter | come into | type | enter | get | come | fall | ,быть,to go decisively|to go tomorrow|to go in vain|have | be | include | feature | get | come | offer | become | 
33,go,entrer,to go into detail|to go to war|to go underground|to go down in history|enter | come into | type | enter | get | come | fall | ,идти,to go home|to go further|to go straight|to go forward|come | walk | move | keep | run | walk | follow | 
34,go,passer,to go to the next section|to go to the next step|to go to the next screen|to go on the offensive|spend | pass | move | proceed | increase | switch | change | get | ,пройти,to go smoothly|to go here|to go too well|to go into her exam|pass | hold | took place | undergo | receive | host | walk | complete | 
35,go,passer,to go to the next section|to go to the next step|to go to the next screen|to go on the offensive|spend | pass | move | proceed | increase | switch | change | get | ,перейти,to go to the background image|to go into its pinwheel display|move | switch | cross | pass | proceed | navigate | shift | turn | 
36,go,partir,to go on an excursion|to go on a trip|to go up in smoke|to go on tour|leave | start | depart | leave | part | start | travel | ,отправиться,to go to summer camp|to go to pristine reefs|to go to this village|travel | set out | go out | head | embark | leave | depart | 
37,go,se rendre,to go to the polls|to go to the library|to go to the airport|to go to the party|visit | travel | get | reach | travel | proceed | drive | ,ехать,to go there directly|drive | travel | travel | ride | drive | 
38,go,accéder,to go to admin tab|to go to the virtual disk|to go to the second page|to go to the page|access | enter | get | navigate | access | reach | browse | gain access | ,идти,to go home|to go further|to go straight|to go forward|come | walk | move | keep | run | walk | follow | 
39,go,consulter,to go online|to go to the doctor|to go to the program web site|see | consult | refer to | view | visit | check | access | consult | review | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
40,go,continuer,to go on and on|to go straight|continue | continue | keep | remain | carry on | resume | ,идти,to go home|to go further|to go straight|to go forward|come | walk | move | keep | run | walk | follow | 
41,go,rendez-vous,to go to the crafts village|browse | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
42,go away,s'amenuiser,dwindle | off-~-wear off | dwindle | away-~-go away | ,уезжать,leave | go away | go away | 
43,go around,se promener,walk | walk | walk around | stroll | walk around | stroll | wander | wander around | ,обойти,bypass | circumvent | evade | bypass | outflank | finesse | tour | walk around | 
44,go around,se promener,walk | walk | walk around | stroll | walk around | stroll | wander | wander around | ,вращаться,rotate | revolve | spin | spin | rotate | spin around | move around | 
