,en,ru,fr,votes
0,fall,упасть,tomber,3
1,fall,падать,tomber,2
2,fall,пасть,tomber,2
3,fall,оказаться,tomber,3
4,fall,осень,automne,3
5,fall,падение,chute,2
6,fall,падение,baisse,1
7,fall,падение,déclin,1
8,fall,снижение,chute,1
9,fall,сокращение,chute,1
10,fall,снижаться,baisser,1
11,fall,попадать,no_equality,1
12,fall,приходиться,no_equality,1
13,fall,впадать,no_equality,1
14,fall,подпадать,no_equality,1
15,fall,влюбляться,no_equality,1
16,fall,обрушиться,no_equality,1
17,fall,попасться,no_equality,1
18,fall,грехопадение,chute,1
19,fall,осенний,no_equality,1
20,fall,опускаться,tomber,1
21,fall,выпадать,tomber,1
22,fall,,tomber,1
23,fall,,relever,1
24,fall,no_equality,tombe,1
25,fell,упасть,tomber,1
26,fell,пасть,tomber,1
27,fall down,упасть,tomber,1
28,fall down,падать,tomber,1
29,penetrate,проникнуть,pénétrer,1
30,penetrate,проникать,pénétrer,1
31,full,полный,complet,1
32,full,всеобъемлющий,complet,1
33,full,всесторонний,complet,1
34,complete,полный,complet,1
35,complete,всесторонний,complet,1
36,complete,дополнить,compléter,1
37,complete,завершить,compléter,1
38,complete,закончить,compléter,1
39,complete,завершение,compléter,1
40,comprehensive,полный,complet,1
41,comprehensive,всеобъемлющий,complet,1
42,comprehensive,комплексный,complet,1
43,comprehensive,всесторонний,complet,1
44,comprehensive,подробный,complet,1
45,comprehensive,исчерпывающий,complet,1
46,entire,полный,complet,1
47,entire,полный,entier,1
48,entire,полный,intégralité,1
49,entire,целый,entier,2
50,entire,целостный,no_equality,1
51,entire,весь,tout,1
52,entire,весь,complet,1
53,entire,весь,intégralité,1
54,entire,целиком,no_equality,1
55,entire,no_equality,ensemble,1
56,entire,целое,intégralité,1
57,entire,всего,intégralité,1
58,fully,полный,complet,1
59,fully,всесторонний,complet,1
60,later,впоследствии,ultérieurement,1
61,later,впоследствии,après,1
62,later,поздний,ultérieurement,1
63,later,поздний,après,1
64,later,последующий,ultérieurement,1
65,later,дальнейший,ultérieurement,1
66,later,после,après,1
67,later,спустя,après,1
68,later,через,après,1
69,subsequently,впоследствии,ultérieurement,1
70,subsequently,поздний,ultérieurement,1
71,subsequently,последующий,ultérieurement,1
72,agree,согласовать,convenir,2
73,agree,согласиться,convenir,2
74,agree,согласование,convenir,2
75,agree,соглашаться,accepter,2
76,agree,соглашаться,être d'accord,1
77,agree,соглашаться,convenir,1
78,agree,договариваться,convenir,2
79,agree,согласоваться,no_equality,1
80,agree,сходиться,no_equality,1
81,agree,одобрить,accepter,1
82,agree,одобрить,approuver,1
83,agree,быть согласным,no_equality,1
84,agree,сходиться во мнениях,no_equality,1
85,agree,сговориться,no_equality,1
86,agree,согласовывать,convenir,1
87,agree,признать,convenir,1
88,agree,признать,accepter,1
89,agree,,convenir,1
90,agree,,accepter,1
91,agree,no_equality,accord,1
92,suitable,no_equality,convenir,1
93,suit,no_equality,convenir,1
94,agreed,no_equality,convenir,1
95,actually,действительно,réellement,3
96,actually,действительно,effectivement,2
97,actually,действительно,véritablement,2
98,actually,действительно,vraiment,2
99,actually,действительно,en fait,1
100,actually,действительно,bien,1
101,actually,действительно,en effet,1
102,actually,на самый дело,réellement,2
103,actually,на самый дело,effectivement,1
104,actually,на самый дело,vraiment,1
105,actually,реально,réellement,2
106,actually,реально,effectivement,1
107,actually,реально,véritablement,1
108,actually,реально,vraiment,1
109,actually,фактически,réellement,3
110,actually,фактически,effectivement,2
111,actually,фактически,en fait,1
112,actually,фактически,en réalité,1
113,actually,фактически,même,1
114,actually,фактически,véritablement,1
115,actually,фактически,en effet,1
116,actually,фактически,ailleurs,1
117,actually,вправду,vraiment,1
118,actually,вправду,réellement,1
119,actually,правда,vraiment,1
120,actually,вообще-то,en fait,1
121,actually,вообще-то,vraiment,1
122,actually,вообще-то,en réalité,1
123,actually,вообще-то,plutôt,1
124,actually,вообще-то,justement,1
125,actually,вообще-то,vrai dire,1
126,actually,по существу,en fait,1
127,actually,по существу,en effet,1
128,actually,как ни странно,no_equality,1
129,actually,фактический,no_equality,1
130,really,действительно,réellement,1
131,really,действительно,effectivement,1
132,really,действительно,vraiment,1
133,really,на самый дело,réellement,1
134,really,на самый дело,effectivement,1
135,really,на самый дело,vraiment,1
136,really,реально,réellement,1
137,really,реально,effectivement,1
138,really,реально,vraiment,1
139,really,поистине,réellement,1
140,really,поистине,effectivement,1
141,really,очень,vraiment,1
142,really,совсем,vraiment,1
143,really,так,vraiment,1
144,really,серьёзно,vraiment,1
145,really,точно,vraiment,1
146,really,просто,vraiment,1
147,really,сильно,vraiment,1
148,really,особо,vraiment,1
149,really,правда,vraiment,1
150,really,по-настоящему,vraiment,1
151,front,впереди,devant,1
152,front,вперёд,devant,1
153,front,спереди,devant,1
154,front,прямо,devant,1
155,front,перед,devant,1
156,before,перед,devant,1
157,before,перед,avant,2
158,before,впереди,devant,2
159,before,ранее,auparavant,2
160,before,ранее,précédemment,1
161,before,ранее,avant,2
162,before,прежде,auparavant,3
163,before,прежде,précédemment,2
164,before,прежде,avant,3
165,before,прежде,déjà,1
166,before,прежде,passé,1
167,before,до это,auparavant,2
168,before,ранний,précédemment,1
169,before,ранний,avant,2
170,before,пока,avant,2
171,before,пока,avant que,1
172,before,прежде чем,avant,3
173,before,прежде чем,avant que,1
174,before,до тот,avant,2
175,before,до наступление,avant,2
176,before,до,avant,1
177,before,до,auparavant,1
178,before,до,précédant,1
179,before,пред,devant,1
180,before,накануне,juste avant,1
181,before,передо,devant,1
182,before,раньше,avant,1
183,before,раньше,déjà,1
184,before,раньше,précédemment,1
