ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","63","Вы пойдёте туда?","Will you be going there?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","going, go, gone, went, goes, gos, goed, gota","going","there, theres, thered, thering","there","","?","","","","","","","",""
"2","63","Он уезжает скоро?","Will he be leaving soon?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","he, him, his, it, its","he","be, is, been, are, was, were, will, shall","be","leaving, leave, leaves, left, leavest, loven, leav'd","leaving","soon, sooner, soonest, soa, sooned, soons","soon","","?","","","","","","","",""
"3","63","Вы будете возвращаться?","Will you be going back?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","going, go, gone, went, goes, gos, goed, gota","going","back, backed, backer, backing, backs","back","","?","","","","","","","",""
"4","63","Вы будете останавливаться там?","Will you be staying there?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","staying, stay, stayed, stays, stayest, staies, staied, stays'","staying","there, theres, thered, thering","there","","?","","","","","","","",""
"5","63","Вы уезжаете тоже?","Will you be leaving too?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","leaving, leave, leaves, left, leavest, loven, leav'd","leaving","too, already, else, yet, either, neither, or","too","","?","","","","","","","",""
"6","63","Вы останетесь надолго?","Will you be staying long?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","staying, stay, stayed, stays, stayest, staies, staied, stays'","staying","long, longer, longest, longing, longed, longs, longbed, long bed","long","","?","","","","","","","",""
"7","63","Ты приедешь обратно?","Will you be coming back?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","coming, came, come, comes, comest, comeing","coming","back, backed, backer, backing, backs","back","","?","","","","","","","",""
"8","63","Ты поедешь скоро?","Will you be going soon?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","going, go, gone, went, goes, gos, goed, gota","going","soon, sooner, soonest, soa, sooned, soons","soon","","?","","","","","","","",""
"9","63","Она придёт одна?","Will she be coming alone?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","she, her, hers","she","be, is, been, are, was, were, will, shall","be","coming, came, come, comes, comest, comeing","coming","alone, alongside, along","alone","","?","","","","","","","",""
"10","63","Ты уезжаешь скоро?","Will you be leaving soon?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","leaving, leave, leaves, left, leavest, loven, leav'd","leaving","soon, sooner, soonest, soa, sooned, soons","soon","","?","","","","","","","",""
"11","63","Я остановлюсь там?","Will I be staying there?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","I, me, my, mine","I","be, is, been, are, was, were, will, shall","be","staying, stay, stayed, stays, stayest, staies, staied, stays'","staying","there, theres, thered, thering","there","","?","","","","","","","",""
"12","63","Что я буду делать?","What will I be doing?","What, Where, When, Why, Who","What","will, is, be, been, are, was, were, shall","will","I, me, my, mine","I","be, is, been, are, was, were, will, shall","be","doing, do, does, did, done","doing","","?","","","","","","","",""
"13","63","Что мы будем играть?","What will we be playing?","What, Where, When, Why, Who","What","will, is, be, been, are, was, were, shall","will","we, our, us, ours","we","be, is, been, are, was, were, will, shall","be","playing, play, played, plays, plaied, plaies, plays'","playing","","?","","","","","","","",""
"14","63","Что мы будем есть?","What will we be eating?","What, Where, When, Why, Who","What","will, is, be, been, are, was, were, shall","will","we, our, us, ours","we","be, is, been, are, was, were, will, shall","be","eating, ate, eat, eaten, eats, eatest, eated, eatting","eating","","?","","","","","","","",""
"15","63","Мы вернёмся сюда?","Will we be coming back here?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","we, our, us, ours","we","be, is, been, are, was, were, will, shall","be","coming, came, come, comes, comest, comeing","coming","back, backed, backer, backing, backs","back","here, heres, hering, hered","here","","?","","","","","",""
"16","63","Вы заканчиваете скоро?","Will you be finishing up soon?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","finishing, finish, finished, finishes, finishs, finishes', finish's","finishing","up, upper, ups, upping, upped, upest, uping, uppest","up","soon, sooner, soonest, soa, sooned, soons","soon","","?","","","","","",""
"17","63","Вы будете есть с нами?","Will you be eating with us?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","eating, ate, eat, eaten, eats, eatest, eated, eatting","eating","with, withing, withim, withs","with","us, we, our, ours","us","","?","","","","","",""
"18","63","Кто будет присутствовать?","Who will be attending?","Who, Where, When, Why, What","Who","will, is, be, been, are, was, were, shall","will","be, is, been, are, was, were, will, shall","be","attending, attend, attended, attends, attendin'","attending","","?","","","","","","","","","",""
"19","63","Кого я буду играть?","Who will I be playing?","Who, Where, When, Why, What","Who","will, is, be, been, are, was, were, shall","will","I, me, my, mine","I","be, is, been, are, was, were, will, shall","be","playing, play, played, plays, plaied, plaies, plays'","playing","","?","","","","","","","",""
"20","63","С кем мы будем драться?","Who will we be fighting?","Who, Where, When, Why, What","Who","will, is, be, been, are, was, were, shall","will","we, our, us, ours","we","be, is, been, are, was, were, will, shall","be","fighting, fight, fought, fights, fightest, fighted","fighting","","?","","","","","","","",""
"21","63","И что я буду делать?","And what will I be doing?","And, Ands, Ood, Anded, Anding, Ander, Andren","And","what, where, when, why, who","what","will, is, be, been, are, was, were, shall","will","I, me, my, mine","I","be, is, been, are, was, were, will, shall","be","doing, do, does, did, done","doing","","?","","","","","",""
"22","63","И что вы будете подавать?","And what will you be serving?","And, Ands, Ood, Anded, Anding, Ander, Andren","And","what, where, when, why, who","what","will, is, be, been, are, was, were, shall","will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","serving, serve, served, serves","serving","","?","","","","","",""
"23","63","И что вы будете делать?","And what will you be doing?","And, Ands, Ood, Anded, Anding, Ander, Andren","And","what, where, when, why, who","what","will, is, be, been, are, was, were, shall","will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","doing, do, does, did, done","doing","","?","","","","","",""
"24","63","Вы будете заказывать?","Will you be ordering?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","ordering, order, orders, ordered, orderi, orderest","ordering","","?","","","","","","","","","",""
"25","63","Вы будете нанимать?","Will you be hiring?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","hiring, hire, hired, hires, hirebed, hir'd","hiring","","?","","","","","","","","","",""
"26","63","Вы будете менять?","Will you be changing?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","changing, change, changed, changes, changeing","changing","","?","","","","","","","","","",""
"27","63","Я буду чинить?","Will I be mending?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","I, me, my, mine","I","be, is, been, are, was, were, will, shall","be","mending, mend, mended, mends","mending","","?","","","","","","","","","",""
"28","63","Вы пойдёте?","Will you be going?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","going, go, gone, went, goes, gos, goed, gota","going","","?","","","","","","","","","",""
"29","63","Вы будете продавать?","Will you be selling?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","selling, sell, sold, sells, sollen, sell best","selling","","?","","","","","","","","","",""
"30","63","Ты будешь ждать?","Will you be waiting?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","waiting, wait, waited, waits, waitting","waiting","","?","","","","","","","","","",""
"31","63","Вы вернётесь?","Will you be returning?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","returning, return, returned, returns, returnest","returning","","?","","","","","","","","","",""
