"word_id","ref_id","setting_id","translate"
23715,2,1,"izin vermek, olanak tanımak"
6190377,2,1,"Her şey yoluna girecek."
6260909,2,1,"Henüz bu konuyu düşünmedim."
6191274,2,1,"Doğru yoldasınız. Doğru düşünüyorsunuz."
1641,2,1,"(gemi, uçak, tren) içinde"
33585,2,1,"yakın geçmişte, en son"
7157204,2,1,"Merkez orta saha oyuncusu"
6191282,2,1,"Hadi şu işi bitirelim."
17180,2,1,"yerine getirmek, icra etmek"
2787,2,1,"arasında (ikiden fazla şey)"
5231845,2,1,"Çok ciddiyim. Doğru söylüyorum."
1247727,2,1,"Kaybol. Defol git buradan."
4437075,2,1,"Her şey olacağına varır."
817304,2,1,"Şimdilik her şey yolunda."
173884,2,1,"-e karşın, rağmen"
1058391,2,1,"Benim için fark etmez."
40876,2,1,"bir kelimeyle bilinen demek"
12193902,2,1,"Burada kalmak istediğimi söyleyemem."
6191219,2,1,"Merak etme, kendim halledebilirim."
6191217,2,1,"Sen daha iyi bilirsin."
6260898,2,1,"Endişelenme. Rahatla biraz. Sakinleş."
474461,2,1,"özel ders veren öğretmen"
1042421,2,1,"yasa tasarısını kabul etmek"
21764461,2,1,"Defansif orta saha oyuncusu"
475043,2,1,"kamuya mal olmuş kişi"
286204,2,1,"izin vermek, yol açmak"
1042426,2,1,"diplomatik ilişkiler kurmak/tesis etmek"
1042437,2,1,"yasa tasarısını geri çevirmek"
480946,2,1,"bekle ve gör politikası"
488764,2,1,"-abilmek ek fiili"
474092,2,1,"dördüncü parmak, yüzük parmağı"
488619,2,1,"ilk duruma getirmek, sıfırlamak"
11652773,2,1,"Geç kalırsak ne olur?"
35550,2,1,"uzun saplı derin tava"
487458,2,2,"ayağa kalkmak, ortaya çıkmak"
11202299,2,1,"Sadece uçlarını düzeltin lütfen."
11485160,2,1,"Tam istediğim gibi, teşekkürler."
511671,2,1,"uyanmak / farkına varmak"
334590,2,1,"(uçak ile) yere inmek"
42018,2,1,"muamele etmek, tedavi etmek,davranmak"
11478564,2,1,"Uluslararası teslimat yapıyor musunuz?"
420749,2,1,"yol açmak, liderlik etmek"
487409,2,1,"meydan okumak, cesaret etmek"
11485165,2,1,"Mükemmel oldu, teşekkür ederim."
487405,2,1,"fırlatmak / şekil vermek"
4682638,2,1,"Genellikle at kuyruğu yapıyorum."
11485101,2,1,"Gece saç modeli istiyorum."
11485111,2,1,"Saç kesimi ne kadar?"
4682621,2,1,"Saç tıraşı olmak istiyorum."
487399,2,1,"(fiyat) arttırmak, teklif etmek,"
11242905,2,1,"Sadece birkaç santimetre lütfen."
37535,2,1,"hafifce,cok az , biraz"
474459,2,1,"iş bulunca çalışan işçi"
487462,2,2,"eski alışkanlara geri dönmek"
11259,2,1,"azalmak, gerilemek, kibarca reddetmek"
17347274,2,1,"En yakın mağazanız nerede?"
47371,2,1,"harfi harfine,kelimenin tam anlamiyla"
15495,2,1,"hayvanlarda uzun sivri diş"
356808,2,1,"(hastalık) çekmek, muzdarip olmak"
16816,2,1,"yakınlaşmakta olan, gelmekte olan"
474204,2,1,"su geçirmez naylon kumaş"
21989,2,1,"kesmek(sozu yarida kesmek )"
15204,2,1,"süresini uzatmak, ekleme yapmak"
11652737,2,1,"Müze gezisine gitmek istiyoruz."
11486732,2,1,"Bütün gece istifra ettim!"
11680084,2,1,"Düştüm ve bileğimi burktum."
11680079,2,1,"Dişi çekmek gerekiyor mu?"
45349,2,1,"kötü, aşağılık, ahlaksız, hain"
11680057,2,1,"Ağrı kesici kullanmanız gerekiyor."
11680105,2,1,"Sağlık sigortanız var mı?"
11679966,2,1,"Tedavi ne kadar sürecek?"
11679891,2,1,"Sizde HIV var mı?"
11679886,2,1,"Depresyonla nasıl baş edebilirim?"
14981,2,1,"özel olarak, sadece, yalnızca"
10932564,2,1,"Kendimi çok iyi hissetmiyorum."
11679825,2,1,"Seyahat edemeyecek kadar hastayım."
1831,2,2,"doğru/tam bir şekilde(exactly, precisely)"
11679960,2,1,"Sizce durum ciddi mi?"
1339671,2,1,"En yakın hastane nerede?"
9041,2,1,"şikayet etmek, yakınmak "
5572,2,1,"kitap kapağındaki tanıtım yazısı"
20696,2,1,"uçsuz bucaksız, engin, mükemmel"
12351,2,1,"ortadan kayboluş, gözden kayboluş"
11668,2,1,"inkar etmek, reddetmek, yasaklamak"
282872,2,1,"Otobüs ücreti ne kadar?"
20737,2,1,"bozmak, zarar vermek, zayıflatmak"
11679954,2,1,"Bütün hafta ateşim vardı."
40876,2,3,"Bilinen bir sayı eki"
51497,2,1,"sert bir şekilde, kabaca"
50687,2,1,"hoşnut kalmamış, memnun olmayan"
12836,2,1,"farklı, türlü türlü, muhtelif"
16689,2,2,"tahmin, önceden tahmin etmek"
11652699,2,1,"Turizm danışma bürosunu arıyorum."
2795227,2,1,"Burada ne kadar kalacaksınız?"
11652800,2,1,"Resepsiyon görevlisiyle konuşmam gerekiyor."
8945,2,1,"taahhut etmek (soz) baglilik"
11652819,2,1,"Yarınki gezinin broşürleri nerede?"
17309,2,1,"boş, beyhude, nafile, boşuna"
17347264,2,1,"Hesabımdan yanlış tutar düşüldü."
283294,2,1,"kır gezisi, saha gezisi"
17347265,2,1,"Siteniz ne kadar güvenli?"
15248,2,1,"elde etmek, çekip çıkarmak"
11381,2,1,"bozukluk, kusur, hata, sakatlık"
15923,2,1,"şiddetli, kıyasıya, çetin, azgın"
17347256,2,1,"Ücretsiz teslimatınız var mı?"
17363970,2,1,"Teslimat adresimi değiştirebilir miyim?"
17347251,2,1,"Ürünü nasıl iade edebilirim?"
17347254,2,1,"Rusya'ya gönderiyor musunuz?"
17347261,2,1,"Ayakkabı numaramı nasıl öğrenirim?"
17347285,2,1,"Siparişimi nasıl iptal edebilirim?"
15259,2,2,"fevkalade, olağanüstü, tuhaf, alışılmadık"
10535811,2,1,"Burada fotoğraf çekebilir miyim?"
17363877,2,1,"Ödeme için teşekkür ederiz."
11652811,2,1,"Şu otobüsü yakalamaya çalışmalıyız."
11848,2,2,"e rağmen (cümle almaz)"
11652682,2,1,"Ülkenize ilk kez geliyorum."
11652679,2,1,"Tek başıma seyahat ediyorum."
11652840,2,1,"Öğrenci konukevi (hostel) nerede?"
10479743,2,1,"Tekrar eder misiniz lütfen?"
39641,2,1,"uyan, uygun, münasip, elverişli"
26102,2,1,"ılımlı, mütevazi, alçakgönüllü, namuslu"
16823,2,1,"takviye etmek, sağlamlaştırmak, kuvvetlendirmek"
11250,2,2,"ilan etmek, beyan etmek"
11680699,2,1,"Nasıl söylenir bilmem ki..."
74136,2,1,"kafa yormak,uzun sure dusunmek"
11680649,2,1,"Çok antrenman yapmışa benziyorsun!"
12842,2,1,"saptırmak, başka yöne çevirmek"
22243,2,1,"yersiz, konudışı, alakasız, ilgisiz"
53736,2,1,"going to (konuşma dilinde)"
3898,2,1,"otantik, esas, gerçek, doğru"
16758,2,1,"taklidini yapmak, sahtesini çıkarmak"
9002814,2,1,"Bugünkü haberleri biliyor musun?"
6206,2,1,"yayın yapmak (radyo, tv)"
3692,2,1,"iş birliği, dernek, ortaklık"
18220,2,3,"yavaş yavaş, kademeli olarak"
15069,2,2,"var oluş, mevcut olma"
37360,2,1,"yetenekli, vasıflı, usta, becerikli"
