,Unnamed: 0,eng_word,rus,fr
30,30,during,во,no_equality
32,32,airport,авиапорт,no_equality
33,33,airport,аэровокзал,no_equality
34,34,airport,аэропортовый,no_equality
38,38,drum,барабанчик,no_equality
39,39,drum,барабанщик,no_equality
41,41,drum,ударный инструмент,no_equality
43,43,drum,барабанная перепонка,no_equality
44,44,drum,дробь,no_equality
45,45,drum,Бикс,no_equality
46,46,drum,барабанить,no_equality
47,47,drum,ударный,no_equality
52,52,empty,голодный,no_equality
54,54,empty,пустеть,no_equality
55,55,empty,высыпать,no_equality
57,57,empty,пустота,no_equality
58,58,empty,опорожнение,no_equality
59,59,empty,пустышка,no_equality
60,60,empty,порожняк,no_equality
61,61,empty,пустующий,no_equality
62,62,empty,порожняком,no_equality
64,64,dressed,облаченный,no_equality
65,65,dressed,заправленный,no_equality
66,66,dressed,выделанный,no_equality
67,67,dressed,украшенный,no_equality
68,68,dressed,обтесанный,no_equality
69,69,dressed,одеваемый,no_equality
70,70,dressed,одевший,no_equality
72,72,cafe,буфет,no_equality
76,76,flight,стая,no_equality
79,79,flight,взлет,no_equality
81,81,flight,облет,no_equality
82,82,flight,отлет,no_equality
83,83,flight,летный,no_equality
84,84,flight,бортовой,no_equality
85,85,flight,взлетный,no_equality
93,93,begin,наступить,no_equality
100,100,fact,сущность,no_equality
103,103,dream,чаяние,no_equality
106,106,dream,спать,no_equality
107,107,dream,помышлять,no_equality
108,108,dream,во сне,no_equality
114,114,alarm,предупредительный сигнал,no_equality
115,115,alarm,сигнализатор,no_equality
116,116,alarm,набат,no_equality
119,119,alarm,настораживать,no_equality
120,120,alarm,аварийный,no_equality
121,121,alarm,сигнализационный,no_equality
122,122,along,по,no_equality
125,125,along,вперед,no_equality
126,126,along,с собой,no_equality
127,127,along,рядом,no_equality
130,130,warm,сердечный,no_equality
133,133,warm,утеплить,no_equality
137,137,warm,разминка,no_equality
138,138,collide,сталкиваться,no_equality
139,139,collide,конфликтовать,no_equality
140,140,collide,наехать,no_equality
141,141,collide,соударяться,no_equality
142,142,collide,в конфликт,no_equality
148,148,excellent,первоклассный,no_equality
164,164,break,разбиться,no_equality
165,165,break,разразиться,no_equality
169,169,break,отколоться,no_equality
170,170,break,вырывать,no_equality
171,171,break,преломлять,no_equality
177,177,break,пролом,no_equality
179,179,break,передышка,no_equality
184,184,examination,экспертиза,no_equality
193,193,examination,разбирательство,no_equality
194,194,examination,ознакомление,no_equality
197,197,examination,экзаменационная сессия,no_equality
198,198,examination,экзаменационный,no_equality
199,199,examination,смотровой,no_equality
200,200,examination,досмотровый,no_equality
202,202,tiger,зверь,no_equality
203,203,tiger,тигриный,no_equality
206,206,engineer,сапер,no_equality
207,207,engineer,специалист,no_equality
208,208,engineer,звукоинженер,no_equality
211,211,engineer,ИТР,no_equality
213,213,engineer,теплотехник,no_equality
214,214,engineer,наладчик,no_equality
215,215,engineer,проектировать,no_equality
218,218,engineer,инженерный,no_equality
221,221,lion,львиный,no_equality
230,230,even,эвенский,no_equality
231,231,even,вечер,no_equality
232,232,even,эвен,no_equality
233,233,even,выравнивать,no_equality
234,234,even,и,no_equality
235,235,even,пусть,no_equality
244,244,field,пространство,no_equality
247,247,field,нива,no_equality
248,248,field,поприще,no_equality
249,249,field,промысел,no_equality
250,250,field,полевой,no_equality
251,251,field,промысловый,no_equality
252,252,field,походный,no_equality
253,253,field,в полевых условиях,no_equality
256,256,background,предпосылка,no_equality
264,264,background,фоновый режим,no_equality
271,271,background,корень,no_equality
272,272,background,исходная информация,no_equality
275,275,background,исток,no_equality
277,277,background,фоновая,no_equality
280,280,background,второстепенный,no_equality
287,287,easily,спокойно,no_equality
288,288,easily,доступно,no_equality
291,291,easily,нетрудно,no_equality
299,299,write,списать,no_equality
300,300,write,письменный,no_equality
302,302,ravioli,пельменный,no_equality
323,323,fire,поджечь,no_equality
324,324,fire,обстрелять,no_equality
325,325,fire,огневой,no_equality
326,326,fire,противопожарный,no_equality
327,327,fire,огненный,no_equality
332,332,fly,влететь,no_equality
333,333,fly,подлететь,no_equality
334,334,fly,отлететь,no_equality
335,335,fly,слетаться,no_equality
341,341,beaver,работяга,no_equality
342,342,beaver,бородач,no_equality
343,343,beaver,бобровый,no_equality
345,345,duck,парусина,no_equality
346,346,duck,утятина,no_equality
347,347,duck,душка,no_equality
348,348,duck,нырок,no_equality
349,349,duck,нагнуться,no_equality
350,350,duck,нырять,no_equality
351,351,duck,увернуться,no_equality
352,352,duck,наклонить,no_equality
353,353,duck,утиный,no_equality
355,355,coincide,совмещаться,no_equality
372,372,exactly,аккурат,no_equality
374,374,exactly,совершенно верно,no_equality
376,376,exhaustively,полностью,no_equality
377,377,exhaustively,тщательно,no_equality
378,378,apoplexy,удар,no_equality
379,379,apoplexy,инсульт,no_equality
380,380,apoplexy,кровоизлияние,no_equality
381,381,apoplexy,апоплексический,no_equality
384,384,coconut,кокосовый,no_equality
387,387,international,Интернационал,no_equality
388,388,synchrophasotron,синхрофазотрон,no_equality
392,392,best,наивысший,no_equality
398,398,parent,предок,no_equality
402,402,parent,родительница,no_equality
403,403,parent,родительский,no_equality
404,404,parent,исходный,no_equality
405,405,parent,вышестоящий,no_equality
406,406,parent,один из родителей,no_equality
409,409,ocean,дно океана,no_equality
410,410,ocean,океанский,no_equality
413,413,coincidental,совпадающий,no_equality
414,414,coincidental,случайное совпадение,no_equality
415,415,buzzer,сирена,no_equality
418,418,buzzer,пищалка,no_equality
419,419,buzzer,зуммерный,no_equality
423,423,century,центурия,no_equality
424,424,century,вековой,no_equality
425,425,century,в.,no_equality
427,427,euro,ЕРБ,no_equality
430,430,dynamite,динамитная шашка,no_equality
431,431,dynamite,динамитный,no_equality
432,432,dynamite,взрывной,no_equality
436,436,afraid,боящийся,no_equality
441,441,afraid,боязно,no_equality
443,443,peremptory,безапелляционный,no_equality
455,455,plate,плита,no_equality
457,457,plate,лист,no_equality
458,458,plate,номерной знак,no_equality
459,459,plate,дощечка,no_equality
461,461,plate,накладка,no_equality
462,462,plate,платформа,no_equality
463,463,plate,стяжка,no_equality
465,465,plate,толстый лист,no_equality
466,466,plate,листовой,no_equality
467,467,plate,пластинчатый,no_equality
469,469,fish,Фиш,no_equality
472,472,fish,удить,no_equality
473,473,fish,выудить,no_equality
476,476,farmer,хуторянин,no_equality
477,477,farmer,откупщик,no_equality
478,478,farmer,сельхозпроизводитель,no_equality
480,480,farmer,колхозник,no_equality
486,486,farmer,хозяин,no_equality
488,488,farmer,огородник,no_equality
489,489,farmer,хлебороб,no_equality
490,490,farmer,сельский хозяин,no_equality
491,491,farmer,единоличник,no_equality
493,493,farmer,фермерский,no_equality
496,496,drawing,волочение,no_equality
497,497,drawing,розыгрыш,no_equality
498,498,drawing,заимствование,no_equality
499,499,drawing,графика,no_equality
500,500,drawing,нанесение,no_equality
501,501,drawing,составление,no_equality
502,502,drawing,вытяжка,no_equality
504,504,drawing,чертежный,no_equality
505,505,drawing,графический,no_equality
506,506,drawing,рисующий,no_equality
507,507,drawing,привлекающий,no_equality
508,508,drawing,рисуемый,no_equality
511,511,explain,раскрывать,no_equality
515,515,explain,растолковать,no_equality
516,516,explain,объясниться,no_equality
517,517,explain,изъяснять,no_equality
520,520,typhus,сыпняк,no_equality
521,521,typhus,тифозный,no_equality
524,524,precedent,предыдущий,no_equality
525,525,precedent,прецедентный,no_equality
526,526,precedent,предшествующий,no_equality
536,536,advertisement,рекламоноситель,no_equality
550,550,issue,вытекание,no_equality
556,556,issue,оформить,no_equality
557,557,issue,эмиссионный,no_equality
559,559,fifty,полсотни,no_equality
560,560,fifty,пятьдесят человек,no_equality
561,561,fifty,полусотня,no_equality
563,563,fifty,пятидесятый,no_equality
564,564,thousand,тыс.,no_equality
566,566,thousand,множество,no_equality
567,567,thousand,тысяча долларов,no_equality
570,570,thousand,тысячный,no_equality
571,571,aged,престарелый,no_equality
573,573,aged,выдержанный,no_equality
574,574,aged,состаренный,no_equality
576,576,aged,постаревший,no_equality
577,577,aged,в возрасте,no_equality
583,583,file,массив,no_equality
586,586,file,файловый,no_equality
589,589,file,хранить,no_equality
591,591,pen,рейсфедер,no_equality
594,594,pen,Перу,no_equality
595,595,pen,пена,no_equality
596,596,pen,пенал,no_equality
599,599,pen,перьевой,no_equality
604,604,fan,фэн,no_equality
605,605,fan,болельщица,no_equality
606,606,fan,веялка,no_equality
609,609,fan,дуть,no_equality
610,610,fan,вентиляторный,no_equality
611,611,fan,фанатский,no_equality
612,612,fan,веерный,no_equality
613,613,pasta,паста,no_equality
614,614,pasta,блюда из макарон,no_equality
618,618,hot,популярный,no_equality
620,620,hot,горячительный,no_equality
621,621,hot,жарко,no_equality
622,622,hot,горячо,no_equality
623,623,hot,разгоряченный,no_equality
624,624,hot,горящий,no_equality
625,625,hot,накалиться,no_equality
631,631,engine,ядро,no_equality
632,632,engine,движитель,no_equality
633,633,engine,машинный,no_equality
634,634,engine,движущий,no_equality
635,635,advanced,передовой,no_equality
636,636,advanced,развитой,no_equality
637,637,advanced,дополнительный,no_equality
638,638,advanced,перспективный,no_equality
639,639,advanced,развитый,no_equality
640,640,advanced,опытный,no_equality
641,641,advanced,повышенный,no_equality
643,643,advanced,усовершенствованный,no_equality
644,644,advanced,расширенный,no_equality
646,646,advanced,выдвинутый,no_equality
647,647,advanced,углубленный,no_equality
648,648,advanced,опережающий,no_equality
649,649,advanced,авансированный,no_equality
650,650,expertise,экспертиза,no_equality
652,652,expertise,мастерство,no_equality
653,653,expertise,квалификация,no_equality
661,661,expertise,профессионализм,no_equality
672,672,dry,высыхание,no_equality
678,678,dry,просушивать,no_equality
679,679,dry,насухо,no_equality
681,681,fantastic,причудливый,no_equality
693,693,fantastic,сказовый,no_equality
697,697,fantastic,умопомрачительный,no_equality
699,699,fantastic,фантастически,no_equality
700,700,eighty,восемьдесят,no_equality
701,701,eighty,восемьдесят лет,no_equality
702,702,eighty,восьмидесятый,no_equality
704,704,bedroom,спальная,no_equality
705,705,fit,пригонка,no_equality
707,707,fit,помещаться,no_equality
708,708,fit,подходить,no_equality
709,709,fit,приспосабливать,no_equality
711,711,fit,установить,no_equality
712,712,fit,вписываться,no_equality
713,713,fit,поместить,no_equality
715,715,fit,вписать,no_equality
716,716,fit,влезть,no_equality
717,717,fit,встраивать,no_equality
718,718,fit,втиснуть,no_equality
719,719,fit,уложиться,no_equality
720,720,fit,пригодный,no_equality
721,721,fit,годный,no_equality
722,722,fit,нужный,no_equality
725,725,earn,приносить,no_equality
727,727,earn,получать доход,no_equality
740,740,especially,сугубо,no_equality
750,750,entrance,входная дверь,no_equality
753,753,entrance,ход,no_equality
754,754,entrance,проходная,no_equality
755,755,entrance,входной,no_equality
756,756,entrance,вступительный,no_equality
757,757,entrance,въездной,no_equality
763,763,extra,экстренный,no_equality
764,764,extra,особый,no_equality
765,765,extra,заемный,no_equality
766,766,extra,высший,no_equality
767,767,extra,экстра,no_equality
771,771,extra,массовка,no_equality
774,774,extra,отдельно,no_equality
775,775,extra,сверх,no_equality
776,776,singular,странный,no_equality
777,777,singular,исключительный,no_equality
779,779,singular,сингулярный,no_equality
780,780,singular,удивительный,no_equality
782,782,singular,сингулярно,no_equality
786,786,fall,попадать,no_equality
787,787,fall,приходиться,no_equality
788,788,fall,впадать,no_equality
789,789,fall,подпадать,no_equality
790,790,fall,влюбляться,no_equality
791,791,fall,обрушиться,no_equality
792,792,fall,попасться,no_equality
799,799,fall,осенний,no_equality
803,803,news,весточка,no_equality
812,812,news,новостной,no_equality
819,819,electric,электромонтажный,no_equality
820,820,electric,электроизмерительный,no_equality
821,821,electric,наэлектризованный,no_equality
824,824,enter,заключать,no_equality
827,827,enter,вступить,no_equality
845,845,start,вздрагивать,no_equality
851,851,start,затеять,no_equality
859,859,start,начальный,no_equality
863,863,alcohol,употребление алкоголя,no_equality
865,865,alcohol,алкогольный,no_equality
867,867,intelligent,разумный,no_equality
868,868,intelligent,осмысленный,no_equality
869,869,intelligent,продуманный,no_equality
871,871,intelligent,микропроцессорный,no_equality
872,872,intelligent,понятливый,no_equality
873,873,intelligent,мыслящий,no_equality
874,874,intelligent,программируемый,no_equality
875,875,intelligent,настраиваемый,no_equality
876,876,intelligent,понимающий,no_equality
879,879,refugee,беглец,no_equality
880,880,refugee,беженский,no_equality
885,885,enough,достаточное количество,no_equality
886,886,enough,маловато,no_equality
887,887,enough,достаточно многие,no_equality
897,897,behind,за спиной,no_equality
898,898,behind,в основе,no_equality
907,907,fair,ярмарочный,no_equality
908,908,fair,изрядный,no_equality
909,909,fair,удовлетворительно,no_equality
910,910,fair,попутный,no_equality
911,911,fair,чистовой,no_equality
920,920,genetically,генетический,no_equality
922,922,mug,рожица,no_equality
923,923,mug,бокал,no_equality
924,924,mug,рыло,no_equality
925,925,mug,балбес,no_equality
926,926,mug,мурло,no_equality
927,927,mug,ебальник,no_equality
928,928,mug,грабить,no_equality
934,934,countryside,сельский ландшафт,no_equality
935,935,countryside,сельский,no_equality
941,941,electricity,электрический,no_equality
