,trigram,PMI
0,"('Thornton', 'w.', 'Burgess')",30.829046791480952
1,"('Bow', 'wow', 'wow')",28.606654370144504
2,"('Caw', 'caw', 'caw')",28.557450372143734
3,"('spre', 'spre', 'spre')",26.543938191229852
4,"('Coretta', 'Scott', 'King')",26.440004500735057
5,"('Luther', 'King', 'Jr')",26.41400929220211
6,"('teeniest', 'weeniest', 'bit')",26.41400929220211
7,"('grumbly', 'rumbly', 'voice')",26.261362282191634
8,"('Dr', 'Martin', 'Luther')",26.166081778758524
9,"('Ho', 'ho', 'ho')",26.11807640584769
10,"('Martin', 'Luther', 'King')",25.866521496899615
11,"('visit', 'librivox.org', 'record')",25.015265600263916
12,"('ha', 'hum', 'hum')",24.943689357422073
13,"('lipperty', 'lipperty', 'lip')",24.759523686996484
14,"('Old', 'Man', 'Coyite')",24.621650579728197
15,"('please', 'visit', 'librivox.org')",24.25557992959763
16,"('mossy', 'green', 'log')",24.217612079398606
17,"('gentle', 'sister', 'south')",24.216230938647612
18,"('tender', 'young', 'carrot')",23.869872804939693
19,"('by', 'Thornton', 'w.')",23.50711869659359
20,"('blue', 'blue', 'sky')",23.383454752149788
21,"('little', 'JOE', 'OTTER')",23.356404299117116
22,"('volunteer', 'please', 'visit')",23.338042089789607
23,"('ever', 'so-great', 'grandfather')",23.24982066030894
24,"('green', 'lily', 'pad')",22.88563031984732
25,"('o', ""'"", 'clock')",22.849542202866523
26,"('ha', 'ha', 'ha')",22.79950976881632
27,"('Ol', 'Mistah', 'Buzzard')",22.771312876985665
28,"('Thief', 'thief', 'thief')",22.747433025927307
29,"('gree', 'lily', 'pad')",22.67704369803591
30,"('Jolly', 'round', 're')",22.672542305800963
31,"('mister', 'Wharf', 'Rat')",22.520294085341323
32,"('jolly', 'round', 're')",22.48667576048963
33,"('mister', 'Worldly', 'Wiseman')",22.479175098015734
34,"('foolish', 'green', 'flie')",22.46203080706505
35,"('old', 'straw', 'hat')",22.40038752163847
36,"('lil', 'ol', ""'"")",22.20943814795291
37,"('sister', 'south', 'Wind')",21.72123813478737
38,"('Danny', 'Meadow', 'Mouse')",21.53793092142431
39,"('mister', 'Bob', 'Cat')",21.453179889482787
40,"('happy', 'Jack', 'Squirrel')",21.333873336859668
41,"('hum', 'hum', 'laugh')",21.32866962284474
42,"('hollow', 'chestnut', 'tree')",21.305753218838515
43,"('Ah', 'reckon', 'yo')",21.170129778252583
44,"('fat', 'foolish', 'gree')",21.046993307786213
45,"('foolish', 'gree', 'fly')",20.935961995397466
46,"('planting', 'of', 'potatoe')",20.8808881775007
47,"('mother', 'west', 'Wind')",20.756821364541185
48,"('librivox.org', 'record', 'by')",20.752231194430124
49,"('by', 'John', 'Lieder')",20.614033900510105
50,"('Merry', 'Little', 'Breezes')",20.606041109756575
51,"('mother', 'West', 'Wind')",20.498727699977668
52,"('all', 'librivox', 'recording')",20.297386845288482
53,"('librivox', 'recording', 'all')",20.297386845288482
54,"('recording', 'all', 'librivox')",20.297386845288482
55,"('let', 'freedom', 'r')",20.295309845060302
56,"('Christian', 'What', 'mean')",20.24904401978138
57,"('old', 'Briar', 'patch')",20.244632293332312
58,"('Ah', 'reckon', 'Ah')",20.182003878540872
59,"('Slough', 'of', 'Despond')",20.103280598837152
60,"('foolish', 'green', 'fly')",20.0734655191474
61,"('United', 'States', 'Senate')",20.0120593600397
62,"('thousand', 'time', 'remove')",19.993955094018506
63,"('little', 'brown', 'bud')",19.964086876338353
64,"('new', 'York', 'city')",19.87398891341192
65,"('beautiful', 'red', 'coat')",19.858509451419046
66,"('big', 'green', 'lily')",19.850771562635675
67,"('big', 'goggly', 'eyes')",19.75966415893491
68,"('little', 'Bob', 'Whites')",19.678332394004478
69,"('Ol', ""'"", 'Mistah')",19.551634840346257
70,"('the', 'teeniest', 'weeniest')",19.545296955162062
71,"('dear', 'old', 'Briar')",19.463749582635902
72,"('big', 'gree', 'lily')",19.456492623523626
73,"('too', 'many', 'voter')",19.380605956761634
74,"('Bumble', 'the', 'Bee')",19.375371953719746
75,"('fat', 'foolish', 'green')",19.36249513351414
76,"('willful', 'little', 'Breeze')",19.356404299117113
77,"('four', 'fat', 'foolish')",19.34101540610369
78,"('be', 'Virginia', 'Tech')",19.3252210534852
79,"('big', 'lily', 'pad')",19.301214398045712
80,"('mister', 'Gray', 'Squirrel')",19.22174049882777
81,"('re', 'mister', 'Sun')",19.21603283922776
82,"('Old', 'mother', 'West')",19.214466402519985
83,"('great', 'ever', 'so-great')",19.149158321303744
84,"(""'"", 'Mistah', 'Buzzard')",19.136597341067414
85,"('to', 'Mount', 'Zion')",19.097061122673352
86,"('in', 'Southeast', 'Asia')",19.021316216500804
87,"('great', 'goggly', 'eyes')",19.002409642227526
88,"('and', 'roly', 'poly')",18.982202049900003
89,"('Lieder', 'the', 'Adventure')",18.9603344544409
90,"('that', 'lil', 'ol')",18.8583245840032
91,"('the', 'Rainbow', 'Coalition')",18.844857237020967
92,"('Jumper', 'the', 'Hare')",18.844857237020964
93,"('smack', 'his', 'lip')",18.8391708315814
94,"('Chug', 'a-rum', 'say')",18.826538273862358
95,"('Redtail', 'the', 'Hawk')",18.822830930690966
96,"('buttercup', 'and', 'daisy')",18.775751172432578
97,"('freedom', 'r', 'from')",18.731031498510884
98,"('a', 'librivox', 'recording')",18.707975869149504
99,"('round', 're', 'mister')",18.63018301758504
100,"('sit', 'perfectly', 'still')",18.58452579934372
101,"('re', 'mister', 'Sin')",18.582815169899384
102,"('secret', 'store', 'house')",18.582085692078792
103,"('and', 'rolly', 'poly')",18.56716455062116
104,"('Unc', 'Billy', 'Possum')",18.546466440596177
105,"('Digger', 'the', 'Badger')",18.54529695516206
106,"('on', 'foreign', 'oil')",18.503955537058438
107,"('four', 'year', 'ago')",18.46944973108381
108,"('reckon', 'yo', ""'"")",18.398995044107732
109,"('Old', 'King', 'bear')",18.32263687678883
110,"('old', 'butternut', 'tree')",18.282600143531333
111,"('so-great', 'grandfather', 'of')",18.243458256885408
112,"('a', 'sun', 'bath')",18.205475528620315
113,"('old', 'Dame', 'nature')",18.1974474629682
114,"('old', 'stone', 'wall')",18.117746131636444
115,"('Old', 'mother', 'nature')",18.087370101833216
116,"('public', 'domain', 'for')",18.081453192176703
117,"('mister', 'black', 'Snake')",18.077705976867442
118,"('the', 'slippery', 'slide')",18.042796614632874
119,"('crooked', 'little', 'path')",18.002054726537374
120,"('little', 'Joe', 'Otter')",17.99873301914524
121,"('Lone', 'little', 'path')",17.990082084871304
122,"('pull', 'his', 'whisker')",17.977757866490702
123,"('pet', 'chicken', 'of')",17.936029731693164
124,"('Drummer', 'the', 'Woodpecker')",17.901440765387335
125,"('big', 'hickory', 'tree')",17.7422471058575
126,"('librivox', 'recording', 'be')",17.74025855276405
127,"('Miner', 'the', 'Mole')",17.70879568744494
128,"('Old', 'man', 'Coyote')",17.705627593250494
129,"('Sun', 'have', 'climbe')",17.694925343392637
130,"('my', 'fellow', 'citizen')",17.668515031234456
131,"('conclude', 'Grandfather', 'Frog')",17.64904516703623
132,"('yo', ""'"", 'Brer')",17.637154781302495
133,"('Merry', 'little', 'Breezes')",17.628519427556316
134,"('lady', 'and', 'gentleman')",17.623748078987525
135,"('stiff', 'and', 'sore')",17.54479673759271
136,"('record', 'by', 'John')",17.543644572618703
137,"('his', 'hind', 'leg')",17.53321637290178
138,"('Brow', ""'s"", 'boy')",17.525955787473706
139,"('the', 'General', 'assembly')",17.522929142133606
140,"('say', 'Christian', 'What')",17.48637791528382
141,"('settle', 'he', 'comfortably')",17.42162516078644
142,"('old', 'mother', 'west')",17.417827524225558
143,"('old', 'apple', 'tree')",17.38213581708225
144,"('farmer', 'Brow', ""'s"")",17.371915708104805
145,"('old', 'tree', 'trunk')",17.365062303723313
146,"('clear', 'his', 'throat')",17.361901357823765
147,"('harder', 'than', 'ever')",17.361077411410683
148,"('farmer', 'Brown', ""'s"")",17.35017219516004
149,"('mister', 'Meadow', 'Mouse')",17.33283691689103
150,"('Brown', ""'s"", 'boy')",17.32823971998388
151,"('spread', 'his', 'wing')",17.316174084166637
152,"('hundred', 'and', 'fifty')",17.290324345262338
153,"('other', 'Merry', 'Little')",17.28730481935892
154,"('Dear', 'little', 'Pool')",17.278520434678793
155,"('mister', 'Bob', 'white')",17.24930755611714
156,"(""'s"", 'baby', 'brother')",17.21653066479117
157,"('mister', 're', 'Squirrel')",17.202881471576454
158,"('September', 'the', '11')",17.194799708077923
159,"('world', 'war', 'second')",17.17091103562645
160,"('Merry', 'little', 'Breeze')",17.163759221174722
161,"('lipperty', 'lip', 'as')",17.129114979498546
162,"('old', 'mother', 'nature')",17.123885724125795
163,"('very', 'fine', 'gentleman')",17.09273546937883
164,"('Unc', ""'"", 'Billy')",17.072370707705634
165,"('find', 'common', 'ground')",17.071388913623824
