ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","24","У меня никогда не было приключения.","I've never had an adventure.","I've, I'd, I'll, I'm","I've","never, nevers, never ming","never","had, has, have, having, haves, haveta, haveing, have led","had","an, a","an","adventure, adventures, adventured, adventuring","adventure","",".","","","","","","","",""
"2","24","Я не приготовил ничего.","I haven't prepared anything.","I, me, my, mine","I","haven't, hadn't, hasn't","haven't","prepared, prepare, preparing, prepares, preparest, prepareing","prepared","anything, anytime","anything","",".","","","","","","","","","",""
"3","24","Ты не слышал ничего.","You haven't heard anything","You, Your, Yours","You","haven't, hadn't, hasn't","haven't","heard, hear, hearing, hears, horne, heared, hearther, hearred","heard","anything, anytime","anything","","","","","","","","","","","",""
"4","24","Мы не меняли ничего.","We haven't changed anything.","We, Our, Us, Ours","We","haven't, hadn't, hasn't","haven't","changed, change, changing, changes, changeing","changed","anything, anytime","anything","",".","","","","","","","","","",""
"5","24","Вы не достигли ничего.","You haven't achieved anything.","You, Your, Yours","You","haven't, hadn't, hasn't","haven't","achieved, achieve, achieving, achieves, achieveing, achiev'd","achieved","anything, anytime","anything","",".","","","","","","","","","",""
"6","24","Я не говорил никому.","I haven't told anyone.","I, me, my, mine","I","haven't, hadn't, hasn't","haven't","told, tell, telling, tells, tellest, tollen","told","anyone","anyone","",".","","","","","","","","","",""
"7","24","Вы не пропустили ничего.","You haven't missed anything.","You, Your, Yours","You","haven't, hadn't, hasn't","haven't","missed, miss, missing, misses, misser","missed","anything, anytime","anything","",".","","","","","","","","","",""
"8","24","Я не спрашивал никого.","I haven't asked anyone.","I, me, my, mine","I","haven't, hadn't, hasn't","haven't","asked, ask, asking, asks, askest, asks'","asked","anyone","anyone","",".","","","","","","","","","",""
"9","24","Я никогда не использовал магию.","I've never used magic.","I've, I'd, I'll, I'm","I've","never, nevers, never ming","never","used, use, using, uses, useta, useing, use's","used","magic, magics, magics'","magic","",".","","","","","","","","","",""
"10","24","Я не показывал никому.","I haven't shown anyone.","I, me, my, mine","I","haven't, hadn't, hasn't","haven't","shown, show, shower, showing, showed, shows, showest","shown","anyone","anyone","",".","","","","","","","","","",""
"11","24","Вы не видели ничего.","You haven't seen anything.","You, Your, Yours","You","haven't, hadn't, hasn't","haven't","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","anything, anytime","anything","",".","","","","","","","","","",""
"12","24","Мы не заказывали ничего.","We haven't ordered anything.","We, Our, Us, Ours","We","haven't, hadn't, hasn't","haven't","ordered, order, ordering, orders, orderi, orderest","ordered","anything, anytime","anything","",".","","","","","","","","","",""
