"word_id","ref_id","setting_id","translate"
85345,2,1,"dağıtmak, serpmek"
235754,2,1,"Frenk soğanı"
17211,2,1,"ateş püskürmek"
35736,2,1,"eğitimle ilgili"
188514,2,1,"resim yazısı"
19276,2,4,"manşette vermek"
475243,2,1,"adli kayıt"
29695,2,1,"göbek (büyük)"
12231,2,3,"çukur oluşturmak"
23369,2,5,"büyük beden"
5866,2,3,"şişeye doldurmak"
39227,2,1,"savaş hilesi"
14404,2,4,"askere kaydetmek"
474543,2,1,"faydalı koşullar"
577645,2,1,"sakız çiğnemek"
474831,2,1,"derinlemesine habercilik"
576214,2,1,"aşağıya kaymak"
3562,2,2,"berrak söyleyiş"
2934,2,3,"hayvanlarla ilgili"
38595,2,1,"küçük dürbün"
1820,2,3,"itibar etmek"
36488,2,1,"pul (süs)"
560599,2,1,"yutkunma zorluğu"
430880,2,1,"yakın arkadaş"
240731,2,1,"finanse ediyor"
72326,2,3,"güven belgesi"
474594,2,1,"yayında olmak"
356547,2,1,"görme engelli"
3667,2,4,"ileri sürmek"
177812,2,2,"bir bakıma"
103975,2,3,"büyüklük tasladı"
72686,2,3,"kicked out"
15495,2,4,"zehirli diş"
4563814,2,1,"intikal vergisi"
534997,2,1,"havlu askısı"
203076,2,1,"nominal değer"
48700,2,3,"yazı tipi"
22107,2,5,"işgal, tecavüz"
42394,2,2,"tünel açmak"
122599,2,2,"forvet oyuncusu"
41320,2,5,"kalay, teneke"
130650,2,1,"iplik kurdu"
16287,2,3,"gösterişli, çarpıcı"
41777,2,4,"çekme gücü"
38541,2,3,"write (2)"
4949151,2,1,"gol çizgisi"
734124,2,1,"klasik müzik"
13274,2,1,"oyun yazarı"
23012,2,1,"golf pantolonu"
15234,2,1,"kökünden halletmek"
4152,2,1,"durgun su"
5698,2,1,"süslü sözler"
521498,2,1,"satış temsilcisi"
485839,2,1,"yapamayacak durumda"
6439,2,1,"beceriksiz kimse"
1884,2,3,"razı olmak"
17988,2,4,"sticky-yapışkan"
388556,2,1,"sıçrama-frogging"
23645,2,2,"kanun koyucu"
18063,2,1,"vaftiz anası"
21720,2,1,"borcunu ödeyememe"
460753,2,1,"eğer öyleyse"
126401,2,1,"yarı iletkenler"
32652,2,5,"hava basmak"
455461,2,1,"ayırmak, bölmek"
454093,2,1,"uçup gitti"
415337,2,1,"torpido gözü"
415083,2,1,"tuvalet kâğidi"
868502,2,1,"çaba göstermek"
780620,2,1,"ile bağlanmak"
37902,2,3,"hamur gibi"
383411,2,1,"toplu halde"
380765,2,1,"garantiye almak"
371285,2,1,"ayağa fırladı"
39070,2,3,"hammadde stoğu"
360672,2,1,"açlık grevi"
346699,2,3,"anlatmak,açıklamak,yana yatmak(gemi)"
345442,2,1,"hiç endişelenmeyin"
314197,2,1,"iş güvenliği"
313906,2,1,"iş arayan"
319448,2,1,"kayıt defterleri"
202888,2,3,"bu taraftan"
407623,2,1,"cavab vermek"
46668,2,2,"anayasaya uygunluk"
203100,2,3,"alel acele"
302313,2,1,"içine yerleşmek"
206887,2,3,"gitgide, gittikçe"
366937,2,3,"imkanı yok"
286937,2,3,"uğrayıp geçmek"
281672,2,1,"hoş karşılanmaz"
249311,2,1,"batağa saplanmış"
248300,2,3,"içine düşmek"
247833,2,1,"kendini kaybetmek"
326099,2,1,"gün batımı"
354691,2,1,"sosyal bilgiler"
54264,2,4,"scrambled egg(omlet)"
224118,2,1,"şimdiye kadar"
108760,2,1,"optimize edilmiş"
211526,2,1,"her zaman"
6995,2,4,"manşet atmak"
202128,2,1,"bağlı olmak"
200552,2,2,"den üstün"
200273,2,2,"elden ele"
192476,2,2,"çok fazla"
12350,2,5,"unutulup gitmek"
189180,2,1,"yaymak, göndermek"
189153,2,1,"derin uykuda"
185408,2,2,"dikkat çekme"
474635,2,1,"mizah dergisi"
107723,2,2,"kopyasını yapmak"
180546,2,3,"boşa harcamak"
177507,2,4,"cesaretini kırmak"
475121,2,1,"niş gazete"
475087,2,1,"bilinçli muhabir"
19712,2,5,"uzun yürüyüş"
