"word_id","ref_id","setting_id","translate"
186891,1,1,"бывшая жена"
424319,1,1,"приемный родитель"
915447,1,1,"ярко-розовый"
161361,1,1,"светло-розовый"
1079425,1,1,"холодные цвета"
211405,1,1,"бывший муж"
136291,1,1,"с отвращением"
1084646,1,1,"светло-оранжевый"
18897,1,1,"сводная сестра"
10119,1,1,"двоюродный брат/сестра"
7364,1,1,"быть причиной"
1079428,1,1,"ярко-зелёный"
45967,1,1,"юноша, девушка"
19938,1,1,"медовый месяц"
53701,1,1,"ванная комната"
122982,1,1,"дед, бабушка"
151617,1,1,"светло-коричневый"
5363,1,1,"шерстяное одеяло"
18964,1,1,"рука (кисть)"
1079427,1,1,"тёмно-зелёный"
37289,1,1,"невестка, свояченица"
63486,1,1,"светло-зеленый"
118185,1,1,"светло-серый"
57696,1,1,"двоюродная бабушка"
474149,1,1,"освежитель воздуха"
1016903,1,1,"душевая кабина"
14112,1,1,"смущённый; сконфуженный"
23715,1,2,"позволять, разрешать"
9153,1,1,"озабоченный, встревоженный"
23522,1,1,"вести, приводить"
3805,1,1,"верность, привязанность"
286684,1,1,"чувство юмора"
12175,1,2,"достоинство, гордость"
16668,1,1,"заставлять, принуждать"
939,1,1,"иметь возможность"
33721,1,1,"красная смородина"
7591,1,1,"шанс, возможность"
15391,1,1,"потерпеть неудачу"
21136,1,1,"возрастать, увеличиваться"
474255,1,1,"окрылённый успехом"
3136,1,1,"беспокойство, тревога"
7512,1,1,"точный, определённый"
474132,1,1,"электрический обогреватель"
33324,1,3,"выражение восторга"
406570,1,1,"электрическая плита"
474147,1,1,"махровое полотенце"
474148,1,1,"подметать пол"
44589,1,1,"идти, гулять"
180263,1,1,"стиральная машина"
25181,1,1,"иметь значение"
7139,1,1,"нести, перевозить"
42427,1,1,"вращать, поворачивать"
17769,1,1,"получать, добиваться"
8872,1,1,"комедийный актёр"
48980,1,1,"озабоченный, обеспокоенный"
136185,1,1,"махровое полотенце"
216546,1,1,"полотенце кухонное"
6983,1,1,"капризный, раздражительный"
23581,1,1,"оставлять, уезжать"
10209600,1,1,"стендап-комедия"
17720,1,1,"искренне; неподдельно"
36537,1,1,"обслуживать, служить"
1042389,1,1,"комнатный обогреватель"
7606,1,3,"менять, изменять"
4642,1,1,"быть, находиться"
334282,1,1,"нервное расстройство"
2024,1,1,"изумление, восхищение"
25012,1,2,"отмечать, штамповать"
224571,1,1,"яичница-глазунья"
224515,1,1,"средний палец"
19850,1,1,"отпуск, каникулы"
86907,1,1,"двоюродный дедушка"
36569,1,1,"размещать, устанавливать"
13618,1,1,"во время"
19723,1,1,"себя (сам)"
26671,1,1,"должен, обязан"
10735,1,1,"резать, разрезать"
182846,1,1,"указательный палец"
13293,1,1,"тащить, рисовать"
464,1,2,"английский язык"
45561,1,1,"в пределах"
45762,1,1,"хотел бы"
16578,1,2,"следовать, сопровождать"
40894,1,1,"себя (сами)"
42308,1,1,"пробовать, пытаться"
474256,1,1,"остроумное замечание"
15465,1,1,"хорошо знакомый"
40876,1,1,"определённый артикль"
67,1,1,"адамово яблоко"
37819,1,1,"таким образом"
11498,1,1,"восхитительный, очаровательный"
48382,1,1,"ужасно голодный"
228465,1,1,"идти, ехать"
21533,1,1,"получение наследства"
4015,1,1,"страх, трепет"
44758,1,2,"наблюдать, смотреть"
4509,1,1,"основывать, базироваться"
209524,1,1,"безалкогольные напитки"
190400,1,1,"проверять (амер.)"
112349,1,1,"добрый, мягкосердечный"
5245,1,1,"день рождения"
6852,1,2,"мочь, уметь"
14856,1,1,"когда-либо"
156268,1,1,"сестра-двойняшка"
1039302,1,1,"жить с"
32872,1,1,"четыре близнеца"
128407,1,1,"продукт питания"
5245,1,2,"день рождения"
1695774,1,1,"страшный, ужасный"
1042355,1,1,"проводить конференцию"
18897,1,2,"единокровная сестра"
3066,1,1,"ожидание, предчувствие"
486945,1,1,"хотеть пить"
421138,1,1,"вареные яйца"
31471,1,1,"вероятный, возможный"
2231,1,1,"дневное время"
847491,1,1,"карие глаза"
37976,1,1,"кто-нибудь"
2047,1,1,"обожание, благоговение"
1368501,1,1,"Подумай хорошенько."
41038,1,1,"грудная клетка"
3836,1,1,"привлекательность, притягательность"
220805,1,1,"новобрачный(-ая)"
10848,1,1,"молочные продукты"
40544,1,1,"учить, обучать"
17548,1,1,"газовая плита"
133648,1,1,"болеутоляющее средство"
190519,1,1,"Время вышло."
23913,1,1,"любить, нравиться"
474131,1,1,"осветительные устройства"
540897,1,1,"обручальное кольцо"
1079550,1,1,"после полуночи"
606778,1,1,"генеалогическое древо"
11848,1,1,"несмотря на"
6537,1,1,"деятельный; занятой"
89027,1,1,"брат-близнец"
9307,1,2,"смущённый; озадаченный"
20326,1,1,"делать больно"
45050,1,1,"хорошо жареный"
174183,1,1,"друг другу"
62522,1,1,"с энтузиазмом"
11692,1,1,"зависимый, подвластный"
38942,1,1,"сводная сестра"
44750,1,1,"тратить впустую"
18877,1,1,"единокровный брат"
5720338,1,1,"Выслушайте меня!"
22280,1,3,"недовольство, раздражение"
21464,1,1,"информировать, сообщать"
6190365,1,1,"Так проще."
10931,1,1,"осмеливаться, сметь"
24539,1,2,"страсть, жажда"
211629,1,1,"через день"
10666,1,2,"любопытный; любознательный"
9773,1,1,"авторское право"
39564,1,1,"достигать цели"
48484,1,1,"заменитель сахара"
276328,1,1,"Еще спрашиваешь!"
6426,1,1,"сдобная булка"
27013,1,1,"ни один"
202700,1,1,"мусорное ведро"
19588,1,1,"себя (сама)"
40892,1,1,"основная мысль"
10877,1,1,"черт побери"
41534,1,1,"сегодня вечером"
43669,1,1,"вплоть до"
40391,1,1,"пивная кружка"
40156,1,2,"сочувствие; сострадание"
320245,1,1,"на завтрак"
3156,1,2,"апатия, безразличие"
53693,1,1,"более широкое"
53696,1,1,"процесс решения"
8330,1,1,"кульминационный момент"
476164,1,1,"скрытая ирония"
15125,1,1,"(жизненный) опыт"
23741,1,1,"салат-латук"
7277,1,1,"трагический исход"
180377,1,1,"положить трубку"
476165,1,1,"эпическая поэзия"
386488,1,1,"ржаной хлеб"
27066,1,3,"футбольные ворота"
474334,1,1,"заменитель сахара"
39129,1,1,"прекращать, останавливаться"
488620,1,1,"убивать, уничтожать"
108355,1,1,"лыжный спорт"
190495,1,1,"проезжать мимо"
1079553,1,1,"по понедельникам"
153393,1,1,"с удовольствием"
476169,1,1,"любовный роман"
182934,1,1,"делать успехи"
476161,1,1,"детективный роман"
20660,1,2,"представлять себе"
487436,1,1,"ударять, бить"
2186,1,1,"позволить себе"
1079949,1,1,"кривой нос"
13725,1,1,"ранний, начальный"
454556,1,1,"цветочный горшок"
41451,1,2,"палец ноги"
4337514,1,1,"Весьма признателен."
37980,1,1,"что-либо"
474313,1,1,"зелёный чай"
1079951,1,1,"пухлое лицо"
1079969,1,1,"страдальческое лицо"
40703,1,1,"иметь склонность"
476144,1,1,"академическая драма"
10012,1,1,"мог бы"
488785,1,1,"обувать, подковывать"
1118198,1,1,"морской слон"
476150,1,1,"чёрная комедия"
37221,1,2,"с, после"
13044,1,1,"не надо"
28953,1,2,"свой собственный"
4711,1,1,"потому что"
44418,1,1,"словарный запас"
