,word,oxford_sensewords,compared_sensewords,comparison_value
0,word,"['mot', 'bruit [masculine] qui court', 'parole', 'formuler', 'nouvelles']","['mot', 'parole', 'terme', 'propos', 'mention', 'expression', 'discours', 'formuler', 'libeller']",0.8999999999999999
1,the,"['les', 'la (before a consonant) / l’…', 'le (before a consonant) / l’ (before a vowel)', 'la (before a consonant) / l’ (before a vowel)']",['le'],0.25
2,and,"['(et)', '(indique une intention ou un but)', 'plus', 'et', '(et même)', 'de']",['et'],0.25
3,that,"['que (before a consonant) / qu’ (before a vowel)', 'cette', 'cette … (là)', 'comme…', 'celui/celle-là', 'qui', 'ce (before a consonant) / cet (before a vowel)', 'ce (before a consonant) / c’ (before a vowel)', 'cela / ça', 'si', 'tellement', 'ce (before a consonant) / cet (before a vowel) … (là)', 'que']","['que', 'ce', 'ce... -là', 'cela / ça / ce']",0.3846153846153846
4,for,"['en', 'en faveur de', 'malgré', 'pour', 'en raison de', 'pendant', 'en direction de', 'car']","['car', 'pour', 'de', 'à', 'dans']",0.4375
5,with,"['(avec)', 'contre', 'pour', 'en + verbe au participe présent', 'à', '(contre)', 'avec', 'à/au…', 'de']","['avec', 'à', 'par']",0.2777777777777778
6,but,"['mais', 'excepté', 'sauf']","['mais', 'sauf', ""à l'exception de""]",0.5
7,you,"['tu/toi/te', 'espèce de', 'on', 'tu/vous', 'vous']","['tu', 'vous', 'vous', 'te', 'toi / vous']",0.3
8,this,"['cette', 'ce (before a consonant) / cet (before a vowel) / cette', 'à venir', 'ce (before a consonant) / cet (before a vowel)', 'qui vient', 'ce (before a consonant…', 'cette … ci', 'ce (before a consonant) / cet (before a vowel) … (ci)']","['ce', 'ce... -ci / celui-ci', 'ce / ceci']",0.5
9,not,"['ne…pas', 'pas', 'non', 'ne … pas', 'n’est-ce pas']","['pas', 'non']",0.5
10,have,"['manger', 'recevoir', 'faire', 'avoir', 'être', 'prendre (du café', 'permettre', 'faire venir', 'boire', 'faire faire (qqch)', 'du thé)']","['avoir', 'disposer', 'être', 'posséder', 'faire', 'prendre', 'obtenir', 'présenter', 'bénéficier', 'devoir / être obligé de', 'avoir / être']",0.5
11,letter,['lettre'],"['lettre', 'courrier']",1.0
12,plate,"['assiette', 'plaque [feminine] d’immatriculation', 'dentier', 'argenterie', 'plaque', 'planche', 'plaque [feminine] minéralogique']","['plaque', 'assiette', 'tôle', 'boîte', 'plat', 'gélose', 'plateau', 'planche', 'plate', 'ensemencer', 'plaquer', 'immatriculer', 'dorer', 'argenter']",1.0714285714285714
13,treat,"['gâterie', 'plaisir', 'soigner', 'faire plaisir', 'aborder', 'traiter', 'gâter', 'offrir', 'traiter de', 'cadeau']","['friandise', 'régal', 'gâterie', 'délice', 'festin', 'douceur', 'émail', 'traiter', 'considérer', 'soigner']",0.6
14,dinner,"['de soirée', 'banquet', 'dîner']","['dîner', 'soir', 'souper', 'repas']",0.6666666666666666
15,necessary,"['inévitable', 'nécessaire']","['nécessaire', 'indispensable', 'requis']",0.75
16,go,"['cesser', 'partir', 's’en aller', 'mener', 'tenir', 'devenir', 'aller aux toilettes', 'mourir', 'aller…', 'faire', 'lâcher', 'diminuer', 'dire', 'tour', 'passer', 'essai', 'être envoyé/-ée', 'se passer', 'se ranger', 'fréquenter', 'faire une activité', 'aller']","['aller', 'passer', 'se rendre', 'partir', 'entrer', 'accéder', 'consulter', 'continuer', 'rendez-vous']",0.2954545454545454
17,secret,"['secret', 'secret/-ète']","['secret', 'confidentiel', 'secret', 'passe', 'mystère']",1.25
18,table,"['tablée', 'table', 'tableau']","['tableau', 'table', 'déposer', 'présenter', 'introduire', 'soumettre']",1.0
19,create,"['créer', 'nommer', 'produire', 'être promu']","['créer', 'établir', 'engendrer']",0.375
