ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","46","Он сидел на скале.","He was sitting on a rock.","He, Him, His, It, Its","He","was, is, be, been, are, were, will, shall","was","sitting, sat, sit, sits, sitted, sittest, sit's, sits'","sitting","on, in, at, since, for, ago, before, to","on","a, an","a","rock, rocker, rocks, rocked, rocking","rock","",".","","","","","",""
"2","46","Они сидели за столом.","They were sitting at the table.","They, Them, Their, Theirs","They","were, is, be, been, are, was, will, shall","were","sitting, sat, sit, sits, sitted, sittest, sit's, sits'","sitting","at, on, in, since, for, ago, before, to","at","the, then, though","the","table, tables, tabled, tabling, tabler","table","",".","","","","","",""
"3","46","Они сидели на веранде.","They were sitting on the veranda.","They, Them, Their, Theirs","They","were, is, be, been, are, was, will, shall","were","sitting, sat, sit, sits, sitted, sittest, sit's, sits'","sitting","on, in, at, since, for, ago, before, to","on","the, then, though","the","veranda, verandas, verandaed","veranda","",".","","","","","",""
"4","46","Она лежала на полу.","She was lying on the floor.","She, Her, Hers","She","was, is, be, been, are, were, will, shall","was","lying, lain, lay, lie, lies, lied, lieing, liebing","lying","on, in, at, since, for, ago, before, to","on","the, then, though","the","floor, floorer, flooring, floors, floored, floors'","floor","",".","","","","","",""
"5","46","Вы работали в саду.","You were working in the garden.","You, Your, Yours","You","were, is, be, been, are, was, will, shall","were","working, work, works, wrought, worked, workest","working","in, on, at, since, for, ago, before, to","in","the, then, though","the","garden, gardens, gardened, garden bed","garden","",".","","","","","",""
"6","46","Я смотрел на женщину.","I was looking at a woman.","I, me, my, mine","I","was, is, be, been, are, were, will, shall","was","looking, look, looks, looked, lookest","looking","at, on, in, since, for, ago, before, to","at","a, an","a","woman, women, womaning, womans, womaned","woman","",".","","","","","",""
"7","46","Она смотрела на город.","She was looking at the city.","She, Her, Hers","She","was, is, be, been, are, were, will, shall","was","looking, look, looks, looked, lookest","looking","at, on, in, since, for, ago, before, to","at","the, then, though","the","city, cities, citys, citier","city","",".","","","","","",""
"8","46","Они сидели на террасе.","They were sitting on the terrace.","They, Them, Their, Theirs","They","were, is, be, been, are, was, will, shall","were","sitting, sat, sit, sits, sitted, sittest, sit's, sits'","sitting","on, in, at, since, for, ago, before, to","on","the, then, though","the","terrace, terraced, terracing, terraces","terrace","",".","","","","","",""
"9","46","Мы гуляли вдоль пляжа.","We were walking along the beach.","We, Our, Us, Ours","We","were, is, be, been, are, was, will, shall","were","walking, walk, walked, walks, walkest","walking","along, alonger, alongs, alonged","along","the, then, though","the","beach, beached, beaches, beaching, beachs","beach","",".","","","","","",""
"10","46","Вы стояли за дверью.","You were standing behind the door.","You, Your, Yours","You","were, is, be, been, are, was, will, shall","were","standing, stand, stood, stands, standest, stander, standed","standing","behind","behind","the, then, though","the","door, doors, doored","door","",".","","","","","",""
"11","46","Мы сидели за столом.","We were sitting at a table.","We, Our, Us, Ours","We","were, is, be, been, are, was, will, shall","were","sitting, sat, sit, sits, sitted, sittest, sit's, sits'","sitting","at, on, in, since, for, ago, before, to","at","a, an","a","table, tables, tabled, tabling, tabler","table","",".","","","","","",""
"12","46","Я играл в пьесе.","I was acting in a play.","I, me, my, mine","I","was, is, be, been, are, were, will, shall","was","acting, act, acts, acted, actest","acting","in, on, at, since, for, ago, before, to","in","a, an","a","play, playing, played, plays, plaied, plaies, plays'","play","",".","","","","","",""
"13","46","Они бежали вдоль пляжа.","They were running along the beach.","They, Them, Their, Theirs","They","were, is, be, been, are, was, will, shall","were","running, ran, run, runner, runs, runned, runer, runnest","running","along, alonger, alongs, alonged","along","the, then, though","the","beach, beached, beaches, beaching, beachs","beach","",".","","","","","",""
"14","46","Он кричал в телефон.","He was yelling into the phone.","He, Him, His, It, Its","He","was, is, be, been, are, were, will, shall","was","yelling, yell, yells, yelled, yell'd","yelling","into, in, at, on, by, next to, beside, under","into","the, then, though","the","phone, phones, phoning, phoned","phone","",".","","","","","",""
"15","46","Она ждала автобус.","She was waiting for a bus.","She, Her, Hers","She","was, is, be, been, are, were, will, shall","was","waiting, wait, waited, waits, waitting","waiting","for, on, in, at, since, ago, before, to","for","a, an","a","bus, busing, bussing, busses, buses, bussed, bused, buses'","bus","",".","","","","","",""
"16","46","Он сидел у стены.","He was sitting by a wall.","He, Him, His, It, Its","He","was, is, be, been, are, were, will, shall","was","sitting, sat, sit, sits, sitted, sittest, sit's, sits'","sitting","by, on, in, at, since, for, ago, before","by","a, an","a","wall, walled, walls, waller, walling, wallbed, wall'd","wall","",".","","","","","",""
"17","46","Он говорил о погоде.","He was talking about the weather.","He, Him, His, It, Its","He","was, is, be, been, are, were, will, shall","was","talking, talk, talks, talked, talkest","talking","about, from, of, by, on, in, off, out of","about","the, then, though","the","weather, whether","weather","",".","","","","","",""
"18","46","Она говорила об этой вечеринке.","She was talking about the party.","She, Her, Hers","She","was, is, be, been, are, were, will, shall","was","talking, talk, talks, talked, talkest","talking","about, from, of, by, on, in, off, out of","about","the, then, though","the","party, parties, partied, partier, partys","party","",".","","","","","",""
"19","46","Она входила в комнату.","She was coming in the room.","She, Her, Hers","She","was, is, be, been, are, were, will, shall","was","coming, came, come, comes, comest, comeing","coming","in, on, at, since, for, ago, before, to","in","the, then, though","the","room, rooms, roomed, rooming, roomin'","room","",".","","","","","",""
"20","46","Я стоял на холме.","I was standing on a hill.","I, me, my, mine","I","was, is, be, been, are, were, will, shall","was","standing, stand, stood, stands, standest, stander, standed","standing","on, in, at, since, for, ago, before, to","on","a, an","a","hill, hilling, hills, hilled","hill","",".","","","","","",""
"21","46","Он смотрел на землю.","He was looking at the ground.","He, Him, His, It, Its","He","was, is, be, been, are, were, will, shall","was","looking, look, looks, looked, lookest","looking","at, on, in, since, for, ago, before, to","at","the, then, though","the","ground, grounding, grounder, grounds, grounded, groundnest","ground","",".","","","","","",""
