ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","58","Мы увидим вас там.","We'll see you there.","We'll, We'd, We're, We've","We'll","see, saw, seeing, seen, sees, seemest, seeger, seeta","see","you, your, yours","you","there, theres, thered, thering","there","",".","","","","","","","","","",""
"2","58","Мы перевезём вас туда.","We will transport you there.","We, Our, Us, Ours","We","will, is, be, been, are, was, were, shall","will","transport, transported, transporting, transports, transports'","transport","you, your, yours","you","there, theres, thered, thering","there","",".","","","","","","","",""
"3","58","Я обращусь к ним там.","I'll address them there.","I'll, I'd, I'm, I've","I'll","address, addressed, addresses, addressing","address","them, they, their, theirs","them","there, theres, thered, thering","there","",".","","","","","","","","","",""
"4","58","Они последуют за тобой туда.","They will follow you there.","They, Them, Their, Theirs","They","will, is, be, been, are, was, were, shall","will","follow, following, followed, follows","follow","you, your, yours","you","there, theres, thered, thering","there","",".","","","","","","","",""
"5","58","Мы оставим его там.","We'll leave him there.","We'll, We'd, We're, We've","We'll","leave, leaves, left, leaving, leavest, loven, leav'd","leave","him, he, his, it, its","him","there, theres, thered, thering","there","",".","","","","","","","","","",""
"6","58","Я присоединюсь к нему там.","I'll join him there.","I'll, I'd, I'm, I've","I'll","join, joining, joined, joins, joins'","join","him, he, his, it, its","him","there, theres, thered, thering","there","",".","","","","","","","","","",""
"7","58","Я последую за ним туда.","I'll follow him there.","I'll, I'd, I'm, I've","I'll","follow, following, followed, follows","follow","him, he, his, it, its","him","there, theres, thered, thering","there","",".","","","","","","","","","",""
"8","58","Я буду ожидать вас там.","I will expect you there.","I, me, my, mine","I","will, is, be, been, are, was, were, shall","will","expect, expected, expecting, expects","expect","you, your, yours","you","there, theres, thered, thering","there","",".","","","","","","","",""
"9","58","Я приведу нас туда.","I'll lead us there.","I'll, I'd, I'm, I've","I'll","lead, leaded, leading, led, leads, leadest","lead","us, we, our, ours","us","there, theres, thered, thering","there","",".","","","","","","","","","",""
"10","58","Ты увидишь их там.","You will see them there.","You, Your, Yours","You","will, is, be, been, are, was, were, shall","will","see, saw, seeing, seen, sees, seemest, seeger, seeta","see","them, they, their, theirs","them","there, theres, thered, thering","there","",".","","","","","","","",""
