,word,local_word,examples,local_examples
0,word,mot,[],[]
1,wording,libellé,[],[]
2,the,le,[],[]
3,the,au,[],[]
4,and,et,[],[]
5,ood,OOD,[],[]
6,that,que,[],[]
7,that,qui,[],[]
8,that,ce,[],[]
9,for,pour,[],[]
10,fors,FORS,[],[]
11,with,avec,[],[]
12,but,mais,[],[]
13,you,vous,[],[]
14,this,ce,[],[]
15,this,cela,[],[]
16,these,ils,[],[]
17,not,pas,[],[]
18,have,avoir,[],[]
19,letter,lettre,[],[]
20,letter,lettres,[],[]
21,lettering,lettrage,[],[]
22,plate,plaque,[],[]
23,plating,placage,[],[]
24,plating,électrodéposition,[],[]
25,plating,bordé,[],[]
26,treat,traiter,[],[]
27,dinner,dîner,[],[]
28,necessary,nécessaire,[],[]
29,necessary,faut,[],[]
30,go,aller,[],[]
31,go,entrain,[],[]
32,gone,disparu,[],[]
33,going,aller,[],[]
34,going,remontant,[],[]
35,secret,secret,[],[]
36,secret,secret,[],[]
37,table,table,[],[]
38,table,tableau,[],[]
39,create,créer,[],[]
40,create,création,[],[]
41,creating,Creating,[],[]
42,creates,crée,[],[]
43,created,créé,[],[]
44,warm,chaud,[],[]
45,warm,réchauffer,[],[]
46,warmer,chaud,[],[]
47,warmer,chaufferette,[],[]
48,warming,réchauffement,[],[]
49,America,Amérique,[],[]
50,America,America,[],[]
51,Americas,Amérique,[],[]
52,Americas,Americas,[],[]
53,America,Amérique,[],[]
54,America,America,[],[]
55,entire,ensemble,[],[]
56,entire,entier,[],[]
57,entire,intégralité,[],[]
58,entire,ensemble,[],[]
59,entire,entier,[],[]
60,entire,intégralité,[],[]
61,Belgium,Belgique,[],[]
62,anything,quoi,[],[]
63,background,fond,[],[]
64,background,antécédents,[],[]
65,background,fond,[],[]
66,background,antécédents,[],[]
67,child,enfant,[],[]
68,childhood,enfance,[],[]
69,childhood,enfance,[],[]
70,dependable,fiable,[],[]
71,dependable,fiable,[],[]
72,everything,tout,[],[]
73,everything,tout,[],[]
74,ketchup,ketchup,[],[]
75,point,point,[],[]
76,point,pointer,[],[]
77,pointing,pointer,[],[]
78,pointed,souligner,[],[]
79,pointed,pointu,[],[]
80,point,point,[],[]
81,point,pointer,[],[]
82,strength,force,[],[]
83,star,étoile,[],[]
84,star,Star,[],[]
85,star,vedette,[],[]
86,star,Etoiles,[],[]
87,star,étoile,[],[]
88,star,Star,[],[]
89,star,vedette,[],[]
90,star,Etoiles,[],[]
91,thing,chose,[],[]
92,coincide,coïncider,[],[]
93,coincidental,coïncidence,[],[]
94,coincidental,fortuit,[],[]
95,dance,danser,[],[]
96,dance,Dance,[],[]
97,dance,dansant,[],[]
98,dancing,danse,[],[]
99,dancing,danser,[],[]
100,dancing,dansant,[],[]
101,countryside,campagne,[],[]
102,break,briser,[],[]
103,break,pause,[],[]
104,break,rupture,[],[]
105,broke,fauché,[],[]
106,broke,éclaté,[],[]
107,breaking,rupture,[],[]
108,breaking,Breaking,[],[]
109,breaking,effraction,[],[]
110,broken,cassé,[],[]
111,broken,briser,[],[]
112,mother,mère,[],[]
113,mothers,mères,[],[]
114,start,commencer,[],[]
115,start,début,[],[]
116,tip,conseil,[],[]
117,tip,bout,[],[]
118,apologise,excuser,[],[]
119,apologise,excuse,[],[]
120,come,venir,[],[]
121,coming,venir,[],[]
122,coming,prochain,[],[]
123,coming,agira,[],[]
124,curriculum,curriculum,[],[]
125,curriculum,curriculum,[],[]
126,expertise,expertise,[],[]
127,expertise,expertise,[],[]
128,freeze,geler,[],[]
129,freeze,gel,[],[]
130,freezing,congélation,[],[]
131,freezing,verglaçante,[],[]
132,frozen,congeler,[],[]
133,frozen,surgelé,[],[]
134,issue,question,[],[]
135,issue,émettre,[],[]
136,issue,question,[],[]
137,issue,émettre,[],[]
138,parent,parent,[],[]
139,parenting,parental,[],[]
140,parenting,Parenting,[],[]
141,parenting,parentalité,[],[]
142,parent,parent,[],[]
143,member,membre,[],[]
144,band,bande,[],[]
145,banding,baguage,[],[]
146,order,ordre,[],[]
147,order,commander,[],[]
148,hot,chaud,[],[]
149,fly,voler,[],[]
150,fly,mouche,[],[]
151,flying,Flying,[],[]
152,flying,volant,[],[]
153,lie,mentir,[],[]
154,lie,résider,[],[]
155,lie,incomber,[],[]
156,lie,mensonge,[],[]
157,lying,allonger,[],[]
158,lying,mensonge,[],[]
159,lying,allongé,[],[]
160,select,sélectionner,[],[]
161,selected,sélectionné,[],[]
162,school,école,[],[]
163,school,scolaire,[],[]
164,schools,école,[],[]
165,schooling,scolarité,[],[]
166,cafe,café,[],[]
167,cafes,café,[],[]
168,buy,acheter,[],[]
169,buy,achat,[],[]
170,tell,dire,[],[]
171,telling,révélateur,[],[]
172,international,international,[],[]
173,stand,debout,[],[]
174,stand,tenir,[],[]
175,stand,stand,[],[]
176,stand,dresser,[],[]
177,standing,debout,[],[]
178,standing,permanent,[],[]
179,fish,poisson,[],[]
180,fish,pêche,[],[]
181,fishing,pêche,[],[]
182,benefit,avantage,[],[]
183,benefit,bénéficier,[],[]
184,benefited,bénéficié,[],[]
185,intelligent,intelligent,[],[]
186,follow,suivre,[],[]
187,follow,suivi,[],[]
188,follow,ensuit,[],[]
189,following,suivant,[],[]
190,journey,voyage,[],[]
191,journey,parcours,[],[]
192,journey,périple,[],[]
193,news,nouvelles,[],[]
194,write,écrire,[],[]
195,write,écriture,[],[]
196,writing,écriture,[],[]
