"word_id","ref_id","setting_id","translate"
30606,1,1,"мальчик и девочка"
897180,1,1,"корзина для белья"
12175,1,1,"чувство собственного достоинства"
13701,1,1,"интенсивный, напряжённый, азартный"
19713,1,1,"уморительный; очень смешной"
45316,1,1,"весь, целый; полный"
4023,1,1,"неуклюжий, неловкий, неудобный"
753225,1,1,"в замедленном темпе"
25255,1,1,"иметь в виду"
10119,1,2,"двоюродный брат, сестра"
45154,1,1,"что бы ни"
695867,1,1,"хлопушка для мух"
219180,1,1,"смеяться до упаду"
14854,1,1,"в конечном итоге"
15505,1,1,"далёкий, дальний, отдалённый"
26796,1,2,"салфетка из ткани"
14468,1,1,"восторженный; полный энтузиазма"
14472,1,1,"полный, целый, весь"
25699,1,1,"мог бы, может"
474306,1,1,"сыр с плесенью"
26817,1,1,"узкий, тесный; ограниченный"
45212,1,1,"какой бы ни"
474254,1,1,"харизматическая, притягательная личность"
43591,1,1,"до тех пор"
191029,1,1,"убирать на место"
199823,1,1,"тот же самый"
26399,1,1,"самый большой, наибольший"
39000,1,1,"до сих пор"
20843,1,1,"важный, значительный, существенный"
22894,1,1,"добрый, любезный, сердечный"
43269,1,1,"до тех пор"
17680,1,1,"великодушный, благородный, добрый"
33488,1,1,"готовый, подготовленный, приготовленный"
26835,1,1,"относящийся к рождению"
24289,1,2,"сильное желание, стремление"
1926,1,1,"на самом деле"
43271,1,1,"в отличие от"
42722884,1,1,"жить с родителями"
38245,1,1,"особый, особенный, специальный"
41722,1,1,"по направлению к"
1923,1,1,"фактический, реальный, действующий"
43955,1,1,"различный, разный, разнообразный"
29260,1,1,"кладовая для продуктов"
16004,1,1,"завершающий, заключительный, конечный"
26400,1,1,"в основном, преимущественно"
19042,1,2,"счастливый, довольный, весёлый"
41451,1,1,"палец (на ноге)"
191031,1,1,"вмешиваться (в разговор)"
45315,1,1,"кто бы ни"
37065,1,2,"брат или сестра"
2790,1,2,"влюблённость, нежность, любовь"
1321322,1,1,"родственник по крови"
28710,1,1,"над, на, через"
37221,1,1,"с тех пор"
