ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","32","Почему они уехали?","Why did they leave?","Why, Where, When, Who, What","Why","did, do, does, done, doing","did","they, them, their, theirs","they","leave, leaves, left, leaving, leavest, loven, leav'd","leave","","?","","","","","","","","","",""
"2","32","Как она себя чувствовала?","How did she feel?","How, Hown, Hows, Howed, Howest","How","did, do, does, done, doing","did","she, her, hers","she","feel, feeling, felt, feels, feeled, feelest, feelling","feel","","?","","","","","","","","","",""
"3","32","Как они поехали?","How did they go?","How, Hown, Hows, Howed, Howest","How","did, do, does, done, doing","did","they, them, their, theirs","they","go, going, gone, went, goes, gos, goed, gota","go","","?","","","","","","","","","",""
"4","32","Куда мы ушли?","Where did we go?","Where, When, Why, Who, What","Where","did, do, does, done, doing","did","we, our, us, ours","we","go, going, gone, went, goes, gos, goed, gota","go","","?","","","","","","","","","",""
"5","32","Как он танцевал?","How did he dance?","How, Hown, Hows, Howed, Howest","How","did, do, does, done, doing","did","he, him, his, it, its","he","dance, dancing, dances, danced, danceing","dance","","?","","","","","","","","","",""
"6","32","Как он себя чувствовал?","How did he feel?","How, Hown, Hows, Howed, Howest","How","did, do, does, done, doing","did","he, him, his, it, its","he","feel, feeling, felt, feels, feeled, feelest, feelling","feel","","?","","","","","","","","","",""
"7","32","Как она увидела тебя?","How did she see you?","How, Hown, Hows, Howed, Howest","How","did, do, does, done, doing","did","she, her, hers","she","see, saw, seeing, seen, sees, seemest, seeger, seeta","see","you, your, yours","you","","?","","","","","","","",""
"8","32","Куда я ходил?","Where did I go?","Where, When, Why, Who, What","Where","did, do, does, done, doing","did","I, me, my, mine","I","go, going, gone, went, goes, gos, goed, gota","go","","?","","","","","","","","","",""
"9","32","Как ты сделал это?","How did you do it?","How, Hown, Hows, Howed, Howest","How","did, do, does, done, doing","did","you, your, yours","you","do, does, did, done, doing","do","it, he, him, his, its","it","","?","","","","","","","",""
"10","32","Почему он ушел?","Why did he go?","Why, Where, When, Who, What","Why","did, do, does, done, doing","did","he, him, his, it, its","he","go, going, gone, went, goes, gos, goed, gota","go","","?","","","","","","","","","",""
"11","32","Как она узнала?","How did she know?","How, Hown, Hows, Howed, Howest","How","did, do, does, done, doing","did","she, her, hers","she","know, knew, knowing, known, knows, knowed, knowest, knower","know","","?","","","","","","","","","",""
"12","32","Как он пришёл?","How did he come?","How, Hown, Hows, Howed, Howest","How","did, do, does, done, doing","did","he, him, his, it, its","he","come, came, coming, comes, comest, comeing","come","","?","","","","","","","","","",""
"13","32","Когда ты приехал?","When did you come?","When, Where, Why, Who, What","When","did, do, does, done, doing","did","you, your, yours","you","come, came, coming, comes, comest, comeing","come","","?","","","","","","","","","",""
"14","32","Где он жил?","Where did he live?","Where, When, Why, Who, What","Where","did, do, does, done, doing","did","he, him, his, it, its","he","live, liver, lives, living, lived, livest, liveing","live","","?","","","","","","","","","",""
"15","32","Когда это началось?","When did it start?","When, Where, Why, Who, What","When","did, do, does, done, doing","did","it, he, him, his, its","it","start, starting, started, starts, startted, starttest, start'd","start","","?","","","","","","","","","",""
"16","32","Как вы узнали?","How did you know?","How, Hown, Hows, Howed, Howest","How","did, do, does, done, doing","did","you, your, yours","you","know, knew, knowing, known, knows, knowed, knowest, knower","know","","?","","","","","","","","","",""
"17","32","Как он выиграл?","How did he win?","How, Hown, Hows, Howed, Howest","How","did, do, does, done, doing","did","he, him, his, it, its","he","win, winning, won, wins, winer, winned, wins'","win","","?","","","","","","","","","",""
"18","32","Почему он ушел?","Why did he leave?","Why, Where, When, Who, What","Why","did, do, does, done, doing","did","he, him, his, it, its","he","leave, leaves, left, leaving, leavest, loven, leav'd","leave","","?","","","","","","","","","",""
"19","32","Как ты спала?","How did you sleep?","How, Hown, Hows, Howed, Howest","How","did, do, does, done, doing","did","you, your, yours","you","sleep, slept, sleeping, sleeps, sleepest, sleeped, sleepping, sleepped","sleep","","?","","","","","","","","","",""
"20","32","Куда они ходили?","Where did they go?","Where, When, Why, Who, What","Where","did, do, does, done, doing","did","they, them, their, theirs","they","go, going, gone, went, goes, gos, goed, gota","go","","?","","","","","","","","","",""
"21","32","Почему он бежал?","Why did he run?","Why, Where, When, Who, What","Why","did, do, does, done, doing","did","he, him, his, it, its","he","run, ran, runner, running, runs, runned, runer, runnest","run","","?","","","","","","","","","",""
"22","32","Когда ты приехал?","When did you arrive?","When, Where, Why, Who, What","When","did, do, does, done, doing","did","you, your, yours","you","arrive, arrived, arrives, arriving, arriven","arrive","","?","","","","","","","","","",""
"23","32","Где это произошло?","Where did it happen?","Where, When, Why, Who, What","Where","did, do, does, done, doing","did","it, he, him, his, its","it","happen, happening, happened, happens, happenest, happenned, happenning","happen","","?","","","","","","","","","",""
"24","32","Как ты попал туда?","How did you get there?","How, Hown, Hows, Howed, Howest","How","did, do, does, done, doing","did","you, your, yours","you","get, got, gotten, getting, gets, gettest, geted, gets'","get","there, theres, thered, thering","there","","?","","","","","","","",""
"25","32","Как ты научился этому?","How did you learn it?","How, Hown, Hows, Howed, Howest","How","did, do, does, done, doing","did","you, your, yours","you","learn, learned, learning, learns, learnning","learn","it, he, him, his, its","it","","?","","","","","","","",""
"26","32","Это было легко?","Was it easy?","Was, Is, Be, Been, Are, Were, Will, Shall","Was","it, he, him, his, its","it","easy, easier, easiest, easy led, easies","easy","","?","","","","","","","","","","","",""
