ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","87","Её сады красивые.","Her gardens are beautiful.","Her, She, Hers","Her","gardens, garden, gardened, garden bed","gardens","are, is, be, been, was, were, will, shall","are","beautiful, beautifulest, beautifuls","beautiful","",".","","","","","","","","","",""
"2","87","Её куклы розовые.","Her dolls are pink.","Her, She, Hers","Her","dolls, doll, dolled, dolling","dolls","are, is, be, been, was, were, will, shall","are","pink, pinker, pinks, pinking, pinked, pinkest","pink","",".","","","","","","","","","",""
"3","87","Его брюки серые.","His trousers are grey.","His, He, Him, It, Its","His","trousers, trousered, trousering, trouser","trousers","are, is, be, been, was, were, will, shall","are","grey, greys, greyed, greying, greyling, grier, griest, greyest","grey","",".","","","","","","","","","",""
"4","87","Мои глаза чёрные.","My eyes are black.","My, I, Me, Mine","My","eyes, eye, eyed, eyeing, eying","eyes","are, is, be, been, was, were, will, shall","are","black, blacking, blacker, blackest, blacks, blacked, blacknest","black","",".","","","","","","","","","",""
"5","87","Ваши песни красивые.","Your songs are beautiful.","Your, You, Yours","Your","songs, song, songed, songer","songs","are, is, be, been, was, were, will, shall","are","beautiful, beautifulest, beautifuls","beautiful","",".","","","","","","","","","",""
"6","87","Мои тесты простые.","My tests are simple.","My, I, Me, Mine","My","tests, test, testing, tested, testbed, testtest, test bed","tests","are, is, be, been, was, were, will, shall","are","simple, simplest, simpler, simples","simple","",".","","","","","","","","","",""
"7","87","Мои шутки смешные!","My jokes are funny!","My, I, Me, Mine","My","jokes, joke, joked, joking, jokeing","jokes","are, is, be, been, was, were, will, shall","are","funny, funniest, funnier, funnies, funnyest, funnys","funny","","!","","","","","","","","","",""
"8","87","Мои пальцы чистые.","My fingers are clean.","My, I, Me, Mine","My","fingers, finger, fingering, fingered","fingers","are, is, be, been, was, were, will, shall","are","clean, cleaner, cleaning, cleaned, cleans, cleanest, cleanning, clean bed","clean","",".","","","","","","","","","",""
"9","87","Её глаза грустные.","Her eyes are sad.","Her, She, Hers","Her","eyes, eye, eyed, eyeing, eying","eyes","are, is, be, been, was, were, will, shall","are","sad, sadder, saddest, sads, sader, sadest, sadnest","sad","",".","","","","","","","","","",""
"10","87","Мои щёки горячие.","My cheeks are hot.","My, I, Me, Mine","My","cheeks, cheek, cheeked, cheeking, cheek'd","cheeks","are, is, be, been, was, were, will, shall","are","hot, hotter, hottest, hots, hotted, hoting, hotting, hoted","hot","",".","","","","","","","","","",""
"11","87","Мои глаза карие.","My eyes are brown.","My, I, Me, Mine","My","eyes, eye, eyed, eyeing, eying","eyes","are, is, be, been, was, were, will, shall","are","brown, browning, browned, browner, browns, brownest, brown'd","brown","",".","","","","","","","","","",""
"12","87","Её глаза пустые.","Her eyes are empty.","Her, She, Hers","Her","eyes, eye, eyed, eyeing, eying","eyes","are, is, be, been, was, were, will, shall","are","empty, emptied, emptying, empties, emptier, emptiest, emptyed, emptys","empty","",".","","","","","","","","","",""
"13","87","Её оценки отличные.","Her grades are excellent.","Her, She, Hers","Her","grades, grade, graded, grading, grades'","grades","are, is, be, been, was, were, will, shall","are","excellent, excellently, excellency, excellence","excellent","",".","","","","","","","","","",""
"14","87","Твои очки смешные.","Your glasses are funny.","Your, You, Yours","Your","glasses, glass, glassing, glassed, glasser","glasses","are, is, be, been, was, were, will, shall","are","funny, funniest, funnier, funnies, funnyest, funnys","funny","",".","","","","","","","","","",""
"15","87","Её сны странные.","Her dreams are strange.","Her, She, Hers","Her","dreams, dream, dreamt, dreamed, dreaming, dreamest, dreamled","dreams","are, is, be, been, was, were, will, shall","are","strange, stranger, strangest, stranges, stranged","strange","",".","","","","","","","","","",""
"16","87","Ваши дети милые.","Your children are lovely.","Your, You, Yours","Your","children, child, childs, childer, chilt","children","are, is, be, been, was, were, will, shall","are","lovely, loveliest, lovelier, lovelies, lovelys, lovelyest, lovely's","lovely","",".","","","","","","","","","",""
"17","87","Мои руки тёплые.","My hands are warm.","My, I, Me, Mine","My","hands, hand, handing, handed, hander, handest","hands","are, is, be, been, was, were, will, shall","are","warm, warmer, warming, warmed, warmest, warms","warm","",".","","","","","","","","","",""
"18","87","Его губы синие.","His lips are blue.","His, He, Him, It, Its","His","lips, lip, lipped, lipping, lipper","lips","are, is, be, been, was, were, will, shall","are","blue, blues, bluing, bluer, bluest, blued","blue","",".","","","","","","","","","",""
"19","87","Его глаза черные.","His eyes are black.","His, He, Him, It, Its","His","eyes, eye, eyed, eyeing, eying","eyes","are, is, be, been, was, were, will, shall","are","black, blacking, blacker, blackest, blacks, blacked, blacknest","black","",".","","","","","","","","","",""
"20","87","Мои плечи сильные.","My shoulders are strong.","My, I, Me, Mine","My","shoulders, shoulder, shouldering, shouldered","shoulders","are, is, be, been, was, were, will, shall","are","strong, stronger, strongest, strongs","strong","",".","","","","","","","","","",""
"21","87","Мои дети голодны.","My children are hungry.","My, I, Me, Mine","My","children, child, childs, childer, chilt","children","are, is, be, been, was, were, will, shall","are","hungry, hungrier, hungriest, hungries","hungry","",".","","","","","","","","","",""
"22","87","Мои глаза зеленые.","My eyes are green.","My, I, Me, Mine","My","eyes, eye, eyed, eyeing, eying","eyes","are, is, be, been, was, were, will, shall","are","green, greener, greening, greens, greenest, greened","green","",".","","","","","","","","","",""
"23","87","Их картины чудесные.","Their pictures are wonderful.","Their, They, Them, Theirs","Their","pictures, picture, pictured, picturing","pictures","are, is, be, been, was, were, will, shall","are","wonderful, wonderfulest, wonderfuls","wonderful","",".","","","","","","","","","",""
"24","87","Ваши уроки сложные.","Your lessons are difficult.","Your, You, Yours","Your","lessons, lesson, lessoned, lessoning","lessons","are, is, be, been, was, were, will, shall","are","difficult, difficultest, difficults","difficult","",".","","","","","","","","","",""
"25","87","Ваши руки тёплые.","Your hands are warm.","Your, You, Yours","Your","hands, hand, handing, handed, hander, handest","hands","are, is, be, been, was, were, will, shall","are","warm, warmer, warming, warmed, warmest, warms","warm","",".","","","","","","","","","",""
"26","87","Твои подарки другие.","Your gifts are different.","Your, You, Yours","Your","gifts, gift, gifted, gifting, giftted","gifts","are, is, be, been, was, were, will, shall","are","different, differentiation, differential, differentiate, differently","different","",".","","","","","","","","","",""
"27","87","Мои джинсы старые.","My jeans are old.","My, I, Me, Mine","My","jeans, jean, jeaned","jeans","are, is, be, been, was, were, will, shall","are","old, elder, eldest, oldest, older, olds, olding","old","",".","","","","","","","","","",""
"28","87","Его глаза маленькие.","His eyes are small.","His, He, Him, It, Its","His","eyes, eye, eyed, eyeing, eying","eyes","are, is, be, been, was, were, will, shall","are","small, smalls, smaller, smallest, small ta, smalls'","small","",".","","","","","","","","","",""
"29","87","Твои песни новые.","Your songs are new.","Your, You, Yours","Your","songs, song, songed, songer","songs","are, is, be, been, was, were, will, shall","are","new, news, newest, newer, newed, newing","new","",".","","","","","","","","","",""
"30","87","Его слова мягкие.","His words are soft.","His, He, Him, It, Its","His","words, word, wording, worded","words","are, is, be, been, was, were, will, shall","are","soft, softest, softer, softtest, softs, softs'","soft","",".","","","","","","","","","",""
"31","87","Мои проблемы настоящие.","My problems are real.","My, I, Me, Mine","My","problems, problematic, problem","problems","are, is, be, been, was, were, will, shall","are","real, reals, realest, reis, realer","real","",".","","","","","","","","","",""
"32","87","Их ответы разные.","Their answers are different.","Their, They, Them, Theirs","Their","answers, answer, answered, answering, answerer, answerest","answers","are, is, be, been, was, were, will, shall","are","different, differentiation, differential, differentiate, differently","different","",".","","","","","","","","","",""
