ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","48","Они не работали сегодня.","They weren't working today.","They, Them, Their, Theirs","They","weren't, aren't, isn't, wasn't","weren't","working, work, works, wrought, worked, workest","working","today, todays, todays'","today","",".","","","","","","","","","",""
"2","48","Я не встречался ни с кем.","I wasn't meeting anyone.","I, me, my, mine","I","wasn't, aren't, isn't, weren't","wasn't","meeting, meet, met, meets, meeter, meetest, meeted, meetting","meeting","anyone","anyone","",".","","","","","","","","","",""
"3","48","Он не нападал ни на кого.","He wasn't attacking anyone.","He, Him, His, It, Its","He","wasn't, aren't, isn't, weren't","wasn't","attacking, attack, attacked, attacks","attacking","anyone","anyone","",".","","","","","","","","","",""
"4","48","Он не делал ничего.","He wasn't doing anything.","He, Him, His, It, Its","He","wasn't, aren't, isn't, weren't","wasn't","doing, do, does, did, done","doing","anything, anytime","anything","",".","","","","","","","","","",""
"5","48","Я не делал ничего!","I wasn't doing anything!","I, me, my, mine","I","wasn't, aren't, isn't, weren't","wasn't","doing, do, does, did, done","doing","anything, anytime","anything","","!","","","","","","","","","",""
"6","48","Она не шла домой.","She wasn't going home.","She, Her, Hers","She","wasn't, aren't, isn't, weren't","wasn't","going, go, gone, went, goes, gos, goed, gota","going","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","","","",""
"7","48","Мы не веселились.","We weren't having fun.","We, Our, Us, Ours","We","weren't, aren't, isn't, wasn't","weren't","having, had, has, have, haves, haveta, haveing, have led","having","fun, funs, funnest, funning, funner, funned, funer, funs'","fun","",".","","","","","","","","","",""
"8","48","Вы не говорили ничего.","You weren't saying anything.","You, Your, Yours","You","weren't, aren't, isn't, wasn't","weren't","saying, said, say, says, sayest, sayed, sayling, saies","saying","anything, anytime","anything","",".","","","","","","","","","",""
"9","48","Я не шёл домой.","I wasn't going home.","I, me, my, mine","I","wasn't, aren't, isn't, weren't","wasn't","going, go, gone, went, goes, gos, goed, gota","going","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","","","",""
"10","48","Мы не смотрели телевизор.","We weren't watching TV.","We, Our, Us, Ours","We","weren't, aren't, isn't, wasn't","weren't","watching, watch, watches, watched, watchs, watches'","watching","TV, TVS","TV","",".","","","","","","","","","",""
"11","48","Я не тратил время.","I wasn't wasting time.","I, me, my, mine","I","wasn't, aren't, isn't, weren't","wasn't","wasting, wasted, wastepaper, wastebasket, wasteful, wasteland, waste","wasting","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","","","","","","","",""
"12","48","Он не веселился.","He wasn't having fun.","He, Him, His, It, Its","He","wasn't, aren't, isn't, weren't","wasn't","having, had, has, have, haves, haveta, haveing, have led","having","fun, funs, funnest, funning, funner, funned, funer, funs'","fun","",".","","","","","","","","","",""
"13","48","Он не делал ничего!","He wasn't doing anything!","He, Him, His, It, Its","He","wasn't, aren't, isn't, weren't","wasn't","doing, do, does, did, done","doing","anything, anytime","anything","","!","","","","","","","","","",""
"14","48","Он не избегал ответственности.","He wasn't avoiding responsibility.","He, Him, His, It, Its","He","wasn't, aren't, isn't, weren't","wasn't","avoiding, avoid, avoided, avoids, avoidin'","avoiding","responsibility, responsibilities, responsibilitys, responsibilities'","responsibility","",".","","","","","","","","","",""
"15","48","Я не беспокоил никого.","I wasn't bothering anybody.","I, me, my, mine","I","wasn't, aren't, isn't, weren't","wasn't","bothering, bother, bothered, bothers","bothering","anybody, anybodys, anybodies","anybody","",".","","","","","","","","","",""
"16","48","Он не говорил ничего.","He wasn't saying anything.","He, Him, His, It, Its","He","wasn't, aren't, isn't, weren't","wasn't","saying, said, say, says, sayest, sayed, sayling, saies","saying","anything, anytime","anything","",".","","","","","","","","","",""
"17","48","Он не делился информацией.","He wasn't sharing information.","He, Him, His, It, Its","He","wasn't, aren't, isn't, weren't","wasn't","sharing, share, shares, shared, shares'","sharing","information, informations, informations'","information","",".","","","","","","","","","",""
"18","48","Он не изучал медицину.","He was not studying medicine.","He, Him, His, It, Its","He","was, is, be, been, are, were, will, shall","was","not, no, none, neither, nore, nope","not","studying, studied, study, studies, studier, studys, studid","studying","medicine, medicines, medicined, mediciner","medicine","",".","","","","","","","",""
"19","48","Я не спрашивал ничего.","I wasn't asking anything.","I, me, my, mine","I","wasn't, aren't, isn't, weren't","wasn't","asking, ask, asked, asks, askest, asks'","asking","anything, anytime","anything","",".","","","","","","","","","",""
