ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","59","Это будет опасно?","Will it be dangerous?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","it, he, him, his, its","it","be, is, been, are, was, were, will, shall","be","dangerous, dangerously, danger","dangerous","","?","","","","","","","","","",""
"2","59","Он будет в порядке?","Will he be fine?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","he, him, his, it, its","he","be, is, been, are, was, were, will, shall","be","fine, fining, finer, finest, fines, fined","fine","","?","","","","","","","","","",""
"3","59","Ты будешь разумным?","Will you be reasonable?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","reasonable, reasonableness, reasonably","reasonable","","?","","","","","","","","","",""
"4","59","Будешь ли ты счастлив?","Will you be happy?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","happy, happier, happiest, happys, happied, happynest, happying","happy","","?","","","","","","","","","",""
"5","59","Ты будешь мудрым?","Will you be wise?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","wise, wiser, wisest, wised, wising, wises","wise","","?","","","","","","","","","",""
"6","59","Они будут живы?","Will they be alive?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","they, them, their, theirs","they","be, is, been, are, was, were, will, shall","be","alive, aliving, alives, alivest, alived","alive","","?","","","","","","","","","",""
"7","59","Это будет выглядеть нормально?","Will it look normal?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","it, he, him, his, its","it","look, looking, looks, looked, lookest","look","normal, normals, normaler, normalling","normal","","?","","","","","","","","","",""
"8","59","Это будет сложно?","Will it be difficult?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","it, he, him, his, its","it","be, is, been, are, was, were, will, shall","be","difficult, difficultest, difficults","difficult","","?","","","","","","","","","",""
"9","59","Вы будете свободными?","Will you be free?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","free, freed, frees, freer, freeing, freest, freeger","free","","?","","","","","","","","","",""
"10","59","Будет ли это выглядеть реально?","Will it look real?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","it, he, him, his, its","it","look, looking, looks, looked, lookest","look","real, reals, realest, reis, realer","real","","?","","","","","","","","","",""
"11","59","Ты будешь серьезным?","Will you be serious?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","you, your, yours","you","be, is, been, are, was, were, will, shall","be","serious, seriousness, seriously","serious","","?","","","","","","","","","",""
"12","59","Мы будем в безопасности?","Will we be safe?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","we, our, us, ours","we","be, is, been, are, was, were, will, shall","be","safe, safest, safer, safes, safed, safebest, safeing","safe","","?","","","","","","","","","",""
"13","59","Я буду красивым?","Will I be handsome?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","I, me, my, mine","I","be, is, been, are, was, were, will, shall","be","handsome, handsomest, handsomes","handsome","","?","","","","","","","","","",""
"14","59","Она будет в порядке?","Will she be okay?","Will, Is, Be, Been, Are, Was, Were, Shall","Will","she, her, hers","she","be, is, been, are, was, were, will, shall","be","okay, okayed, okaying, okays, okay's","okay","","?","","","","","","","","","",""
