ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","85","Она обещала ему.","She promised him.","She, Her, Hers","She","promised, promise, promising, promises","promised","him, he, his, it, its","him","",".","","","","","","","","","","","",""
"2","85","Ты слышал меня.","You heard me.","You, Your, Yours","You","heard, hear, hearing, hears, horne, heared, hearther, hearred","heard","me, i, my, mine","me","",".","","","","","","","","","","","",""
"3","85","Я поцеловала его.","I kissed him.","I, me, my, mine","I","kissed, kiss, kisses, kissing, kisses'","kissed","him, he, his, it, its","him","",".","","","","","","","","","","","",""
"4","85","Я спросил его.","I asked him.","I, me, my, mine","I","asked, ask, asking, asks, askest, asks'","asked","him, he, his, it, its","him","",".","","","","","","","","","","","",""
"5","85","Я спросил ее.","I asked her.","I, me, my, mine","I","asked, ask, asking, asks, askest, asks'","asked","her, she, hers","her","",".","","","","","","","","","","","",""
"6","85","Они нашли его.","They found him","They, Them, Their, Theirs","They","found, find, finding, finds, findest, finded, finds'","found","him, he, his, it, its","him","","","","","","","","","","","","","",""
"7","85","Я поблагодарил его.","I thanked him.","I, me, my, mine","I","thanked, thank, thanks, thanking","thanked","him, he, his, it, its","him","",".","","","","","","","","","","","",""
"8","85","Я видел вас.","I saw you.","I, me, my, mine","I","saw, sawn, saws, sawing, sawed, sawest, sawer, saws'","saw","you, your, yours","you","",".","","","","","","","","","","","",""
"9","85","Я видел ее.","I saw her.","I, me, my, mine","I","saw, sawn, saws, sawing, sawed, sawest, sawer, saws'","saw","her, she, hers","her","",".","","","","","","","","","","","",""
"10","85","Я купил это.","I bought it.","I, me, my, mine","I","bought, buy, buys, buying, buyest, buyed, buies","bought","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"11","85","Они нашли это.","They found it.","They, Them, Their, Theirs","They","found, find, finding, finds, findest, finded, finds'","found","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"12","85","Я спросил их.","I asked them.","I, me, my, mine","I","asked, ask, asking, asks, askest, asks'","asked","them, they, their, theirs","them","",".","","","","","","","","","","","",""
"13","85","Я сломал это.","I broke it.","I, me, my, mine","I","broke, break, breaking, broken, breaks, breakest, breaked","broke","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"14","85","Я видел их!","I saw them!","I, me, my, mine","I","saw, sawn, saws, sawing, sawed, sawest, sawer, saws'","saw","them, they, their, theirs","them","","!","","","","","","","","","","","",""
"15","85","Он закрыл это.","He closed it.","He, Him, His, It, Its","He","closed, close, closing, closer, closes, closest, closeing, closes'","closed","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"16","85","Я ответил ей.","I answered her.","I, me, my, mine","I","answered, answer, answers, answering, answerer, answerest","answered","her, she, hers","her","",".","","","","","","","","","","","",""
"17","85","Ты видел его.","You saw him.","You, Your, Yours","You","saw, sawn, saws, sawing, sawed, sawest, sawer, saws'","saw","him, he, his, it, its","him","",".","","","","","","","","","","","",""
"18","85","Они кормили его.","They fed him.","They, Them, Their, Theirs","They","fed, feed, feeder, feeding, feeds, feedest, feeded","fed","him, he, his, it, its","him","",".","","","","","","","","","","","",""
"19","85","Я спросил вас.","I asked you.","I, me, my, mine","I","asked, ask, asking, asks, askest, asks'","asked","you, your, yours","you","",".","","","","","","","","","","","",""
"20","85","Он потерял это.","He lost it.","He, Him, His, It, Its","He","lost, lose, losing, loses, losest, losed, loseing","lost","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"21","85","Он сказал нам.","He told us.","He, Him, His, It, Its","He","told, tell, telling, tells, tellest, tollen","told","us, we, our, ours","us","",".","","","","","","","","","","","",""
"22","85","Мы нашли его.","We found him.","We, Our, Us, Ours","We","found, find, finding, finds, findest, finded, finds'","found","him, he, his, it, its","him","",".","","","","","","","","","","","",""
"23","85","Он защитил меня.","He protected me.","He, Him, His, It, Its","He","protected, protect, protects, protecting, protectest, protects'","protected","me, i, my, mine","me","",".","","","","","","","","","","","",""
"24","85","Я нашёл это!","I found it!","I, me, my, mine","I","found, find, finding, finds, findest, finded, finds'","found","it, he, him, his, its","it","","!","","","","","","","","","","","",""
"25","85","Я узнала его.","I recognized him.","I, me, my, mine","I","recognized, recognize, recognizing, recognizes, recogniz'd","recognized","him, he, his, it, its","him","",".","","","","","","","","","","","",""
"26","85","Она видела их.","She saw them.","She, Her, Hers","She","saw, sawn, saws, sawing, sawed, sawest, sawer, saws'","saw","them, they, their, theirs","them","",".","","","","","","","","","","","",""
"27","85","Она украла их.","She stole them.","She, Her, Hers","She","stole, steal, stealing, stolen, stealer, steals, stealest, stealed","stole","them, they, their, theirs","them","",".","","","","","","","","","","","",""
"28","85","Они помогли вам.","They helped you","They, Them, Their, Theirs","They","helped, help, helping, helps, helpped","helped","you, your, yours","you","","","","","","","","","","","","","",""
"29","85","Она слышала это.","She heard it.","She, Her, Hers","She","heard, hear, hearing, hears, horne, heared, hearther, hearred","heard","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"30","85","Они забыли меня.","They forgot me.","They, Them, Their, Theirs","They","forgot, forget, forgotten, forgetting, forgets, forgettest","forgot","me, i, my, mine","me","",".","","","","","","","","","","","",""
"31","85","Он пригласил нас.","He invited us.","He, Him, His, It, Its","He","invited, invite, inviting, invites, invites'","invited","us, we, our, ours","us","",".","","","","","","","","","","","",""
"32","85","Ты сломала это!","You broke it!","You, Your, Yours","You","broke, break, breaking, broken, breaks, breakest, breaked","broke","it, he, him, his, its","it","","!","","","","","","","","","","","",""
"33","85","Они поймали вас.","They caught you.","They, Them, Their, Theirs","They","caught, catch, catching, catches, catched, catchs","caught","you, your, yours","you","",".","","","","","","","","","","","",""
"34","85","Она узнала его.","She recognized him.","She, Her, Hers","She","recognized, recognize, recognizing, recognizes, recogniz'd","recognized","him, he, his, it, its","him","",".","","","","","","","","","","","",""
"35","85","Я спасла его.","I saved him.","I, me, my, mine","I","saved, save, saving, saves, savest, saves'","saved","him, he, his, it, its","him","",".","","","","","","","","","","","",""
"36","85","Он выбрал меня!","He chose me!","He, Him, His, It, Its","He","chose, choose, chosen, chooses, choosing, choosest, choosed","chose","me, i, my, mine","me","","!","","","","","","","","","","","",""
"37","85","Вы позвонили мне.","You called me.","You, Your, Yours","You","called, call, calling, calls, callest, callled","called","me, i, my, mine","me","",".","","","","","","","","","","","",""
"38","85","Он нашёл это!","He found it!","He, Him, His, It, Its","He","found, find, finding, finds, findest, finded, finds'","found","it, he, him, his, its","it","","!","","","","","","","","","","","",""
"39","85","Я нашёл его!","I found him!","I, me, my, mine","I","found, find, finding, finds, findest, finded, finds'","found","him, he, his, it, its","him","","!","","","","","","","","","","","",""
"40","85","Он построил их.","He built them.","He, Him, His, It, Its","He","built, build, building, builds, builded, buildest, build's","built","them, they, their, theirs","them","",".","","","","","","","","","","","",""
"41","85","Я заработал это.","I earned it.","I, me, my, mine","I","earned, earn, earning, earns, earnt, earn'd","earned","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"42","85","Он поверил ей.","He believed her.","He, Him, His, It, Its","He","believed, believe, believes, believing, believest, believeing","believed","her, she, hers","her","",".","","","","","","","","","","","",""
"43","85","Она нашла нас.","She found us.","She, Her, Hers","She","found, find, finding, finds, findest, finded, finds'","found","us, we, our, ours","us","",".","","","","","","","","","","","",""
"44","85","Я продал это.","I sold it.","I, me, my, mine","I","sold, sell, selling, sells, sollen, sell best","sold","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"45","85","Он сказал ей.","He told her.","He, Him, His, It, Its","He","told, tell, telling, tells, tellest, tollen","told","her, she, hers","her","",".","","","","","","","","","","","",""
"46","85","Мы видели его.","We saw him.","We, Our, Us, Ours","We","saw, sawn, saws, sawing, sawed, sawest, sawer, saws'","saw","him, he, his, it, its","him","",".","","","","","","","","","","","",""
"47","85","Я перебил её.","I interrupted her.","I, me, my, mine","I","interrupted, interrupt, interrupting, interrupts","interrupted","her, she, hers","her","",".","","","","","","","","","","","",""
"48","85","Он сказал вам.","He told you.","He, Him, His, It, Its","He","told, tell, telling, tells, tellest, tollen","told","you, your, yours","you","",".","","","","","","","","","","","",""
"49","85","Мы потеряли их.","We lost them.","We, Our, Us, Ours","We","lost, lose, losing, loses, losest, losed, loseing","lost","them, they, their, theirs","them","",".","","","","","","","","","","","",""
"50","85","Я забыл это.","I forgot it.","I, me, my, mine","I","forgot, forget, forgotten, forgetting, forgets, forgettest","forgot","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"51","85","Он знал их.","He knew them.","He, Him, His, It, Its","He","knew, know, knowing, known, knows, knowed, knowest, knower","knew","them, they, their, theirs","them","",".","","","","","","","","","","","",""
"52","85","Он планировал это.","He planned it.","He, Him, His, It, Its","He","planned, plan, plans, planning","planned","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"53","85","Он взял их.","He took them.","He, Him, His, It, Its","He","took, take, taken, taking, takes, taketa, taked, takeing","took","them, they, their, theirs","them","",".","","","","","","","","","","","",""
"54","85","Мы нашли её.","We found her.","We, Our, Us, Ours","We","found, find, finding, finds, findest, finded, finds'","found","her, she, hers","her","",".","","","","","","","","","","","",""
"55","85","Она позвонила мне.","She called me.","She, Her, Hers","She","called, call, calling, calls, callest, callled","called","me, i, my, mine","me","",".","","","","","","","","","","","",""
"56","85","Я встретил их.","I met them.","I, me, my, mine","I","met, meet, meeting, meets, meeter, meetest, meeted, meetting","met","them, they, their, theirs","them","",".","","","","","","","","","","","",""
"57","85","Они спрятали его.","They hid him.","They, Them, Their, Theirs","They","hid, hidden, hide, hiding, hides, hidest, hided, hideing","hid","him, he, his, it, its","him","",".","","","","","","","","","","","",""
"58","85","Она повторила это.","She repeated it.","She, Her, Hers","She","repeated, repeat, repeating, repeats","repeated","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"59","85","Мы нашли вас!","We found you!","We, Our, Us, Ours","We","found, find, finding, finds, findest, finded, finds'","found","you, your, yours","you","","!","","","","","","","","","","","",""
