"word_id","ref_id","setting_id","translate"
296473,3,1,"livro de frases essenciais"
728231,3,1,"viajar para o exterior"
475869,3,1,"salto de pára-quedas"
8816453,3,1,"Estar no caminho certo"
4756594,3,1,"Estar por um fio"
9913038,3,1,"Ponderar sobre o futuro"
5047,3,1,"além de (para locais)"
232362,3,1,"justo e perfeito, direito"
474167,3,1,"taça alta para vinho"
31017,3,1,"um grande número de"
201321,3,1,"por, por causa de"
474110,3,1,"remédio para tosse, xarope"
5807995,3,1,"Iguais como duas ervilhas"
476156,3,1,"poema de 5 versos"
855452,3,1,"Estar no sétimo céu"
439192,3,1,"Um passarinho me contou"
423565,3,1,"Comer como um boi"
475436,3,1,"definição de nova conta"
6466793,3,1,"Estar fora de perigo"
6852,3,3,"poder conseguir  lata"
475249,3,1,"cabine de primeira classe"
475416,3,1,"taxa de retorno contábil"
41143,3,1,"por toda a parte"
481023,3,1,"fileira com 6 assentos"
36803,3,2,"abrigo, proteção, refúgio, asilo"
44871,3,1,"à prova d'água"
40895,3,2,"então, depois, em seguida"
475758,3,1,"tela de cristal líquido"
188714,3,1,"ir para a cama"
18688225,3,1,"Arrepiar-se, ter calafrios"
14871,3,1,"em toda a parte"
19726,3,2,"atrapalhar, estorvar, impedir, dificultar"
475779,3,1,"linguagem de nível inferior"
430220,3,1,"Ter borboletas no estômago"
475286,3,1,"caixas de acondicionamento geral"
474192,3,1,"roupa íntima para mulheres"
475381,3,1,"máscaras para os olhos"
17840,3,1,"tecido de algodão fino"
475380,3,1,"protetores para os ouvidos"
481053,3,1,"aeronaves de fuselagem larga"
475357,3,1,"na área de entrada"
481022,3,1,"fileira com 4 assentos"
475253,3,1,"composição de classe única"
475828,3,1,"o galo da madeira"
475315,3,1,"na parte do meio"
474204,3,1,"pano de nylon impermeável"
475254,3,1,"composição de duas classes"
481038,3,1,"aeronaves de fuselagem estreita"
1042377,3,1,"pela porta da frente"
1042376,3,1,"cabine da classe executiva"
20190,3,2,"no entanto, entretanto, contudo"
475273,3,1,"a fileira da frente"
475370,3,1,"pela porta da frente"
1042379,3,1,"cabine de classe econômica"
1042371,3,1,"estar no lugar errado"
1042380,3,1,"cabine de classe turística"
190837,3,1,"unidade de tratamento intensivo"
475277,3,1,"ao lado do corredor"
475316,3,1,"na parte da frente"
475281,3,1,"ao lado da janela"
406250,3,1,"pano de lã grossa"
475296,3,1,"sistema de ar condicionado"
1042387,3,1,"mostrar algo a alguém"
475283,3,1,"aviso de proibido fumar"
33746,3,1,"pisco de peito ruivo"
17595,3,1,"reunir-se, colher, acumular"
