ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","19","Они собираются съесть их?","Are they going to eat them?","Are, Is, Be, Been, Was, Were, Will, Shall","Are","they, them, their, theirs","they","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","eat, ate, eaten, eating, eats, eatest, eated, eatting","eat","them, they, their, theirs","them","","?","","","","","",""
"2","19","Во что вы собираетесь играть?","What are you going to play?","What, Where, When, Why, Who","What","are, is, be, been, was, were, will, shall","are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","play, playing, played, plays, plaied, plaies, plays'","play","","?","","","","","",""
"3","19","Кого мы собираемся впечатлить?","Who are we going to impress?","Who, Where, When, Why, What","Who","are, is, be, been, was, were, will, shall","are","we, our, us, ours","we","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","impress, impressed, impressing, impresses, impress'","impress","","?","","","","","",""
"4","19","Кого вы собираетесь пригласить?","Who are you going to invite?","Who, Where, When, Why, What","Who","are, is, be, been, was, were, will, shall","are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","invite, inviting, invited, invites, invites'","invite","","?","","","","","",""
"5","19","Кого ты собираешься спасти?","Who are you going to save?","Who, Where, When, Why, What","Who","are, is, be, been, was, were, will, shall","are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","save, saving, saved, saves, savest, saves'","save","","?","","","","","",""
"6","19","Что ты собираешься посмотреть?","What are you going to watch?","What, Where, When, Why, Who","What","are, is, be, been, was, were, will, shall","are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","watch, watching, watches, watched, watchs, watches'","watch","","?","","","","","",""
"7","19","Что ты собираешься получить?","What are you going to get?","What, Where, When, Why, Who","What","are, is, be, been, was, were, will, shall","are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","get, got, gotten, getting, gets, gettest, geted, gets'","get","","?","","","","","",""
"8","19","Что они собираются сказать?","What are they going to say?","What, Where, When, Why, Who","What","are, is, be, been, was, were, will, shall","are","they, them, their, theirs","they","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","say, said, saying, says, sayest, sayed, sayling, saies","say","","?","","","","","",""
"9","19","Кем я собираюсь быть?","Who am I going to be?","Who, Where, When, Why, What","Who","am, are, be, been, being, is, was, were","am","I, me, my, mine","I","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","be, is, been, are, was, were, will, shall","be","","?","","","","","",""
"10","19","Что ты собираешься создать?","What are you going to make?","What, Where, When, Why, Who","What","are, is, be, been, was, were, will, shall","are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","make, made, making, makes, mook, maken, make  bed, makeing","make","","?","","","","","",""
"11","19","Что ты собираешься распечатать?","What are you going to print?","What, Where, When, Why, Who","What","are, is, be, been, was, were, will, shall","are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","print, printing, printed, prints, prints'","print","","?","","","","","",""
"12","19","Что ты собираешься попробовать?","What are you going to try?","What, Where, When, Why, Who","What","are, is, be, been, was, were, will, shall","are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","try, tried, trying, tries, tryed, tryta, trys, try best","try","","?","","","","","",""
"13","19","Что ты собираешься спеть?","What are you going to sing?","What, Where, When, Why, Who","What","are, is, be, been, was, were, will, shall","are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","sing, sang, singing, sung, sings, singging","sing","","?","","","","","",""
"14","19","Кому я собираюсь сказать?","Who am I going to tell?","Who, Where, When, Why, What","Who","am, are, be, been, being, is, was, were","am","I, me, my, mine","I","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","tell, telling, told, tells, tellest, tollen","tell","","?","","","","","",""
"15","19","Что ты собираешься написать?","What are you going to write?","What, Where, When, Why, Who","What","are, is, be, been, was, were, will, shall","are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","write, wrote, writing, written, writes, writeing, writes', write's","write","","?","","","","","",""
"16","19","Что ты собираешься съесть?","What are you going to eat?","What, Where, When, Why, Who","What","are, is, be, been, was, were, will, shall","are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","eat, ate, eaten, eating, eats, eatest, eated, eatting","eat","","?","","","","","",""
"17","19","Что мы собираемся сказать?","What are we going to say?","What, Where, When, Why, Who","What","are, is, be, been, was, were, will, shall","are","we, our, us, ours","we","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","say, said, saying, says, sayest, sayed, sayling, saies","say","","?","","","","","",""
"18","19","Кому вы собираетесь поверить?","Who are you going to believe?","Who, Where, When, Why, What","Who","are, is, be, been, was, were, will, shall","are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","believe, believed, believes, believing, believest, believeing","believe","","?","","","","","",""
"19","19","Кому я собираюсь позвонить?","Who am I going to call?","Who, Where, When, Why, What","Who","am, are, be, been, being, is, was, were","am","I, me, my, mine","I","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","call, calling, called, calls, callest, callled","call","","?","","","","","",""
"20","19","Вы собираетесь присоединиться к нам?","Are you going to join us?","Are, Is, Be, Been, Was, Were, Will, Shall","Are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","join, joining, joined, joins, joins'","join","us, we, our, ours","us","","?","","","","","",""
"21","19","Ты собираешься ударить меня?","Are you going to hit me?","Are, Is, Be, Been, Was, Were, Will, Shall","Are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","hit, hitting, hits, hittest, hited, hiting, hitted","hit","me, i, my, mine","me","","?","","","","","",""
"22","19","Вы собираетесь следовать этому?","Are you going to follow it?","Are, Is, Be, Been, Was, Were, Will, Shall","Are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","follow, following, followed, follows","follow","it, he, him, his, its","it","","?","","","","","",""
"23","19","Ты собираешься ответить на это?","Are you going to answer it?","Are, Is, Be, Been, Was, Were, Will, Shall","Are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","answer, answered, answers, answering, answerer, answerest","answer","it, he, him, his, its","it","","?","","","","","",""
"24","19","Вы собираетесь смотреть это?","Are you going to watch it?","Are, Is, Be, Been, Was, Were, Will, Shall","Are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","watch, watching, watches, watched, watchs, watches'","watch","it, he, him, his, its","it","","?","","","","","",""
"25","19","Что ты собираешься заказать?","What are you going to order?","What, Where, When, Why, Who","What","are, is, be, been, was, were, will, shall","are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","order, ordering, orders, ordered, orderi, orderest","order","","?","","","","","",""
"26","19","Вы собираетесь представлять его?","Are you going to represent him?","Are, Is, Be, Been, Was, Were, Will, Shall","Are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","represent, represents, represented, representing, represent's","represent","him, he, his, it, its","him","","?","","","","","",""
"27","19","Вы собираетесь остановить меня?","Are you going to stop me?","Are, Is, Be, Been, Was, Were, Will, Shall","Are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","stop, stopping, stopped, stops","stop","me, i, my, mine","me","","?","","","","","",""
"28","19","Ты собираешься позвонить ему?","Are you going to call him?","Are, Is, Be, Been, Was, Were, Will, Shall","Are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","call, calling, called, calls, callest, callled","call","him, he, his, it, its","him","","?","","","","","",""
"29","19","Ты собираешься сказать нам?","Are you going to tell us?","Are, Is, Be, Been, Was, Were, Will, Shall","Are","you, your, yours","you","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","tell, telling, told, tells, tellest, tollen","tell","us, we, our, ours","us","","?","","","","","",""
