ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","27","Он использует меня!","He's been using me!","He's, He'd, He'll, He're","He's","been, is, be, are, was, were, will, shall","been","using, use, used, uses, useta, useing, use's","using","me, i, my, mine","me","","!","","","","","","","","","",""
"2","27","Мы изучаем их на протяжении недели.","We have been studying them for a week.","We, Our, Us, Ours","We","have, had, has, having, haves, haveta, haveing, have led","have","been, is, be, are, was, were, will, shall","been","studying, studied, study, studies, studier, studys, studid","studying","them, they, their, theirs","them","for, on, in, at, since, ago, before, to","for","a, an","a","week, weeks, weeked","week","",".","",""
"3","27","Мы обсуждаем вас какое-то время.","We've been discussing you for some time.","We've, We'd, We'll, We're","We've","been, is, be, are, was, were, will, shall","been","discussing, discuss, discussed, discusses","discussing","you, your, yours","you","for, on, in, at, since, ago, before, to","for","some, somes, someing","some","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","",""
"4","27","Я наблюдаю за вами год.","I've been watching you for a year.","I've, I'd, I'll, I'm","I've","been, is, be, are, was, were, will, shall","been","watching, watch, watches, watched, watchs, watches'","watching","you, your, yours","you","for, on, in, at, since, ago, before, to","for","a, an","a","year, years, yeard, yeared, yearing","year","",".","","","",""
"5","27","Мы преследуем его с сегодняшнего утра.","We've been chasing him since this morning.","We've, We'd, We'll, We're","We've","been, is, be, are, was, were, will, shall","been","chasing, chase, chased, chases, chaseing","chasing","him, he, his, it, its","him","since, on, in, at, for, ago, before, to","since","this, it'll, it's, its","this","morning, mornin, morn","morning","",".","","","",""
"6","27","Я наблюдаю за вами в течение некоторого времени.","I've been watching you for some time.","I've, I'd, I'll, I'm","I've","been, is, be, are, was, were, will, shall","been","watching, watch, watches, watched, watchs, watches'","watching","you, your, yours","you","for, on, in, at, since, ago, before, to","for","some, somes, someing","some","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","",""
"7","27","Я наблюдаю за тобой в течение часа.","I've been watching you for an hour.","I've, I'd, I'll, I'm","I've","been, is, be, are, was, were, will, shall","been","watching, watch, watches, watched, watchs, watches'","watching","you, your, yours","you","for, on, in, at, since, ago, before, to","for","an, a","an","hour, hours, hourglass, hourly","hour","",".","","","",""
"8","27","Я говорю тебе о том весь год!","I've been telling you that all year!","I've, I'd, I'll, I'm","I've","been, is, be, are, was, were, will, shall","been","telling, tell, told, tells, tellest, tollen","telling","you, your, yours","you","that, those, thats, that led","that","all, allbest, alls'","all","year, years, yeard, yeared, yearing","year","","!","","","",""
"9","27","Они говорят это на протяжении какого-то времени.","They've been saying it for a while.","They've, They'd, They'll, They're","They've","been, is, be, are, was, were, will, shall","been","saying, said, say, says, sayest, sayed, sayling, saies","saying","it, he, him, his, its","it","for, on, in, at, since, ago, before, to","for","a, an","a","while, whiles, whiled, whiling, whiles', while's","while","",".","","","",""
"10","27","Мы читаем.","We've been reading.","We've, We'd, We'll, We're","We've","been, is, be, are, was, were, will, shall","been","reading, read, reader, reads, readest, readed","reading","",".","","","","","","","","","","","",""
"11","27","Я думаю.","I have been thinking.","I, me, my, mine","I","have, had, has, having, haves, haveta, haveing, have led","have","been, is, be, are, was, were, will, shall","been","thinking, think, thought, thinks, thinkest, thinked, thinks'","thinking","",".","","","","","","","","","",""
"12","27","Мы танцуем.","We've been dancing","We've, We'd, We'll, We're","We've","been, is, be, are, was, were, will, shall","been","dancing, dance, dances, danced, danceing","dancing","","","","","","","","","","","","","",""
"13","27","Вы скрываетесь.","You've been hiding.","You've, You'd, You'll, You're","You've","been, is, be, are, was, were, will, shall","been","hiding, hid, hidden, hide, hides, hidest, hided, hideing","hiding","",".","","","","","","","","","","","",""
"14","27","Они ждут.","They've been waiting.","They've, They'd, They'll, They're","They've","been, is, be, are, was, were, will, shall","been","waiting, wait, waited, waits, waitting","waiting","",".","","","","","","","","","","","",""
"15","27","Я слушаю.","I've been listening.","I've, I'd, I'll, I'm","I've","been, is, be, are, was, were, will, shall","been","listening, listen, listened, listens, listenning, listen'd, listen's","listening","",".","","","","","","","","","","","",""
"16","27","Вы читаете.","You've been reading","You've, You'd, You'll, You're","You've","been, is, be, are, was, were, will, shall","been","reading, read, reader, reads, readest, readed","reading","","","","","","","","","","","","","",""
