"word_id","ref_id","setting_id","translate"
77689,3,1,"guarda-costas"
474461,3,1,"professor particular"
474466,3,1,"representante comercial"
474468,3,1,"químico farmacêutico"
474509,3,1,"educação musical"
474521,3,1,"ônibus escolar"
474476,3,1,"educação alternativa"
39327,3,1,"batida, pancada"
413645,3,1,"esqui aquático"
476177,3,1,"alguns quarteirões"
353427,3,1,"língua estrangeira"
200704,3,1,"por ali"
48286,3,1,"queda-livre"
474503,3,1,"educação legal"
5453,3,1,"bloco, quarteirão"
32554,3,1,"escola pública"
27706,3,1,"escola infantil"
474508,3,1,"educação militar"
18877,3,1,"meio-irmão"
211405,3,1,"ex-marido"
10119,3,1,"prima, primo"
474496,3,1,"pesquisa educacional"
474489,3,1,"reforma educacional"
186891,3,1,"ex-esposa"
18897,3,1,"meia-irmã"
474482,3,1,"educação clássica"
224756,3,1,"educação física"
474528,3,1,"crédito educacional"
474497,3,1,"software educacional"
1831,3,1,"com exatidão"
474490,3,1,"aconselhamento educacional"
474160,3,1,"produtos infantis"
474488,3,1,"política educacional"
474505,3,1,"artes liberais"
317785,3,1,"pós-graduação"
474524,3,1,"educação científica"
109514,3,1,"valor próprio"
40307,3,1,"pegar, tomar"
474507,3,1,"educação médica"
369784,3,1,"e-learning"
474515,3,1,"educação primária"
474526,3,1,"educação especial"
474487,3,1,"educação infantil"
480930,3,1,"perder aulas"
225554,3,1,"forno microondas"
19316,3,1,"ataque cardíaco"
312093,3,1,"ensino superior"
474483,3,1,"educação mista"
204072,3,1,"senso comum"
474474,3,1,"aprendizagem ativa"
474520,3,1,"educação religiosa"
474493,3,1,"jogos educacionais"
79005,3,1,"quadro negro"
312090,3,1,"ensino médio"
474479,3,1,"aprendizagem mista"
474517,3,1,"certificação profissional"
474478,3,1,"educação bilíngue"
474522,3,1,"disciplina escolar"
474470,3,1,"título acadêmico"
474485,3,1,"pensamento crítico"
474492,3,1,"filme educacional"
474491,3,1,"avaliação educacional"
474494,3,1,"organização educacional"
474523,3,1,"psicólogo escolar"
474525,3,1,"educação sexual"
17900,3,1,"copo, vidro"
30654,3,1,"comprimido, pílula"
232280,3,1,"período frio"
39566,3,1,"bem sucedido"
880625,3,1,"bronzear-se"
34700,3,1,"tocar (campainha)"
42653,3,1,"guarda-chuva"
37235,3,1,"só, único"
314020,3,1,"de férias"
476237,3,1,"estação ferroviária"
40735,3,1,"barraca, tenda"
10262,3,1,"nado crawl"
31488,3,1,"cartão postal"
355705,3,1,"ônibus elétrico"
45645,3,1,"de madeira"
45796,3,1,"luta livre"
225511,3,1,"pingue-pongue"
41202,3,1,"bilhete, ingresso"
31401,3,1,"porco-espinho"
46348,3,1,"ginástica aeróbica"
13041,3,1," dominó"
10423,3,1,"cross-country"
33229,3,1,"arco-íris"
17107,3,1,"frio intenso"
475802,3,1,"raios ultravioleta"
475807,3,1,"são bernardo"
36996,3,1,"chuva, chuveiro"
910029,3,1,"raios u.v."
48452,3,1,"filtro solar"
1042396,3,1,"animal ungulado"
36767,3,1,"cão pastor"
8771,3,1,"cão pastor"
42499,3,1,"décimo segundo"
463912,3,1,"Surpresa absoluta"
475817,3,1,"lagosta espinhosa"
475813,3,1,"javali selvagem"
446589,3,1,"Acontecimento raro"
14044,3,1,"décimo primeiro"
45598,3,1,"cão-lobo"
26190,3,1,"vira-lata"
31189,3,1,"raposa polar"
475800,3,1,"parcialmente nublado"
475815,3,1,"cabra bílis"
414320,3,1,"óleo bronzeador"
38187,3,1,"cocker spaniel"
3423,3,1,"raposa ártica"
14843,3,1,"até mesmo"
475808,3,1,"animal doméstico"
28796279,3,1,"pedal morto"
19413,3,1,"porco-espinho"
180399,3,1,"sustentar, segurar"
21568,3,1,"dano, lesão"
475810,3,1,"búfalo americano"
182934,3,1,"obter em"
334282,3,1,"esgotamento nervoso"
180377,3,1,"pendurar, deixar"
1042397,3,1,"cortar-se"
43271,3,1,"diferente de"
474105,3,1,"doença incurável"
13200,3,1,"para baixo"
4969,3,1,"além de"
45149,3,2,"o que"
474109,3,1,"erupção cutânea"
474127,3,1,"ponto dolorido"
6280,3,1,"ferida, machucado"
74309,3,1,"saca-rolhas"
197350,3,1,"host local"
475773,3,1,"programação literária"
28167,3,1,"uma vez"
173799,3,1,"além de"
28303,3,1,"oposto a"
356808,3,1,"sofrer de"
45211,3,1,"o qual"
283416,3,1,"resfriar-se"
43666,3,1,"para cima"
474111,3,1,"ciência médica"
5475,3,1,"pressão arterial"
312339,3,1,"exame médico"
30685,3,1,"acne, espinha"
487458,3,1,"ascender, surgir"
10657,3,1,"cura, tratamento"
33341,3,1,"assadura, brotoeja"
16192,3,1,"em forma"
42920,3,1,"de baixo"
665,3,1,"eu sou"
9972,3,1,"cama portátil"
272922,3,1,"registrar-se"
131988,3,1,"lava-louças"
922280,3,1,"sobrancelhas grossas"
40961,3,1,"garrafa térmica"
201154,3,1,"garganta inflamada"
54300,3,1,"efeito colateral"
475437,3,1,"custo fiscal"
474154,3,1,"sofá-poltrona"
459915,3,1,"salário bruto"
40863,3,1,"do que"
475442,3,1,"operação anulada"
474158,3,1,"móveis macios"
371432,3,1,"porta-luvas"
38315,3,2,"passar, gastar"
174183,3,1,"entre si"
22030,3,1,"dentro de"
39595,3,1,"de repente"
6918,3,1,"nao pode"
4091,3,1,"de volta"
