,trigram,freq
9581,"('___', 'do_AUX', 'not_PART')",78
1045,"('___', 'can_AUX', 'not_PART')",58
874,"('one_NUM', 'of_ADP', 'the_DET')",54
23499,"('a_DET', 'lot_NOUN', 'of_ADP')",44
20800,"('there_ADV', 'be_VERB', 'a_DET')",38
1243,"('it_PRON', 'be_AUX', 'a_DET')",32
133,"('I_PRON', 'do_AUX', 'not_PART')",31
82366,"('takin_ADJ', ""'_PART"", 'back_VERB')",30
82367,"(""'_PART"", 'back_VERB', 'my_DET')",30
82368,"('back_VERB', 'my_DET', 'love_NOUN')",30
134,"('do_AUX', 'not_PART', 'know_VERB')",28
262,"('there_ADV', 'be_VERB', 'no_DET')",27
82369,"('my_DET', 'love_NOUN', 'I_PRON')",27
35781,"('a_DET', 'little_ADJ', 'bit_NOUN')",27
1700,"('be_AUX', 'go_VERB', 'to_PART')",24
82364,"('I_PRON', 'be_AUX', 'takin_ADJ')",24
8068,"('be_AUX', 'one_NUM', 'of_ADP')",24
1234,"('some_PRON', 'of_ADP', 'the_DET')",24
5966,"('this_PRON', 'be_AUX', 'the_DET')",24
82365,"('be_AUX', 'takin_ADJ', ""'_PART"")",24
570,"('out_ADP', 'of_ADP', 'the_DET')",22
1044,"('I_PRON', '___', 'can_AUX')",21
7984,"('be_AUX', 'able_ADJ', 'to_PART')",20
252,"('the_DET', 'top_NOUN', 'of_ADP')",20
5487,"('I_PRON', 'be_AUX', 'not_PART')",20
9580,"('I_PRON', '___', 'do_AUX')",20
1616,"('I_PRON', 'can_AUX', 'not_PART')",19
6640,"('for_ADP', 'a_DET', 'moment_NOUN')",19
447,"('and_CCONJ', 'I_PRON', 'be_AUX')",19
4221,"('you_PRON', 'need_VERB', 'to_PART')",19
9426,"('but_CCONJ', 'I_PRON', 'be_AUX')",19
15874,"('I_PRON', 'be_AUX', 'on_ADP')",17
82379,"('my_DET', 'love_NOUN', 'my_DET')",17
13005,"('I_PRON', 'want_VERB', 'to_PART')",17
82380,"('love_NOUN', 'my_DET', 'love_NOUN')",17
22055,"('to_PART', 'be_AUX', 'a_DET')",17
78,"('the_DET', 'sun_NOUN', 'be_AUX')",17
2553,"('one_NUM', 'of_ADP', 'they_PRON')",17
33744,"('be_AUX', 'on_ADP', 'a_DET')",16
34848,"('there_ADV', '’_VERB', 'a_DET')",16
615,"('as_ADV', 'well_ADV', 'as_ADP')",16
3907,"('that_SCONJ', 'I_PRON', 'be_AUX')",16
17819,"('the_DET', 'end_NOUN', 'of_ADP')",16
250,"('be_AUX', 'in_ADP', 'the_DET')",15
4397,"('what_PRON', 'can_AUX', 'I_PRON')",15
33745,"('on_ADP', 'a_DET', 'boat_NOUN')",15
43137,"('we_PRON', ""'_PART"", 'll_AUX')",15
34983,"('can_AUX', 'I_PRON', 'do_AUX')",14
2519,"('in_ADP', 'the_DET', 'middle_NOUN')",14
43818,"('a_DET', 'couple_NOUN', 'of_ADP')",14
11700,"('side_NOUN', 'of_ADP', 'the_DET')",14
