,eng_word,l1,l1_context,l2,l2_context
0,treat,gâterie,wholesome treat|sweet treats|,угощение,morning treat|feast | 
1,treat,friandise,real treat|natural pet treats|sweet | candy | delicacy | goody | pet treats | ,no_equality,
2,treat,régal,real treat for the eyes|delight | feast | real treat | special treat | ,угощение,morning treat|feast | 
3,treat,délice,delight | delicacy | bliss | delicious treats | ,угощение,morning treat|feast | 
4,treat,festin,feast | banquet | ,no_equality,
5,treat,douceur,softness | sweetness | sweet | gentleness | mildness | smoothness | delicacy | meekness | kindness | ,no_equality,
6,treat,émail,enamel | ,no_equality,
7,treat,traiter,to treat cancer|to treat disease|to treat diabetes|to treat depression|process | address | deal | handle | discuss | cover | process | ,no_equality,
8,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,no_equality,
9,treat,soigner,to treat people|to treat angina|cure | heal | look after | care | look after | heal | care | ,no_equality,
10,treat,gâterie,wholesome treat|sweet treats|,угощение,morning treat|feast | 
11,treat,régal,real treat for the eyes|delight | feast | real treat | special treat | ,угощение,morning treat|feast | 
12,treat,délice,delight | delicacy | bliss | delicious treats | ,угощение,morning treat|feast | 
13,treat,no_equality,,удовольствие,pleasure | fun | satisfaction | enjoyment | amusement | joy | delight | 
14,treat,no_equality,,лакомство,delicacy | dainty | 
15,treat,no_equality,,лечить,to treat people|heal | cure | heal | dose | 
16,treat,no_equality,,рассматривать,consider | see | view | regard | examine | review | 
17,treat,no_equality,,относиться,include | apply | belong | relate | concern | view | regard | date back | 
18,treat,no_equality,,обращаться,turn | contact | apply | appeal | address | deal | turn | reach out | 
19,treat,no_equality,,вылечить,cure | heal | 
20,treat,no_equality,,рассматриваться,consider | view | address | examine | regard | see | review | construe | 
21,treat,no_equality,,угостить,
22,treat,no_equality,,обрабатывать,to treat even vast skin areas|process | handle | process | handle | machine | cultivate | 
23,treat,no_equality,,лечиться,
24,diner,dîner,dinner | ,no_equality,
25,diner,convive,guest | seater | ,no_equality,
26,diner,couvert,seat | cover | cutlery | canopy | place setting | silverware | ,no_equality,
27,diner,café-restaurant,coffee shop | cafe-restaurant | café restaurant | café-restaurant | café-restaurants | restaurant-café | ,no_equality,
28,diner,souper,dinner | supper | ,no_equality,
29,diner,dîneur,,no_equality,
30,diner,no_equality,,diners,
31,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
32,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
33,dinner,dîner,gala dinner|romantic dinner|mess dinner|business dinners|diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
34,dinner,soir,evening | night | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
35,dinner,souper,formal dinner|group dinner|supper | diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
36,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
37,dinner,dîner,gala dinner|romantic dinner|mess dinner|business dinners|diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
38,dinner,souper,formal dinner|group dinner|supper | diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
39,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
40,dinner,soir,evening | night | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
41,necessary,nécessaire,absolutely necessary|reasonably necessary|really necessary|still necessary|required | needed | needed | appropriate | essential | ,нужный,right | needed | correct | appropriate | proper | relevant | 
42,necessary,indispensable,particularly necessary|essential | indispensable | vital | crucial | critical | needed | needed | imperative | ,no_equality,
43,necessary,requis,required | requested | needed | needed | requisite | ,no_equality,
44,necessary,nécessaire,absolutely necessary|reasonably necessary|really necessary|still necessary|required | needed | needed | appropriate | essential | ,нужный,right | needed | correct | appropriate | proper | relevant | 
45,necessary,no_equality,,обязательный,mandatory | compulsory | obligatory | binding | essential | indispensable | optional | 
46,necessary,no_equality,,необходимый,
47,necessary,no_equality,,неотъемлемый,integral | inalienable | essential | inherent | indispensable | vital | 
48,necessary,no_equality,,должный,proper | due | adequate | appropriate | 
49,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,идти,to go home|to go further|to go straight|to go forward|come | walk | move | keep | run | walk | follow | 
50,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,пойти,to go well|to go there|to go down|to go wrong|walk | go out | 
51,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,быть,to go decisively|to go tomorrow|to go in vain|have | be | include | feature | get | come | offer | become | 
52,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,ходить,walk | walk | run | walk around | wear | 
53,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,пройти,to go smoothly|to go here|to go too well|to go into her exam|pass | hold | took place | undergo | receive | host | walk | complete | 
54,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,отправиться,to go to summer camp|to go to pristine reefs|to go to this village|travel | set out | go out | head | embark | leave | depart | 
55,go,aller,to go further|to go hand in hand|to go too far|to go to the beach|move | get | range | come | move | run | ,перейти,to go to the background image|to go into its pinwheel display|move | switch | cross | pass | proceed | navigate | shift | turn | 
