ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","23","Что ты написал?","What have you written?","What, Where, When, Why, Who","What","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","written, wrote, write, writing, writes, writeing, writes', write's","written","","?","","","","","","","","","",""
"2","23","Что вы видели?","What have you seen?","What, Where, When, Why, Who","What","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","","?","","","","","","","","","",""
"3","23","Что мы потеряли?","What have we lost?","What, Where, When, Why, Who","What","have, had, has, having, haves, haveta, haveing, have led","have","we, our, us, ours","we","lost, lose, losing, loses, losest, losed, loseing","lost","","?","","","","","","","","","",""
"4","23","Что ты вспомнил?","What have you remembered?","What, Where, When, Why, Who","What","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","remembered, remember, remembering, remembers, rememberest, remembers'","remembered","","?","","","","","","","","","",""
"5","23","Что ты ел?","What have you eaten?","What, Where, When, Why, Who","What","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","eaten, ate, eat, eating, eats, eatest, eated, eatting","eaten","","?","","","","","","","","","",""
"6","23","Что я пропустил?","What have I missed?","What, Where, When, Why, Who","What","have, had, has, having, haves, haveta, haveing, have led","have","I, me, my, mine","I","missed, miss, missing, misses, misser","missed","","?","","","","","","","","","",""
"7","23","Вы позвонили его врачу?","Have you called his doctor?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","called, call, calling, calls, callest, callled","called","his, he, him, it, its","his","doctor, doctors, doctoring, doctored","doctor","","?","","","","","","","",""
"8","23","Вы сделали ваше исследование?","Have you done your research?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","done, do, does, did, doing","done","your, you, yours","your","research, researched, researches, researching, researches'","research","","?","","","","","","","",""
"9","23","Ты видел собаку?","Have you seen the dog?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","the, then, though","the","dog, dogged, dogs, dogging, dogbed","dog","","?","","","","","","","",""
"10","23","Ты видел принцессу?","Have you seen the princess?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","the, then, though","the","princess, prince's, princely, princeton, prince","princess","","?","","","","","","","",""
"11","23","Ты видел этого робота?","Have you seen this robot?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","this, it'll, it's, its","this","robot, robots, roboting","robot","","?","","","","","","","",""
"12","23","Ты видел обезьяну?","Have you seen a monkey?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","a, an","a","monkey, monkeys, monkeyed, monkeying, monkiest","monkey","","?","","","","","","","",""
"13","23","Вы видели птицу?","Have you seen the bird?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","the, then, though","the","bird, birds, birt, birding","bird","","?","","","","","","","",""
"14","23","Вы видели этого ребёнка?","Have you seen this child?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","this, it'll, it's, its","this","child, children, childs, childer, chilt","child","","?","","","","","","","",""
"15","23","Вы видели этого мужчину?","Have you seen this man?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","this, it'll, it's, its","this","man, manned, manning, men, maning, mans, maned, maner","man","","?","","","","","","","",""
"16","23","Ты видел эту кошку?","Have you seen this cat?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","this, it'll, it's, its","this","cat, cats, catted, catting, catter","cat","","?","","","","","","","",""
"17","23","Вы видели этот доклад?","Have you seen this report?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","this, it'll, it's, its","this","report, reported, reports, reporting","report","","?","","","","","","","",""
"18","23","Ты использовал этот метод?","Have you used this method?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","used, use, using, uses, useta, useing, use's","used","this, it'll, it's, its","this","method, methods, methodist, methodical, methodically, methodology","method","","?","","","","","","","",""
"19","23","Ты видел новости?","Have you seen the news?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","the, then, though","the","news, newspapers, newscaster, newsstand, newsletter, newspaper","news","","?","","","","","","","",""
"20","23","Ты видел этот фильм?","Have you seen this movie?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","this, it'll, it's, its","this","movie, movies, moving, movin","movie","","?","","","","","","","",""
"21","23","Ты видел этот фильм?","Have you seen this film?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","this, it'll, it's, its","this","film, filming, films, filmed","film","","?","","","","","","","",""
"22","23","Ты накормила ребёнка?","Have you fed the baby?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","fed, feed, feeder, feeding, feeds, feedest, feeded","fed","the, then, though","the","baby, babies, babied, babys, babying, babiest","baby","","?","","","","","","","",""
"23","23","Ты водил машину?","Have you driven a car?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","driven, drive, driving, drove, drives, drivest, drived","driven","a, an","a","car, carer, cars, carring, carred","car","","?","","","","","","","",""
