ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","14","Я финансирую эту вечеринку.","I'm bankrolling this party.","I'm, I'd, I'll, I've","I'm","bankrolling, bankroll, bankrolled, bankrolls","bankrolling","this, it'll, it's, its","this","party, parties, partied, partier, partys","party","",".","","","","","","","","","",""
"2","14","Вы компрометируете эту миссию.","You're compromising this mission.","You're, You'd, You'll, You've","You're","compromising, compromise, compromised, compromises","compromising","this, it'll, it's, its","this","mission, missions, missioned, mission'd, missions', missioning","mission","",".","","","","","","","","","",""
"3","14","Мы нарушаем тишину.","We're breaking the silence","We're, We'd, We'll, We've","We're","breaking, break, broke, broken, breaks, breakest, breaked","breaking","the, then, though","the","silence, silenced, silencing, silences","silence","","","","","","","","","","","",""
"4","14","Ты носишь маску.","You're wearing a mask","You're, You'd, You'll, You've","You're","wearing, wear, wore, worn, wears, worne, weared, weard","wearing","a, an","a","mask, masked, masks, masking, maskin'","mask","","","","","","","","","","","",""
"5","14","Я звоню в скорую.","I'm calling an ambulance.","I'm, I'd, I'll, I've","I'm","calling, call, called, calls, callest, callled","calling","an, a","an","ambulance, ambulances, ambulanced","ambulance","",".","","","","","","","","","",""
"6","14","Я направляюсь в ту сторону.","I'm heading that way.","I'm, I'd, I'll, I've","I'm","heading, head, headed, header, heads","heading","that, those, thats, that led","that","way, ways, waid, wayer, waies, waied","way","",".","","","","","","","","","",""
"7","14","Ты говоришь правду.","You're telling the truth.","You're, You'd, You'll, You've","You're","telling, tell, told, tells, tellest, tollen","telling","the, then, though","the","truth, truths, truthed","truth","",".","","","","","","","","","",""
"8","14","Я беру дело.","I'm taking the case.","I'm, I'd, I'll, I've","I'm","taking, take, taken, took, takes, taketa, taked, takeing","taking","the, then, though","the","case, casing, cases, cased, caseta, cas'd","case","",".","","","","","","","","","",""
"9","14","У меня разыгрывается мигрень.","I'm getting a migraine.","I'm, I'd, I'll, I've","I'm","getting, get, got, gotten, gets, gettest, geted, gets'","getting","a, an","a","migraine, migraines, migraines'","migraine","",".","","","","","","","","","",""
"10","14","У тебя вечеринка.","You're having a party.","You're, You'd, You'll, You've","You're","having, had, has, have, haves, haveta, haveing, have led","having","a, an","a","party, parties, partied, partier, partys","party","",".","","","","","","","","","",""
"11","14","Я навожу беспорядок.","I'm making a mess.","I'm, I'd, I'll, I've","I'm","making, made, make, makes, mook, maken, make  bed, makeing","making","a, an","a","mess, messing, messed, messes, messer, mess's, messes'","mess","",".","","","","","","","","","",""
"12","14","Вы оказываете поддержку ребёнку.","You are empowering the child.","You, Your, Yours","You","are, is, be, been, was, were, will, shall","are","empowering, empower, empowered, empowers","empowering","the, then, though","the","child, children, childs, childer, chilt","child","",".","","","","","","","",""
"13","14","Они идут этим путём.","They're coming this way.","They're, They'd, They'll, They've","They're","coming, came, come, comes, comest, comeing","coming","this, it'll, it's, its","this","way, ways, waid, wayer, waies, waied","way","",".","","","","","","","","","",""
"14","14","У нас вечеринка.","We're having a party.","We're, We'd, We'll, We've","We're","having, had, has, have, haves, haveta, haveing, have led","having","a, an","a","party, parties, partied, partier, partys","party","",".","","","","","","","","","",""
"15","14","Я беру перерыв.","I'm taking a break.","I'm, I'd, I'll, I've","I'm","taking, take, taken, took, takes, taketa, taked, takeing","taking","a, an","a","break, breaking, broke, broken, breaks, breakest, breaked","break","",".","","","","","","","","","",""
"16","14","У меня болит голова.","I'm getting a headache.","I'm, I'd, I'll, I've","I'm","getting, get, got, gotten, gets, gettest, geted, gets'","getting","a, an","a","headache, headaches, headaching, headaches'","headache","",".","","","","","","","","","",""
"17","14","Я пишу книгу.","I'm writing a book.","I'm, I'd, I'll, I've","I'm","writing, wrote, write, written, writes, writeing, writes', write's","writing","a, an","a","book, booked, booking, booker, books","book","",".","","","","","","","","","",""
"18","14","Ты устраиваешь сцену.","You're making a scene.","You're, You'd, You'll, You've","You're","making, made, make, makes, mook, maken, make  bed, makeing","making","a, an","a","scene, scenes, scening","scene","",".","","","","","","","","","",""
"19","14","Я пью.","I'm having a drink.","I'm, I'd, I'll, I've","I'm","having, had, has, have, haves, haveta, haveing, have led","having","a, an","a","drink, drank, drunk, drinking, drinks, drinked, drinkest","drink","",".","","","","","","","","","",""
"20","14","Я принимаю душ.","I'm taking a shower.","I'm, I'd, I'll, I've","I'm","taking, take, taken, took, takes, taketa, taked, takeing","taking","a, an","a","shower, showers, showered, showering, shower'd","shower","",".","","","","","","","","","",""
"21","14","Я звоню хозяину.","I'm calling the owner.","I'm, I'd, I'll, I've","I'm","calling, call, called, calls, callest, callled","calling","the, then, though","the","owner, ownership","owner","",".","","","","","","","","","",""
"22","14","Я уезжаю сегодня утром.","I'm leaving this morning.","I'm, I'd, I'll, I've","I'm","leaving, leave, leaves, left, leavest, loven, leav'd","leaving","this, it'll, it's, its","this","morning, mornin, morn","morning","",".","","","","","","","","","",""
"23","14","Я еду на автобусе.","I'm taking the bus.","I'm, I'd, I'll, I've","I'm","taking, take, taken, took, takes, taketa, taked, takeing","taking","the, then, though","the","bus, busing, bussing, busses, buses, bussed, bused, buses'","bus","",".","","","","","","","","","",""
"24","14","Я говорю правду.","I am telling the truth.","I, me, my, mine","I","am, are, be, been, being, is, was, were","am","telling, tell, told, tells, tellest, tollen","telling","the, then, though","the","truth, truths, truthed","truth","",".","","","","","","","",""
"25","14","Я осуществляю доставку.","I'm performing a delivery.","I'm, I'd, I'll, I've","I'm","performing, perform, performed, performs","performing","a, an","a","delivery, deliveries, deliverying, deliveriest","delivery","",".","","","","","","","","","",""
"26","14","Ты упускаешь суть.","You're missing the point.","You're, You'd, You'll, You've","You're","missing, miss, missed, misses, misser","missing","the, then, though","the","point, pointed, pointing, points, pointest, pointtest","point","",".","","","","","","","","","",""
