,trigram,chi-sq
0,"('-um', 'doodle', 'doo')",74580449877.8885
1,"('Cock', '-um', 'doodle')",58006963973.28542
2,"('Von', 'der', 'Herts')",44849957517.13114
3,"('Captain', 'Fraser', 'Freer')",2876241026.049148
4,"('chinny', 'chin', 'chin')",1988809564.3427603
5,"('Norman', 'Fraser', 'Freer')",1266341578.2058432
6,"('visit', 'librivox.org', 'record')",1138724734.153158
7,"('Dr', 'Parke', 'Alden')",1036334898.5398697
8,"('please', 'visit', 'librivox.org')",812139041.3069524
9,"('volunteer', 'please', 'visit')",691182535.3453692
10,"('grand', 'Babylon', 'Hôtel')",675080574.0041826
11,"('Madame', 'de', 'Coulevain')",479841413.12029517
12,"('mister', 'Herbert', 'Calvert')",381937644.3034525
13,"('Sir', 'Thomas', 'Ashby')",321663531.2789719
14,"('by', 'Arnold', 'Bennett')",200365140.81922305
15,"('Bo', ""'sun"", ""'s"")",175019601.26314333
16,"('Johnny', 'Crow', ""'s"")",155003442.65387776
17,"('warp', 'drive', 'shift')",152215763.01108158
18,"(""'sun"", ""'s"", 'mate')",120166013.56449671
19,"('small', 'Wee', 'bear')",103278332.94003959
20,"('Noah', ""'s"", 'ark')",102101833.08130781
21,"('mister', 'Sampson', 'Levi')",82555865.54775946
22,"('all', 'librivox', 'recording')",74205467.8023065
23,"('librivox', 'recording', 'all')",74205467.8023065
24,"('o', ""'"", 'clock')",74076896.96092445
25,"('recording', 'all', 'librivox')",73921222.15560138
26,"('librivox.org', 'record', 'by')",52064673.97096835
27,"('German', 'south', 'West')",42771593.71467166
28,"('Luke', ""'s"", 'Square')",41671413.13855249
29,"('St', 'Luke', ""'s"")",40822108.486946106
30,"('Knight', ""'s"", 'Cross')",39382131.223443784
31,"('mrs', 'Sampson', 'Levi')",38518781.67001506
32,"('Portland', 'place', 'murder')",37677633.832028106
33,"('Crow', ""'s"", 'Garden')",35505428.35865977
34,"('in', 'Johnny', 'Crow')",34763786.498945296
35,"('Astrogator', 'first', 'class')",31825147.372414675
36,"('public', 'domain', 'for')",30543850.775365617
37,"('St', 'Asaph', ""'s"")",24051566.42466601
38,"('little', 'toy', 'seller')",22036037.774124693
39,"('Beta', 'and', 'Gamma')",19188992.51441363
40,"('mussel', 'and', 'cockle')",17544223.492241703
41,"('my', 'chinny', 'chin')",16310200.971050618
42,"('carbonate', 'of', 'lime')",16165406.385188535
43,"('Legend', 'of', 'Charlemagne')",15641540.23673132
44,"('in', 'Adelphi', 'Terrace')",14962797.721334796
45,"('the', 'United', 'States')",14962165.40090328
46,"('young', 'Fraser', 'Freer')",14561524.752315657
47,"('little', 'small', 'Wee')",14289190.2315624
48,"('author', ""'s"", 'preface')",13674401.518299071
49,"('Inca', 'of', 'Peru')",12694563.252468437
50,"('the', 'Dyve', 'Burn')",12557086.449669294
51,"('five', 'thousand', 'dollar')",12267768.471059496
52,"('Mdlle', 'Reuter', ""'s"")",11833152.137333104
53,"('', 'do', 'not')",11669141.787599476
54,"('the', 'Bo', ""'sun"")",11538755.13440056
55,"('the', 'Vril', 'ya')",11443326.832107399
56,"('Oh', 'Uncle', 'Sam')",11034564.20235104
57,"('a', 'librivox', 'recording')",11006749.53197619
58,"('Suan', 'Isco', 'who')",10689289.949580485
59,"('St', 'Michael', ""'s"")",10579934.396474812
60,"('Crow', ""'s"", 'garden')",10423233.88138999
61,"('Ezra', 'Brunt', ""'s"")",9657462.731012553
62,"('in', '-', 'law')",9025632.323460402
63,"('the', 'Recreation', 'Lounge')",8740156.990186647
64,"('Hermy', 'and', 'Ursy')",8664978.3966519
65,"('the', 'Silent', 'One')",8649012.994270755
66,"('the', 'Mozart', 'trio')",8515944.154605487
