,word,oxford_sensewords,compared_sensewords,comparison_value
0,word,"['mot', 'nouvelles', 'formuler', 'parole']","['mot', 'nouvelle', 'mot', 'dire', 'formuler', 'textuel', 'verbal']",0.75
1,the,"['l’/le/la, les', 'l’/le/la', 'le', 'le/la, les', 'l’Océan Indien', 'plus/moins/plus… plus/moins/plus…', 'les']","['ce', 'le', 'le', 'tant']",0.5
2,and,"['(et)', 'et, plus', 'et', '(et même)', 'de']","['et', 'et aussi', 'et en outre', 'donc et', 'avec']",0.5
3,that,"['cette', 'c’est ça', '(aus)si', 'comme ça', 'qui', 'celui/celle-là', 'si', 'qui, que', 'tellement', 'ça suffit', 'que']","['que', 'comme', 'afin que', 'qui', 'ce', 'propre', 'donc', 'tel']",0.40909090909090906
4,for,"['malgré', 'malgrè', 'pour, en', 'pour', 'pendant', 'car']","['pour', 'pour', 'au cours de', ""à l'égard de"", 'à des fins', 'car', 'pour']",0.5
5,with,"['(avec)', 'contre', 'pour', 'à', '(contre)', 'avec', 'à/au…', 'de']","['avec', 'et en outre', 'en compagnie de']",0.25
6,but,"['mais', 'excepté', 'sauf']","['mais', 'et', 'cependant', 'seulement', 'sauf']",0.8333333333333333
7,you,"['on', 'tu/vous', 'vous, tu/toi/te', 'espèce de']","['vous', 'tu']",0.25
8,this,"['ceci', 'cette', '(aus)si', 'celui/celle-ci', 'voici', 'comme ça', 'à venir', 'si', 'qui vient', 'tellement', 'ce/cet/cette, ces', 'un/-e, ce/cette', 'ce, ceci']","['ce', 'ce', 'actuel', 'ce', 'donc']",0.3076923076923077
9,not,"['ne…pas', 'pas', 'non', 'n’est-ce pas', 'même pas']","['pas', 'pas']",0.4
10,have,"['falloir', 'manger', 'être fichu/-ue', 'faire', 'avoir', 'permettre', 'être foutu/-ue', 'devoir', 'boire', 'avoir, être']","['avoir', 'posséder', 'recevoir', 'éprouver', 'tenir', 'tomber', 'avoir', 'porter', 'manifester', 'essuyer', 'nourrir', 'déjà', 'verbe auxiliaire']",0.65
11,letter,['lettre'],"['lettre', 'lettre', 'diplôme', 'caractères', 'littéral', 'écrit', 'Letters', 'écrire une lettre']",3.0
12,plate,"['assiette', 'dentier', 'argenterie', 'plaque', 'planche']","['plaque', 'cuisinière', 'assiette', 'feuille', ""plaque d'immatriculation"", 'planchette', 'panneau', 'couvre-joint', 'plate-forme', 'chape', 'badge', 'tôle forte', 'en feuilles', 'lamelleux']",1.3
13,treat,"['gâterie', 'plaisir', 'soigner', 'faire plaisir', 'aborder', 'traiter', 'gâter', 'offrir', 'traiter de', 'cadeau']","['considérer', 'se tourner', 'traiter', 'traiter', 'traiter', 'régaler', 'choyer', 'traiter de haut', 'régalade', 'plaisir', 'traitement']",0.5
14,dinner,['dîner'],"['dîner', 'dîner de gala', 'de repas', 'prié']",1.5
15,necessary,"['inévitable', 'nécessaire', 'si nécessaire']","['nécessaire', 'inévitable', 'nécessaire', 'requis', 'Il le faut', 'besoin']",1.0
16,go,"['réussir', 'cesser', 'transmettre, envoyer', 'marcher', 'allant', 'partir', 's’en aller', 'essai, coup', 'mener', 'tenir', 'être/avoir', 'passer (à)', 'à emporter', 'devenir', 'mourir', 'essayer', 'être permis', 'faire', 'disparaître', 'lâcher', 'diminuer', 'dire', 'tour', 'sonner', 'passer', 'essai', 'lâcher, sauter', 'se mettre', 'être envoyé/-ée', 'se passer', 'se ranger', 'fréquenter', 'aller/partir en', 'aller']","['aller', 'passer par', 'aller', 'aller', 'passer', 'survenir']",0.10294117647058824
17,secret,"['secret', 'secret/-ète', 'garder secret/-ète', 'dossiers secrets']","['secret', 'secret', 'secret', 'secret', 'tacite', 'sournois', 'clandestin', 'secret', 'masqué', 'fermé', 'secrète', 'secrètement', 'dans le secret']",1.375
18,table,"['table', 'table, tablée', 'envisageable', 'table, tableau', 'tableau']","['tableau', 'bureau', 'table', 'horaire', 'livret scolaire', 'salle à manger', 'panonceau', 'de table', 'tabulaire', 'de table', 'sur la table']",1.0
19,create,"['créer', 'créer, produire']","['créer', 'engendrer', 'provoquer', 'fabriquer', 'développer', 'former']",1.75
