ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","162","Все кажутся очень дружелюбными.","Everyone seems very friendly.","Everyone, Everybody's, Everyone's, Everything's, Everytime, Everyday, Everywhere, Everybody","Everyone","seems, seem, seeming, seemed","seems","very, veriest, verys, very best, verybest, verier","very","friendly, friendliest, friendlier, friendlies","friendly","",".","","","","","","","","","",""
"2","162","Все выглядят такими счастливыми.","Everybody looks so happy.","Everybody, Everybodies, Everybodys","Everybody","looks, look, looking, looked, lookest","looks","so, sota, soren, soes, soing, soed","so","happy, happier, happiest, happys, happied, happynest, happying","happy","",".","","","","","","","","","",""
"3","162","Вы работаете усердно всё время.","You work hard all the time.","You, Your, Yours","You","work, working, works, wrought, worked, workest","work","hard, hards, hardest, harder, harding, hardbed, hard bed, hardnest","hard","all, allbest, alls'","all","the, then, though","the","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","","","",""
"4","162","Всё совершенно неверно.","Everything is totally wrong.","Everything, Everythings, Everythung","Everything","is, be, been, are, was, were, will, shall","is","totally, totalitarian, totality, total","totally","wrong, wrongs, wronged, wronging, wrongest, wronger","wrong","",".","","","","","","","","","",""
"5","162","Всё кажется таким новым.","Everything seems so new","Everything, Everythings, Everythung","Everything","seems, seem, seeming, seemed","seems","so, sota, soren, soes, soing, soed","so","new, news, newest, newer, newed, newing","new","","","","","","","","","","","",""
"6","162","Всё такое маленькое.","Everything is so small.","Everything, Everythings, Everythung","Everything","is, be, been, are, was, were, will, shall","is","so, sota, soren, soes, soing, soed","so","small, smalls, smaller, smallest, small ta, smalls'","small","",".","","","","","","","","","",""
"7","162","Всё такое тихое.","Everything is so quiet.","Everything, Everythings, Everythung","Everything","is, be, been, are, was, were, will, shall","is","so, sota, soren, soes, soing, soed","so","quiet, quieter, quieted, quieting, quietest, quiets","quiet","",".","","","","","","","","","",""
"8","162","Всё такое тяжёлое.","Everything is so heavy.","Everything, Everythings, Everythung","Everything","is, be, been, are, was, were, will, shall","is","so, sota, soren, soes, soing, soed","so","heavy, heavier, heaviest, heavies, heavied, heavyest","heavy","",".","","","","","","","","","",""
"9","162","Всё слишком большое.","Everything is too big.","Everything, Everythings, Everythung","Everything","is, be, been, are, was, were, will, shall","is","too, already, else, yet, either, neither, or","too","big, biggest, bigger, bigs, bigging, bigest","big","",".","","","","","","","","","",""
"10","162","Всё так важно.","Everything is so important.","Everything, Everythings, Everythung","Everything","is, be, been, are, was, were, will, shall","is","so, sota, soren, soes, soing, soed","so","important, importants, importantest","important","",".","","","","","","","","","",""
"11","162","Все такие счастливые.","Everyone is so happy.","Everyone, Everybody's, Everyone's, Everything's, Everytime, Everyday, Everywhere, Everybody","Everyone","is, be, been, are, was, were, will, shall","is","so, sota, soren, soes, soing, soed","so","happy, happier, happiest, happys, happied, happynest, happying","happy","",".","","","","","","","","","",""
"12","162","Всё кажется очень странным.","Everything seems very strange","Everything, Everythings, Everythung","Everything","seems, seem, seeming, seemed","seems","very, veriest, verys, very best, verybest, verier","very","strange, stranger, strangest, stranges, stranged","strange","","","","","","","","","","","",""
"13","162","Все так несчастны!","Everyone is so unhappy!","Everyone, Everybody's, Everyone's, Everything's, Everytime, Everyday, Everywhere, Everybody","Everyone","is, be, been, are, was, were, will, shall","is","so, sota, soren, soes, soing, soed","so","unhappy, unhappiest, unhappier","unhappy","","!","","","","","","","","","",""
"14","162","Всё такое грязное.","Everything's so dirty.","Everything's, Everything, Everythings, Everythung","Everything's","so, sota, soren, soes, soing, soed","so","dirty, dirtiest, dirtier, dirtied, dirtying, dirties, dirtyest","dirty","",".","","","","","","","","","","","",""
"15","162","Всё так интересно.","Everything is so interesting.","Everything, Everythings, Everythung","Everything","is, be, been, are, was, were, will, shall","is","so, sota, soren, soes, soing, soed","so","interesting, interests, interested, interestingly, interest","interesting","",".","","","","","","","","","",""
"16","162","Всё такое мокрое.","Everything is so wet","Everything, Everythings, Everythung","Everything","is, be, been, are, was, were, will, shall","is","so, sota, soren, soes, soing, soed","so","wet, wetted, wetting, wetter, wettest, wets, weter, wetest","wet","","","","","","","","","","","",""
"17","162","Всё такое белое.","Everything is so white.","Everything, Everythings, Everythung","Everything","is, be, been, are, was, were, will, shall","is","so, sota, soren, soes, soing, soed","so","white, whites, whiting, whiter, whitest, whited, whote, whitten","white","",".","","","","","","","","","",""
"18","162","Всё очень дорого!","Everything's very expensive!","Everything's, Everything, Everythings, Everythung","Everything's","very, veriest, verys, very best, verybest, verier","very","expensive, expensively, expense","expensive","","!","","","","","","","","","","","",""
"19","162","Всё очень просто.","Everything is very simple.","Everything, Everythings, Everythung","Everything","is, be, been, are, was, were, will, shall","is","very, veriest, verys, very best, verybest, verier","very","simple, simplest, simpler, simples","simple","",".","","","","","","","","","",""
"20","162","Я ем здесь всё время.","I eat here all the time.","I, me, my, mine","I","eat, ate, eaten, eating, eats, eatest, eated, eatting","eat","here, heres, hering, hered","here","all, allbest, alls'","all","the, then, though","the","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","","","",""
"21","162","Они приходят сюда всё время.","They come here all the time.","They, Them, Their, Theirs","They","come, came, coming, comes, comest, comeing","come","here, heres, hering, hered","here","all, allbest, alls'","all","the, then, though","the","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","","","",""
"22","162","Я здесь всё время.","I'm here all the time","I'm, I'd, I'll, I've","I'm","here, heres, hering, hered","here","all, allbest, alls'","all","the, then, though","the","time, timer, timing, times, timed, timeger, timest, timeing","time","","","","","","","","","",""
"23","162","Я хожу туда всё время.","I go there all the time.","I, me, my, mine","I","go, going, gone, went, goes, gos, goed, gota","go","there, theres, thered, thering","there","all, allbest, alls'","all","the, then, though","the","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","","","",""
"24","162","Мы вместе всё время.","We're together all the time.","We're, We'd, We'll, We've","We're","together","together","all, allbest, alls'","all","the, then, though","the","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","","","","","",""
"25","162","Я живу здесь всё время.","I live here all the time.","I, me, my, mine","I","live, liver, lives, living, lived, livest, liveing","live","here, heres, hering, hered","here","all, allbest, alls'","all","the, then, though","the","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","","","",""
"26","162","Он ответил на все вопросы.","He answered all the questions","He, Him, His, It, Its","He","answered, answer, answers, answering, answerer, answerest","answered","all, allbest, alls'","all","the, then, though","the","questions, question, questioning, questioned, questionning","questions","","","","","","","","","",""
"27","162","Он знал все имена.","He knew all the names.","He, Him, His, It, Its","He","knew, know, knowing, known, knows, knowed, knowest, knower","knew","all, allbest, alls'","all","the, then, though","the","names, name, named, naming, namest, namer","names","",".","","","","","","","",""
"28","162","Он удалил все сообщения.","He deleted all the messages.","He, Him, His, It, Its","He","deleted, delete, deletes, deleting","deleted","all, allbest, alls'","all","the, then, though","the","messages, message, messager, messaging, messaged","messages","",".","","","","","","","",""
"29","162","Я позвонил во все больницы.","I called all the hospitals.","I, me, my, mine","I","called, call, calling, calls, callest, callled","called","all, allbest, alls'","all","the, then, though","the","hospitals, hospitable, hospitality, hospital","hospitals","",".","","","","","","","",""
"30","162","Я сохранил все статьи.","I saved all the articles.","I, me, my, mine","I","saved, save, saving, saves, savest, saves'","saved","all, allbest, alls'","all","the, then, though","the","articles, article, articled, articles', articling","articles","",".","","","","","","","",""
"31","162","Я игнорировал все комментарии.","I ignored all the comments.","I, me, my, mine","I","ignored, ignore, ignoring, ignores","ignored","all, allbest, alls'","all","the, then, though","the","comments, comment, commented, commenting, comments'","comments","",".","","","","","","","",""
"32","162","Я открыла все коробки.","I opened all the boxes","I, me, my, mine","I","opened, open, opening, opens, openest, openned, openning, opens'","opened","all, allbest, alls'","all","the, then, though","the","boxes, box, boxing, boxed","boxes","","","","","","","","","",""
"33","162","Я изменил все имена.","I changed all the names.","I, me, my, mine","I","changed, change, changing, changes, changeing","changed","all, allbest, alls'","all","the, then, though","the","names, name, named, naming, namest, namer","names","",".","","","","","","","",""
"34","162","Я знал всех людей.","I knew all the people.","I, me, my, mine","I","knew, know, knowing, known, knows, knowed, knowest, knower","knew","all, allbest, alls'","all","the, then, though","the","people, peoples, peopled, peopling","people","",".","","","","","","","",""
"35","162","Я пропустила все знаки.","I missed all the signs.","I, me, my, mine","I","missed, miss, missing, misses, misser","missed","all, allbest, alls'","all","the, then, though","the","signs, sign, signed, signing","signs","",".","","","","","","","",""
"36","162","Она знала все слова.","She knew all the words.","She, Her, Hers","She","knew, know, knowing, known, knows, knowed, knowest, knower","knew","all, allbest, alls'","all","the, then, though","the","words, word, wording, worded","words","",".","","","","","","","",""
"37","162","Он знал все секреты.","He knew all the secrets.","He, Him, His, It, Its","He","knew, know, knowing, known, knows, knowed, knowest, knower","knew","all, allbest, alls'","all","the, then, though","the","secrets, secret, secreter","secrets","",".","","","","","","","",""
