,en,ru,fr
0,Zorn,Зорн,zorn
1,Guantanamo,Гуантанамо,guantanamo
2,monoplane,моноплан,no_equality
3,line up,выстроиться,no_equality
4,line up,выравнивать,aligner
5,line up,выстраиваться в очередь,no_equality
6,line up,выстраиваться в линию,no_equality
7,line up,строиться,no_equality
8,Arabic,арабский язык,arabe
9,Arabic,Аравийский,arabique
10,application-specific,конкретные приложения,no_equality
11,application-specific,специфический для приложения,no_equality
12,application-specific,специфичный для приложений,no_equality
13,transcriptional,транскрипционный,no_equality
14,Isabelle,Изабель,isabel
15,Isabelle,Изабель,isabelle
16,Isabelle,Изабель,isobel
17,motor cycle,мотоцикл,motocycle
18,motor cycle,мотоцикл,motocyclette
19,motor cycle,мотоцикл,moto
20,californium,Калифорний,no_equality
21,Halley,Галлей,halley
22,radiotherapy,радиотерапия,radiothérapie
23,radiotherapy,радиотерапевтический,no_equality
24,toilet paper,туалетная бумага,papier toilette
25,toilet paper,туалетная бумага,papier hygiénique
26,toilet paper,туалетная бумага,papier de toilette
27,copper-bottomed,крепкий,no_equality
28,copper-bottomed,надёжный,no_equality
29,all-Russia,Всероссийский,no_equality
30,all Russia,вся Россия,no_equality
31,noncompetitive,неконкурентный,no_equality
32,Trojan,троянец,troyen
33,Trojan,троянский,no_equality
34,realtime,реальное время,no_equality
35,realtime,в реальном времени,no_equality
36,astro,космический,no_equality
37,astro,астрономический,no_equality
38,Spalding,Сполдинг,spalding
39,Spalding,Сполдинг,spaulding
40,Moishe,Мойша,moishe
41,tooth brush,зубная щетка,brosse à dents
42,tooth brush,зубная щетка,brosse à dent
43,Leopold,Леопольд,léopold
44,cytotoxic,цитотоксический,no_equality
45,lucania,Лукания,no_equality
46,cyclonic,циклонический,no_equality
47,Asian,азиатский,asiatique
48,Asian,азиат,asiatique
49,Asian,житель Азии,asiatique
50,Asian,житель Азии,asian
51,good will,добрая воля,bonne volonté
52,Ilyushin,Ильюшин,no_equality
53,Springer,прыгун,no_equality
54,Springer,Спрингер,springer
55,Debian,дистрибутив Debian,no_equality
56,Morrison,Моррисон,morrisson
57,Morrison,Моррисон,morrison
58,Dasher,мутовка,no_equality
59,Limbaugh,Лимбо,limbaugh
60,Goldstein,Гольдштейн,goldstein
61,Lipton,Липтон,lipton
62,Argonian,аргонианский,no_equality
63,Xerxes,Ксеркс,no_equality
64,artilleryman,артиллерист,artilleur
65,nim,ним,no_equality
66,Millie,Милли,millie
67,Millie,Милли,milie
68,Millie,Милли,milly
69,plum pudding,сливовый пудинг,no_equality
70,Clough,Клафа,no_equality
71,Clough,овраг,no_equality
72,telekinetic,телекинетический,no_equality
73,recapitalize,рекапитализация,no_equality
74,hotch,мешанина,no_equality
75,Sakura,сакура,sakura
76,Ilion,Илион,no_equality
77,Dave,Дейв,dave
78,biopsychosocial,биопсихосоциальный,no_equality
79,David,Давид,david
80,David,Давид,davide
81,Melinda,Мелинда,melinda
82,Edith,Эдит,edith
83,Regency,регентство,régence
84,Regency,регентский,no_equality
85,melioration,мелиорация,no_equality
86,melioration,мелиоративный,no_equality
87,Vorbarra,Форбарра,no_equality
88,aft,на корме,no_equality
89,aft,в кормовой части,no_equality
90,aft,сзади,arrière
91,aft,сзади,derrière
92,aft,сзади,à l'arrière
93,aft,хвостовой,arrière
94,aft,задний,arrière
95,aft,хвостовая часть,no_equality
96,Thane,Тхана,no_equality
97,holographics,голография,no_equality
98,Shari,Шари,shari
99,Shari,Шари,chari
100,Baywatch,спасатели Малибу,alerte à malibu
101,Petunia,Петуния,pétunia
102,feather bed,перина,no_equality
103,feather bed,пуховик,no_equality
104,RNA,РНК,arn
105,Spithead,спитхед,no_equality
106,nye,най,nye
107,Kantor,Кантор,kantor
108,Prudy,пруды,no_equality
109,Sikh,сикх,sikh
110,Sikh,сикхский,sikh
111,Kaka,Кака,no_equality
112,salome,Саломе,no_equality
113,Conway,Конвей,conway
114,Madeleine,Мадлен,madeleine
115,Madeleine,Мадлен,madeline
116,second hand,вторая рука,no_equality
117,second hand,секундная стрелка,no_equality
118,second hand,секонд хенд,no_equality
119,second hand,подержанный,d'occasion
120,second hand,вторичный,no_equality
121,second hand,из вторых рук,no_equality
122,second hand,с рук,no_equality
123,Messrs,Господа,Monsieur
124,Gnostic,гностический,no_equality
125,Gnostic,гностик,no_equality
126,Shelley,Шелли,shelly
127,Shelley,Шелли,shelley
128,black-green,черно-зеленый,no_equality
129,Laocoon,Лаокоон,no_equality
130,battleaxe,боевой топор,no_equality
131,Crysis,игра Crysis,no_equality
132,radioisotope,радиоизотоп,no_equality
133,radioisotope,радиоизотопный,no_equality
134,non-mandatory,необязательный,non obligatoire
135,non-mandatory,необязательный,caractère non contraignant
136,Dolores,Долорес,no_equality
137,montane,горный,montagnard
138,montane,горный,montagne
139,Herzegovina,Герцеговина,bosnie-herzégovine
140,Herzegovina,Герцеговина,herzégovine
141,frying pan,сковородка,poêle
142,Luggage office,камера хранения,no_equality
143,Greenland,Гренландия,groenland
144,Greenland,гренландский,no_equality
145,handpiece,наконечник,no_equality
146,regionalism,местничество,no_equality
147,regionalism,районирование,régionalisation
148,Kensington,Кенсингтон,kensington
149,Eastside,Истсайд,eastside
150,Greenburg,Гринберг,no_equality
151,cross fire,перекрестный огонь,feu croisé
152,cross fire,перекрестный огонь,tir croisé
153,cross fire,перекрестный огонь,feux croisés
154,cross fire,перекрестный огонь,tirs croisés
155,cross fire,перекрестный огонь,fusillade
156,iPod,айпод,ipod
157,Handel,Гендель,handel
158,Handel,Гендель,haendel
159,Handel,хандел,no_equality
160,Gaiman,Геймана,no_equality
161,Spitzbergen,Шпицберген,no_equality
162,Oriel,эркер,no_equality
163,two-three,два-три,deux ou trois
164,two-three,два-три,deux à trois
