,bigram,PMI
0,"('virtual', 'reality')",12.692445676298664
1,"('Carnegie', 'Mellon')",12.389376608662616
2,"('J.', 'D.')",12.31537602721884
3,"('Baby', 'join')",11.945426417468536
4,"('white', 'Dope')",11.779323126978632
5,"('mister', 'Banner')",11.683107811719328
6,"('faith', 'faith')",11.578410433052634
7,"('Randy', 'Pausch')",11.49980059835627
8,"('childhood', 'dream')",10.572872249511205
9,"('clinic', 'trial')",10.52336906949467
10,"('spirit', 'move')",10.356018011716184
11,"('Dr', 'Cox')",9.993447932331474
12,"('Dr', 'Kelso')",9.94614221755312
13,"('local', 'variable')",9.931326220423681
14,"('fix', 'point')",9.873169728647719
15,"('normal', 'order')",9.726411595940188
16,"('positive', 'integer')",9.64634926170921
17,"('special', 'form')",9.546662370188356
18,"('initial', 'guess')",9.379916279413552
19,"('software', 'engineer')",9.261299354463045
20,"('evaluation', 'rule')",9.176382885328415
21,"('great', 'white')",9.013788380615654
22,"('computer', 'science')",8.978582582767553
23,"('Fermat', 'test')",8.936864403965112
24,"('square', 'root')",8.914102645171436
25,"('show', 'slide')",8.842888255756097
26,"('Edward', 'Cullen')",8.781943827137763
27,"('cond', '=')",8.7449130961928
28,"('order', 'evaluation')",8.716951266691119
29,"('thing', 'spirit')",8.70066618310363
30,"('move', 'through')",8.671519837444112
31,"('rather', 'than')",8.654910919888675
32,"('year', 'old')",8.600880713856327
33,"(""'"", 'll')",8.472397195430515
34,"('less', 'than')",8.454289121223443
35,"('Fibonacci', 'number')",8.396989792772493
36,"('programming', 'language')",8.380964368846415
37,"(""'s"", 'Narration')",8.206851570440671
38,"(""'s"", 'Thought')",8.206851570440667
39,"('J.D.', ""'s"")",8.10556823460349
40,"('iterative', 'process')",8.090409662218564
41,"('couldn', '’t')",8.029973808356592
42,"('doesn', '’t')",8.02997380835659
43,"('wasn', '’t')",8.029973808356589
44,"('wouldn', '’t')",8.029973808356589
45,"('Newton', ""'s"")",8.014206492498273
46,"('don', '’t')",8.014206492498273
47,"('modulo', 'n')",8.010191196166053
48,"('didn', '’t')",8.0035015969954
49,"('recursive', 'process')",7.998045644069903
50,"('hadn', '’t')",7.947511648164619
51,"('exercise', '1')",7.871377654288983
52,"('Dr', 'Cullen')",7.855944408581543
53,"('worry', 'about')",7.785271225295052
54,"('>', '39')",7.783634687673294
55,"('good', 'enough')",7.7748076458561375
56,"('>', '50')",7.696354362084007
57,"('“I', '’ll')",7.650040110033661
58,"('“I', '’m')",7.620893764374147
59,"('lambdum', 'x')",7.584736071302052
60,"('define', 'sqrt')",7.461665469469494
61,"('>', '37')",7.452428779197918
62,"('“It', '’s')",7.392543887741297
63,"('at', 'least')",7.3814058975540355
64,"('based', 'on')",7.30834876032487
65,"('“That', '’s')",7.293008214190385
66,"('section', '1')",7.281282828550431
67,"('talk', 'about')",7.227913185968497
68,"('“You', '’re')",7.101056906418073
69,"('x', 'y')",7.076039464808961
70,"('wonder', 'if')",7.029973808356591
71,"('didn’t', 'want')",6.964878780134706
72,"('5', '2')",6.916489853917549
73,"('more', 'than')",6.880747799582116
74,"('enough', 'guess')",6.839347898050844
75,"('how', 'many')",6.818627967161165
76,"('long', 'time')",6.769716487193373
77,"('each', 'other')",6.680313731284279
78,"('software', 'requirement')",6.66711832371251
79,"('star', 'at')",6.659547195778034
80,"('for', 'instance')",6.638109422177843
81,"('away', 'from')",6.636140732370302
82,"('“I', 'don')",6.634272794175347
83,"('my', 'mom')",6.611472453774175
84,"('+', '5')",6.582144956997778
85,"('guess', 'x')",6.567662557943105
86,"('his', 'eye')",6.563162659353699
87,"('', 'do')",6.560106910176572
88,"('concerned', 'with')",6.527212370181074
89,"(""'"", ""'"")",6.497314827634838
90,"('all', 'right')",6.4311182729525065
91,"('my', 'dad')",6.41882737583178
92,"('his', 'face')",6.402353668533307
93,"('look', 'away')",6.349086887636897
94,"('other', 'hand')",6.325349442483397
95,"('his', 'voice')",6.315969362633695
96,"('people', 'who')",6.252012671293798
97,"('known', 'as')",6.248872804604147
98,"('procedure', 'application')",6.243699153466983
99,"('drug', 'or')",6.194965330633636
100,"('join', 'i')",6.18984514513498
101,"('there', '’')",6.15100144942962
102,"('y', '+')",6.105435346928649
103,"('smil', 'at')",6.090409662218564
104,"('this', 'topic')",6.070904072411471
105,"('deal', 'with')",6.0532811818486625
106,"('turn', 'out')",6.051590413328039
107,"('through', 'all')",5.979750610195939
108,"('his', 'eyes')",5.959165128940315
109,"('such', 'as')",5.940750509241813
110,"('+', 'x')",5.937037815232927
111,"('for', 'example')",5.935091159934977
112,"('my', 'mind')",5.933400548661538
113,"('show', 'how')",5.908703311463013
114,"('come', 'back')",5.85892826702036
115,"('didn’t', 'know')",5.8438633791733405
116,"('wait', 'for')",5.808034423620159
117,"('kept', 'my')",5.807869666577677
118,"('“Do', 'you')",5.759125452455651
119,"('this', 'book')",5.737003335858031
120,"('as', 'possible')",5.689788935708597
121,"('feel', 'when')",5.672635078192423
122,"('my', 'mother')",5.670366142827744
123,"(""'s"", 'method')",5.66253105421686
124,"('’m', 'go')",5.635895927713394
125,"('1', '0')",5.634864124707885
126,"('as', 'far')",5.607326775516622
127,"('', 'can')",5.603087136743117
128,"('look', 'at')",5.602963667411672
129,"('not', 'stop')",5.602112268720164
130,"('tell', 'i')",5.583572138168412
131,"('my', 'eyes')",5.579763594046838
132,"('other', 'people')",5.557255334879942
133,"('think', 'about')",5.551721014074085
134,"('he', 'smil')",5.528779665328033
135,"('’re', 'go')",5.524864615324651
136,"('=', 'n')",5.494176049162391
137,"('n', '=')",5.494176049162391
138,"('my', 'eye')",5.488615705988641
139,"('do', 'not')",5.459320028475055
140,"('together', 'with')",5.4241188772169675
141,"('in', 'chapter')",5.419905608373464
142,"('x', '0')",5.402985634462945
143,"('x', 'x')",5.398086835050105
144,"('garden', 'of')",5.394130138633253
145,"('of', 'Eden')",5.394130138633253
146,"('they', '’re')",5.390563523613057
147,"('for', 'comput')",5.37618863665476
148,"('in', 'front')",5.374817718844925
149,"('my', 'truck')",5.34843804794038
150,"('=', '1')",5.342683373214573
151,"('=', 'x')",5.295229454107064
152,"('5', '1')",5.289572036755015
153,"('my', 'head')",5.289544358886811
154,"('look', 'like')",5.2738993912426775
155,"('look', 'down')",5.269397999007742
156,"('all', 'thing')",5.264318177579373
157,"('requirement', 'process')",5.255220531964236
158,"('his', 'hand')",5.246060532678756
159,"('able', 'to')",5.238560430168011
160,"('accord', 'to')",5.238560430168011
161,"('rest', 'of')",5.233665466440005
162,"('kind', 'of')",5.201485060690857
163,"('know', 'how')",5.199114156228106
164,"('my', 'own')",5.167865802298563
165,"('refer', 'to')",5.156098269976038
166,"('if', '=')",5.145451025776524
167,"('give', 'up')",5.09014667664149
168,"('Edward', '’s')",5.086557336722958
169,"('in', 'general')",5.082035969617078
170,"('of', 'coin')",5.072202043745891
171,"('0', '1')",5.049901623986731
172,"('y', 'x')",5.040415555078241
173,"('procedure', 'define')",5.0384540387449555
174,"('of', 'growth')",5.022161361246296
175,"('you', 'cry')",5.01965300267887
176,"('ability', 'to')",5.01616800883156
177,"('sort', 'of')",5.015618515379522
178,"('+', '1')",5.010486942873385
179,"('look', 'up')",5.008215406994941
180,"('no', 'one')",5.005217709271021
181,"('equal', 'to')",5.0040951765309885
182,"('know', 'what')",5.002740553715839
183,"('x', '+')",4.9936213435992975
184,"('you', '’re')",4.9901431204063975
185,"('y', '1')",4.950365950435815
186,"('say', 'well')",4.94960039189257
187,"('I', 'couldn')",4.944688620411622
188,"('in', 'section')",4.919138235068736
189,"('let', 'i')",4.913277583647496
190,"('as', 'argument')",4.896833392711605
191,"('my', 'face')",4.8827744755915745
192,"('1', '2')",4.871377654288983
