"word_id","ref_id","setting_id","translate"
23447,2,1,"başlatmak, piyasaya sürmek"
36537,2,1,"hizmet etmek, sunmak"
1908,2,1,"davranmak, rol yapmak"
1042433,2,1,"yasa tasarısını reddetmek"
23522,2,1,"götürmek, yol açmak"
1042435,2,1,"Meclisi toplantıya çağırmak"
17769,2,1,"kavramak, almak, anlamak"
22787,2,1,"tutmak, muhafaza etmek"
6191191,2,1,"Asıl konuya gelelim."
6191168,2,1,"Bu konuda haklısınız."
12195400,2,1,"Neden soruyorsun? Öylesine."
473348,2,1,"büyük büyük anne"
18897,2,1,"üvey kız kardeş/abla"
18877,2,1,"üvey erkek kardeş/abi"
18271,2,1,"nine, büyük anne"
35796,2,1,"aplik, duvar lambası"
173474,2,1,"-e göre"
474256,2,1,"nükteli bir yorum"
24369,2,1,"yüksek sesli, gürültülü"
5031,2,1,"arasında (iki şey)"
473862,2,1,"büyük büyük baba"
13316,2,1,"oturma odası, salon"
200534,2,1,"-na rağmen"
12881,2,1,"baş dönmesi hissetmek"
49281,2,1,"ara vermeden geçmek"
4421,2,1,"pazarlık etmek, pazarlık"
2790,2,1,"aşkla dolu olmak"
190619,2,1,"-a gelince"
4165,2,1,"rozet, yaka kimliği"
27700,2,1,"kreş, çocuk odası"
502106,2,1,"sakınmak, tahammül etmek"
37221,2,1,"-den beri"
23870,2,1,"hafif, açık renkli"
43669,2,1,"-e kadar"
45564,2,1,"-sız, olmadan"
3891214,2,1,"Bütün mesele bu."
12195675,2,1,"Kahve? Zahmet olmazsa."
6286245,2,1,"Şimdi şöyle yapıyoruz."
4991004,2,1,"Hiç umurumda değil."
474245,2,1,"öfkeli ruh halinde"
207165,2,1,"teyp, kayıt cihazı"
6190365,2,1,"Böylesi daha kolay."
6191292,2,1,"Olacağı varsa olur."
6191131,2,1,"Sana telefonla ulaşamadım."
6260916,2,1,"Size haber veririm."
6286205,2,1,"Onu sevmediğinden değil."
480977,2,1,"soydan geçen unvan"
6419356,2,1,"Kaleci dışındaki oyuncular"
481008,2,1,"haklara saygı göstermek"
33593,2,1,"ara vermek, çekilmek"
32280,2,1,"Üst lige çıkma"
209989,2,1,"Geri kanat oyuncusu"
30400,2,1,"telefon etmek, telefon"
16949,2,1,"imtiyaz, oy hakkı"
474138,2,1,"Saç kurutma makinesi"
41261,2,1,"-e kadar"
935846,2,1,"bir politika izlemek"
15626,2,1,"olumlu, yapıcı, uğurlu"
12780,2,1,"tehlike, acı, ıstırap"
488790,2,1,"gayret etmek, uğraşmak"
487427,2,1,"kurmak, bina etmek"
733045,2,1,"Kendi kalesine gol"
205047,2,1,"Oyunun durduğu süre"
481011,2,1,"oy verme günü"
1042436,2,1,"yasa tasarısını ertelemek"
1042422,2,1,"yasayı kabul etmek"
28306,2,1,"baskı kurmak, zulmetmek"
19482,2,2,"yardım etmek, yardım"
1042430,2,1,"yasa tasarısı sunmak"
488621,2,1,"sessizce ayrılmak, sıvışmak"
37995,2,2,"oğul, erkek evlat"
1042432,2,1,"yasa tasarısını onaylamak"
487413,2,1,"kaçmak, uçup gitmek"
417570,2,1,"dibe çökmek, batmak"
480944,2,1,"güç pozisyonu politikası"
3833,2,1,"dava vekili, avukat"
487431,2,1,"vurmak, ateş etmek"
57222,2,1,"farkında, bilinçli, uyanık"
228463,2,1,"almak, olmak, kavramak"
502107,2,1,"tövbe edip bırakmak"
224517,2,1,"küçük ayak parmağı"
487463,2,1,"ortaya çıkmak, oluşmak"
487438,2,1,"yazılışını harflerle söylemek/büyülemek"
487455,2,1,"göz yaşı dökmek"
487458,2,1,"ayağa kalkmak/ortaya çıkmak"
32576,2,1,"çamur, su birinkintisi"
173884,2,2,"-e karşın"
475798,2,1,"donma sıcaklığının altında"
38935,2,2,"üvey kız çocuk"
1698,2,1,"kesinlikle, tamamen, elbette"
476177,2,1,"birkaç kaç sokak"
37619,2,1,"erimiş karlı, çamurlu"
502104,2,1,"(etrafını) sarmak, çevrelemek"
71310,2,1,"yağmurla karışık sis"
41176,2,1,"gök gürültülü fırtına"
282907,2,1,"Buradan uzak mı?"
190492,2,1,"yolcu etmek, uğurlamak"
4682625,2,1,"Kırıkları aldırmak istiyorum."
9249,2,1,"şekerleme satan kişi"
11202314,2,1,"Sinekkaydı tıraş istiyorum."
37617,2,1,"yarı erimiş kar"
13200,2,2,"ince kuş tüyü"
4682642,2,1,"Genellikle ortadan ayırırım."
890437,2,1,"Ne kadar sürer?"
417560,2,1,"(at, bisiklet) binmek"
38943,2,2,"üvey erkek çocuk"
7670,2,1,"büyüleyici, sevimli, çekici"
18897,2,2,"üvey kız kardeş"
21655,2,1,"deli, çılgın, delice"
43942,2,1,"değişik, farklı, çeşitli"
4682629,2,1,"Perçem kesimi istiyorum."
180383,2,1,"(uçak ile) kalkış"
487457,2,1,"sarmak, dolamak, çevirmek"
11202173,2,1,"Uçlarını düzeltmek istiyorum."
34524,2,1,"tekrar etmek (ders)"
4682639,2,1,"Genelde saçlarımı açarım."
487461,2,1,"arkasından konuşmak, kötülemek"
487447,2,1,"(arı) sokmak, batmak"
4682635,2,1,"Ne kadar tutacak?"
173474,2,2,"-na göre"
428432,2,1,"caddede karşıya geçmek"
41159,2,2,"baş parmak (el)"
487452,2,1,"bastırmak, sokmak, itmek"
487461,2,2,"çekiştirmek, arkasından, konuşmak"
487447,2,2,"arı gibi sokmak"
487443,2,1,"çürütmek / şımartmak"
45154,2,1,"ne olursa olsun"
475809,2,1,"amerika siyah ayısı"
23146,2,1,"kısa ve öz"
831759,2,1,"derin uykuda olması"
487409,2,2,"meydan okumak/cesaret etmek"
1042340,2,1,"anaokulunda çalışan kimse"
9650,2,1,"kullanışlı, elverişli, uygun"
487461,2,3,"ayağa kalkmak/ortaya çıkmak"
41722,2,1,"-e doğru"
370196,2,1,"çift kişilik oda"
1011933,2,1,"bir işkolik olmak"
33914,2,1,"ne olursa olsun"
6487089,2,1,"Alışveriş sepetiniz boş"
475811,2,1,"Rus misk sıçanı"
19730,2,1,"önemini sonradan anlama"
10583,2,1,"kol ağzı, manşet"
41417,2,3,"-e doğru"
232797,2,1,"yarı sucul yılan"
54496,2,1,"apacik, belli ki"
22441,2,1,"kot, kot pantolon"
474105,2,1,"tedavisi olmayan hastalık"
1042397,2,1,"bir yerini kesmek"
406250,2,1,"kalın yün kumaş"
474104,2,1,"tedavisi olmayan hastalık"
14942,2,1,"aşırı bir şekilde"
474192,2,1,"kadın iç giyimi"
26524,2,1,"kahve bardağı, kupa"
11679868,2,1,"Çok başım dönüyor."
1537853,2,1,"Şimdi satın al"
4416,2,1,"hemen hemen hiç"
474221,2,1,"baskılı pamuklu kumaş"
180434,2,1,"başından atmak, defetmek"
11679925,2,1,"Muayene olmanız gerekiyor."
11679922,2,1,"Röntgen çektirdiniz mi?"
11679871,2,1,"Uykusuzluk çekiyor musunuz?"
11680070,2,1,"Bende kabızlık var."
11680099,2,1,"Onu ameliyata alın."
32326,2,1,"uygun bir şekilde"
11680131,2,1,"Henüz tam iyileşmedim."
11680110,2,1,"Analiz sonuçlarınız iyi."
11679813,2,1,"Sanırım, cerrah gerekiyor."
11679846,2,1,"Penisiline alerjim var."
30003,2,1,"sondan bir önceki"
11679853,2,1,"Soğuk almış olmalıyım."
45184,2,1,"her ne zaman"
17232,2,1,"esas, temel, zorunlu"
11680114,2,1,"Kan grubunuz nedir?"
12650,2,1,"tartışmak, anlaşamamak, anlaşmazlık"
9678573,2,1,"İlaç aldın mı?"
17697,2,1,"tür, çeşit, nevi"
474167,2,1,"uzun şarap bardağı"
17961,2,1,"hüzünlü, kasvetli, karanlık"
45189,2,1,"oysa, ...e rağmen"
7682,2,1,"takip etmek, izlemek"
11889,2,1,"teşhis etmek, belirlemek"
8669,2,1,"kavrama ile ilgili,bilissel"
19726,2,2,"yavaşlatmak, engel olmak"
11375,2,1,"yenmek, bozguna uğratmak"
11190,2,1,"kandırmak, kafaya almak"
12631,2,1,"göstermek, sergi, ekran"
11981,2,1,"sadık, özverili, fedakar"
28947,2,1,"borclu olmak,minnettar olmak"
45181,2,2,"-diği zaman"
46906,2,1,"yükseltme, artırma, çoğaltma"
143563,2,1,"ikinci sınıf öğrencileri"
8954,2,2,"ortak, yaygın, genel"
11884,2,1,"alıkoymak, gözaltına almak"
33312,2,1,"hızlı, çabuk, seri"
7003,2,1,"yakalamak,ele geçirmek,tutsak etmek"
33368,2,2,"daha ziyade; oldukça"
55992,2,2,"referans noktası, kriter"
39375,2,2,"şey, madde, nesne"
2890,2,2,"ve, artı (bağlaç)"
11652895,2,1,"Bugün odamızda kalıyorum."
32207,2,2,"şiddetli, yoğun, büyük"
2456,2,2,"ne yazık ki"
17672,2,1,"üretmek, ortaya atmak"
11904,2,1,"azim, kararlılık, inat"
12587,2,1,"kovma, başından savma"
11869,2,2,"yıkmak, yok etmek"
17347266,2,1,"Ödemem sürekli reddediliyor."
17347253,2,1,"Geri ödeme almadım."
11899,2,1,"kötüleşmek, kötüye gitmek"
8990,2,1,"değiş-tokuş etmek"
11951,2,1,"sapmak, yönünü değiştirmek"
14215,2,1,"işe almak, uygulamak"
7574466,2,1,"Siparişimi nasıl izlerim?"
11652748,2,1,"Sola/Sağa mı dönmeliyim?"
20101,2,1,"ev sahipliği yapmak"
1077776,2,1,"Otobüs durağı nerede?"
30226,2,1,"derinlemesine inceleme yeteneği"
17516470,2,1,"Ürün stokta yok."
14978,2,1,"çıkarmak, hariç tutmak"
14075,2,2,"başka bir yerde"
11652702,2,1,"Otele nasıl gidebilirim?"
312201,2,1,"akraba, benzeyen, yakın"
11652890,2,1,"Rehberin adı nedir?"
44709,2,2,"geçmiş zaman eki."
11862,2,2,"hedef, varılacak yer"
17347262,2,1,"Katalogunuz var mı?"
24874,2,1,"zorunlu, manda uygulayan"
41721,2,1,"-e doğru"
25605584,2,1,"Bugün odamızda kalıyorum."
1688,2,1,"yok, bulunmayan, devamsız"
7485633,2,1,"Telefonunuzu kullanabilir miyim?"
53128,2,1,"şikayet, sızlanma, söylenme"
12689,2,1,"bilgi yaymak, dağıtmak"
38779,2,1,"boş boş bakmak"
7868078,2,1,"Alışveriş merkezi nerede?"
509359,2,1,"ilaç içmek, almak"
18201,2,2,"kapmak, el koymak"
11943,2,1,"yıkmak, tahrip etmek"
52197,2,1,"serbest kalmış, özgür"
4671,2,2,"dayanmak, tahammül etmek"
12586,2,1,"kovmak, kafasından çıkarmak"
106165,2,1,"kar amacı olmayan"
211932,2,1,"başından atmak, kurtulmak"
27819,2,1,"mecburi, zorunlu, gerekli"
9374,2,2,"bağlı, ilgili, ilişkili"
43380,2,1,"verimsiz, atıl, bereketsiz"
30199,2,1,"azim,sonuna kadar direnme"
18627,2,2,"rehber, rehberlik etmek"
52751,2,1,"yaygin olarak,genis olcude"
19399,2,1,"heyecanlı, telaşlı, hareketli"
16130,2,1,"sert, katı, sabit"
20949,2,1,"eksik, yetersiz, elverişsiz"
13848,2,1,"basım, baskı, yayın"
10915633,2,1,"İşiniz neleri kapsıyor?"
37944,2,1,"sert, sağlam, katı"
3760930,2,1,"ile uyum içinde"
1779,2,1,"ilan etmek (alkışlarla)"
32195,2,1,"yeterli, yetkin, usta"
19047,2,1,"saldırmak, taciz etmek"
12763,2,2,"ayırmak, farkını söylemek"
2301,2,1,"aynı fikirde olmak"
16306,2,1,"birine yağ çekme"
5639600,2,1,"caydırmak, engel olmak"
9304,2,1,"yüz yüze getirmek"
19748,2,2,"kiralamak; işe almak"
225516,2,1,"Ne haber? Nasılsın?"
11838,2,1,"mutsuz, kederli, terkedilmiş"
42054,2,2,"dehşet, korku, ürperme"
11680654,2,1,"Çok formda görünüyorsun!"
1218073,2,1,"Şaka yapıyor olmalısın!"
3363,2,1,"keyfi, isteğe bağlı"
19049,2,2,"liman, barındırmak, sağlamak"
11680614,2,1,"Buralarda ne yapıyorsun?"
53612,2,1,"var olmak,mevcut olmak,var,mevcut"
9743,2,1,"basa cikmak,ustesinden gelmek"
2456,2,3,"tüh, vah, eyvah"
12304,2,2,"yönetmek, yönlendirmek, doğrudan"
111923,2,1,"son teslim tarihi"
23221732,2,1,"için korkan, endişelenen"
11680639,2,1,"Üniversite nasıl gidiyor?"
11568,2,1,"askerden terhis etmek"
14507,2,1,"kesinlikle ifade etmek"
11680795,2,1,"Harika bir konuşma!"
27108,2,2,"yine de, ancak"
11680799,2,1,"Harika bir konuşmacı!"
11680749,2,1,"Toplantı nasıl geçti?"
11680739,2,1,"Tatil nasıl geçti?"
11680688,2,1,"Merhaba! Ne haber?"
15114,2,1,"seyahat, keşif gezisi"
33534,2,2,"makul, mantıklı, akılcı"
185356,2,1,"öğrenmek, bulup çıkarmak"
11445,2,1,"yozlaşma, aslını kaybetme"
21137,2,1,"artan bir şekilde"
26045,2,1,"azaltmak, hafifletmek, yatıştırmak"
40890,2,2,"onları, onlara, onlar"
8739,2,1,"iş birliği yapmak"
44381,2,2,"hayati, yaşamsal, canlı"
34550,2,1,"köklü değişiklik yapmak"
23039,2,1,"vurma,calma,kapiyi calma "
26093,2,1,"ılımlı, orta, makul"
36478,2,1,"art arda sıralama"
15265,2,1,"savurgan, müsrif. ölçüsüz"
352581,2,1,"Son Kullanma Tarihi"
23403,2,1,"kalıcı, sağlam, dayanıklı"
6952,2,2,"yetenekli, becerikli, kabiliyetli"
9110,2,1,"zorlayıcı, zorunlu, mecburi"
487462,2,3,"arkasından konuşmak, kötülemek"
10024,2,2,"saymak,hesaba katmak "
14437,2,2,"köleleştirmek, esir etmek"
43269,2,1,"-den başka"
9881,2,1,"doğru bir şekilde"
16800,2,1,"formülleştirmek, formüle dökmek"
33327,2,2,"nadir, ender, seyrek"
21231,2,1,"kayıtsız, ilgisiz, farksız"
39361,2,2,"takılmış, mahsur, ayrılamaz"
2728,2,2,"hırs, ihtiras, tutku"
