,fr,ru,en
0,tomber,упасть,fall
1,tomber,упасть,drop
2,tomber,упасть,fall down
3,tomber,попасть,fall into
4,tomber,попасть,
5,tomber,опускать,drop out
6,tomber,опадать,no_equality
7,tomber,положить,
8,tomber,снижаться,fall
9,tomber,снижаться,drop
10,tomber,снижаться,go down
11,tomber,снижаться,come down
12,tomber,приходиться,no_equality
13,pénétrer,проникать,enter
14,pénétrer,проникать,penetrate
15,pénétrer,проникать,permeate
16,pénétrer,проникать,infiltrate
17,pénétrer,пронизывать,penetrate
18,pénétrer,пронизывать,permeate
19,pénétrer,пронизывать,pervade
20,pénétrer,входить,enter
21,pénétrer,входить,get into
22,pénétrer,входить,
23,pénétrer,пробраться,no_equality
24,pénétrer,впитаться,no_equality
25,pénétrer,вникнуть,penetrate
26,pénétrer,внедриться,infiltrate
27,pénétrer,пробить,penetrate
28,pénétrer,пролезать,no_equality
29,pénétrer,пронять,no_equality
30,complet,полный,complete
31,complet,полный,full
32,complet,полный,comprehensive
33,complet,полный,entire
34,complet,полный,whole
35,complet,полный,fully
36,complet,полный,total
37,complet,полный,thorough
38,complet,полный,absolute
39,complet,полный,exhaustif
40,complet,полный,
41,complet,всеобъемлющий,full
42,complet,всеобъемлющий,comprehensive
43,complet,всеобъемлющий,exhaustif
44,complet,всеобъемлющий,
45,complet,комплектный,no_equality
46,complet,комплексный,comprehensive
47,complet,комплексный,integral
48,complet,комплексный,
49,complet,исчерпывающий,complete
50,complet,исчерпывающий,full
51,complet,исчерпывающий,comprehensive
52,complet,исчерпывающий,thorough
53,complet,исчерпывающий,extensif
54,complet,исчерпывающий,exhaustif
55,complet,завершенный,complete
56,complet,завершенный,completed
57,complet,укомплектованный,no_equality
58,complet,заполненный,completed
59,complet,полный комплект,no_equality
60,complet,костюм,suit
61,complet,пара,no_equality
62,complet,традиционный завтрак,no_equality
63,complet,тройка,no_equality
64,lettré,просвещенный человек,no_equality
65,lettré,ученый,scholar
66,lettré,начитанный,well-read
67,lettré,просвещенный,no_equality
68,tiré,вытянутый,no_equality
69,tiré,оттянутый,no_equality
70,tiré,притянутый,no_equality
71,tiré,произведенный,no_equality
72,tiré,обнаженный,no_equality
73,tiré,выписанный,no_equality
74,tiré,выстреленный,no_equality
75,tiré,отпечатанный,no_equality
76,tiré,разливной,no_equality
77,tiré,осунувшийся,no_equality
78,tiré,выстрел,shot
79,tiré,выстрел,fired
80,tiré,выстрел,shooting
81,tiré,выстрел,firing
82,tiré,выстрел,shoot
83,tiré,трассат,no_equality
84,tiré,трассант,no_equality
85,tiré,банк-плательщик,no_equality
86,tiré,подлесок,no_equality
87,figurant,статист,extra
88,figurant,фигурант,no_equality
89,équiper,оборудовать,equip
90,équiper,оборудовать,install
91,équiper,оборудовать,furnish
92,équiper,оснащать,equip
93,équiper,экипировать,equip
94,équiper,снарядить,equip
95,équiper,наделить,equip
96,équiper,собрать,
97,exhaustivement,исчерпывающе,exhaustively
98,ultérieurement,впоследствии,subsequently
99,ultérieurement,впоследствии,later
100,ultérieurement,впоследствии,further
101,ultérieurement,впоследствии,thereafter
102,ultérieurement,впоследствии,eventually
103,ultérieurement,впоследствии,afterwards
104,ultérieurement,впоследствии,ultimately
105,ultérieurement,впоследствии,future
106,ultérieurement,впоследствии,subsequent
107,ultérieurement,впоследствии,after
108,ultérieurement,впоследствии,afterward
109,ultérieurement,впоследствии,
110,ultérieurement,в дальнейшем,subsequently
111,ultérieurement,в дальнейшем,later
112,ultérieurement,в дальнейшем,further
113,ultérieurement,в дальнейшем,eventually
114,ultérieurement,в дальнейшем,subsequent
115,ultérieurement,в дальнейшем,later on
116,ultérieurement,в дальнейшем,
117,convenir,согласовать,agree on
118,convenir,согласовать,agree upon
119,convenir,согласовать,accommodate
120,convenir,согласовать,
121,convenir,подходить,suit
122,convenir,подходить,be suitable
123,convenir,подходить,fit
124,convenir,подходить,
125,convenir,соответствовать,fit
126,convenir,соответствовать,
127,convenir,признать,agree
128,convenir,признать,admit
129,convenir,признать,
130,convenir,устраивать,arrange
131,convenir,подобать,no_equality
132,convenir,приличествовать,no_equality
133,convenir,сговориться,no_equality
134,convenir,идти,become
135,convenir,идти,
136,convenir,прийтись,no_equality
137,convenir,допускать,admit
138,convenir,допускать,
139,convenir,пристать,no_equality
140,réellement,фактически,actually
141,réellement,фактически,effectively
142,réellement,фактически,indeed
143,réellement,фактически,
144,réellement,собственно,really
145,réellement,собственно,actually
146,réellement,собственно,indeed
147,réellement,собственно,
148,réellement,в самом деле,really
149,réellement,в самом деле,actually
150,réellement,в самом деле,truly
151,réellement,в самом деле,indeed
152,réellement,в самом деле,for real
153,réellement,впрямь,really
154,réellement,впрямь,actually
155,réellement,впрямь,truly
156,réellement,впрямь,indeed
157,devant,пред,in front of
158,devant,пред,before
159,devant,мимо,past
160,devant,мимо,over
161,devant,мимо,through
162,devant,к,no_equality
163,devant,при,under
164,devant,впереди,in front of
165,devant,впереди,ahead
166,devant,впереди,before
167,devant,впереди,ahead of
168,devant,в присутствии,in front of
169,devant,в присутствии,before
170,devant,передняя часть,no_equality
171,virer,лавировать,tack
172,virer,уволить,fire
173,virer,уволить,sack
174,virer,уволить,lay off
175,virer,делать поворот,no_equality
176,virer,переводить,transfer
177,virer,поворачивать,turn
178,virer,поворачиваться,turn
179,virer,тонировать,no_equality
180,virer,убрать,
181,virer,меняться,
182,virer,развернуться,no_equality
183,alcool,алкоголь,alcohol
184,alcool,алкоголь,liquor
185,alcool,алкоголь,booze
186,alcool,алкоголь,drinking
187,alcool,алкоголь,drink
188,alcool,алкоголь,spirit
189,alcool,алкоголь,alcoholic
190,alcool,спирт,alcohol
191,alcool,спирт,spirit
192,alcool,водка,no_equality
193,alcool,крепкий напиток,liquor
194,histoire,история,history
195,histoire,история,story
196,histoire,история,thing
197,histoire,история,tale
198,histoire,история,whole
199,histoire,история,narratif
200,histoire,история,background
201,histoire,история,historical
202,histoire,история,about
203,histoire,история,
204,histoire,вещь,thing
205,histoire,вещь,stuff
206,histoire,приключение,no_equality
207,histoire,предание,no_equality
208,histoire,случай,
209,histoire,сложность,no_equality
210,histoire,неприятность,no_equality
211,aéronef,воздушное судно,aircraft
212,aéronef,ЛА,aircraft
213,pile,батарейка,battery
214,pile,стопка,pile
215,pile,свая,pile
216,pile,свая,pier
217,pile,решка,no_equality
218,pile,элемент,no_equality
219,pile,фотоэлемент,no_equality
220,pile,гальванический элемент,no_equality
221,pile,поленница,no_equality
222,pile,опора,no_equality
223,pile,стопа,no_equality
224,pile,чан,no_equality
225,pile,решетка,no_equality
226,pile,столб,no_equality
227,pile,ровно,exactly
228,pile,ровно,flat
229,pile,резко,sharp
230,pilé,толченый,no_equality
231,unique,уникальный,unique
232,unique,уникальный,one-of-a-kind
233,unique,единый,single
234,unique,единый,unique
235,unique,единый,one
236,unique,единый,sole
237,unique,единый,unified
238,unique,единый,uniform
239,unique,единый,
240,unique,один,single
241,unique,единственный,single
242,unique,единственный,unique
243,unique,единственный,sole
244,unique,единственный,one and only
245,unique,единственный,
246,unique,одиночный,single
247,unique,единородный,no_equality
248,unique,единовременный,one-time
249,unique,несравненный,no_equality
250,unique,редкостный,no_equality
251,unique,чудной,no_equality
252,s'envoler,улететь,fly away
253,s'envoler,улететь,take off
254,s'envoler,улететь,go
255,s'envoler,улететь,flee
256,s'envoler,взлететь,take off
257,s'envoler,взлететь,soar
258,s'envoler,взлететь,take flight
259,s'envoler,слететь,no_equality
260,s'envoler,отлететь,no_equality
261,s'envoler,подниматься,soar
262,s'envoler,подниматься,
263,s'envoler,ускользать,no_equality
264,s'envoler,улетучиваться,no_equality
265,s'envoler,разлететься,no_equality
266,exposer,подвергать,exposer
267,exposer,подвергать,put
268,exposer,подвергать,endanger
269,exposer,выставить,exposer
270,exposer,выставить,exhibit
271,exposer,выставить,display
272,exposer,выставить,put
273,exposer,выставляться,no_equality
274,exposer,экспонировать,exposer
275,exposer,разоблачить,exposer
276,exposer,изложить,present
277,exposer,изложить,outline
278,exposer,изложить,explain
279,exposer,изложить,set out
280,exposer,изложить,state
281,exposer,изложить,describe
282,exposer,изложить,express
283,exposer,изложить,expound
284,exposer,изложить,set forth
285,exposer,изложить,
286,exposer,подвергать воздействию,exposer
287,exposer,подвергать воздействию,put
288,exposer,подвергать действию,exposer
289,exposer,подвергать действию,put
290,exposer,предоставлять,
291,exposer,облучать,irradiate
292,locomotive,локомотив,locomotive
293,locomotive,локомотив,engine
