"word_id","ref_id","setting_id","translate"
25012,2,1,"işaretlemek"
4803,2,1,"başlamak"
12476,2,1,"tartışmak"
35607,2,1,"söylemek"
35882,2,1,"tornavida"
4509,2,1,"dayandırmak"
21464,2,1,"bilgilendirmek"
24539,2,1,"şehvet"
34555,2,1,"tiksinti"
81321,2,1,"yararlanmak"
31876,2,1,"reçete"
2024,2,1,"beğeni"
23052,2,1,"bilmek"
42427,2,1,"dönmek"
17720,2,1,"gerçekten"
25119,2,1,"şaheser"
16668,2,1,"zorlamak"
12132,2,1,"farklılaşmak"
33462,2,1,"ulaşmak"
18564,2,1,"büyümek"
21136,2,1,"yükseltmek"
11947,2,1,"geliştirmek"
6190,2,1,"getirmek"
36788,2,1,"raf"
58436,2,1,"zorlu"
36777,2,1,"çarşaf"
15978,2,1,"doldurmak"
42223,2,1,"sıkıntılı"
38791,2,1,"başlamak"
2750,2,1,"değişiklik"
32168,2,1,"üretmek"
4642,2,1,"olmak"
4716,2,1,"olmak"
36569,2,1,"kurmak"
7139,2,1,"taşımak"
13293,2,1,"çizmek"
45645,2,1,"ahşap"
4849,2,1,"inanmak"
15437,2,1,"düşmek"
16014,2,1,"bulmak"
20843,2,1,"önemli"
16562,2,1,"dosya"
44936,2,1,"giymek"
29717,2,1,"ödemek"
40655,2,1,"anlatmak"
34319,2,1,"istifa"
32789,2,1,"koymak"
21068,2,1,"Gelir"
42292,2,1,"güvenmek"
40307,2,1,"almak"
1948,2,1,"eklemek"
41009,2,1,"düşünmek"
17860,2,1,"vermek"
24302,2,1,"bakmak"
43014,2,1,"anlamak"
16578,2,1,"izlemek"
42308,2,1,"denemek"
24094,2,1,"yaşamak"
23560,2,1,"öğrenmek"
19307,2,1,"duymak"
24757,2,1,"yapmak"
7606,2,1,"değişmek/değiştirmek"
36989,2,1,"göstermek"
3251,2,1,"iştah"
26903,2,1,"yakın"
3616,2,1,"sormak"
3003,2,1,"yanıtlamak"
44589,2,1,"yürümek"
10735,2,1,"kesmek"
18123,2,1,"iyi"
7411,2,1,"tavan"
8390,2,1,"kapatmak"
30962,2,1,"oynamak"
35115,2,1,"koşmak"
16514,2,1,"uçmak"
44758,2,1,"izlemek"
19382,2,1,"ağır"
37292,2,1,"oturmak"
2911,2,1,"öfke"
24046,2,1,"dinlemek"
20110,2,1,"sıcak"
39129,2,1,"durmak"
40333,2,1,"konuşmak"
28239,2,1,"açmak"
45811,2,1,"yazmak"
4968,2,1,"yanında"
31216,2,1,"politika"
45691,2,1,"çalışmak"
39331,2,1,"güçlü"
52065,2,1,"ilişkiler"
8954,2,1,"ortak"
26432,2,1,"motivasyon"
32963,2,1,"soru"
44671,2,1,"ılık"
3339,2,1,"akvaryum"
6016,2,1,"dal"
8864,2,1,"gelmek"
43271,2,1,"tersine"
17186,2,1,"dolu"
32641,2,1,"nabız"
4237,2,1,"balkon"
38517,2,1,"eş"
13984,2,1,"elektrik"
16761,2,1,"unutmak"
37065,2,1,"kardeş"
24252,2,1,"uzun"
34079,2,1,"hatırlamak"
18018,2,1,"gitmek"
2096,2,1,"tavsiye"
19992,2,1,"umut"
6263,2,1,"kardeş/abi"
26817,2,1,"dar"
28453,2,1,"öksüz"
37627,2,1,"küçük"
24389,2,1,"aşk"
19477,2,1,"başlık"
45356,2,1,"geniş"
45548,2,1,"ile"
44058,2,1,"vantilator"
14588,2,1,"eşit"
35741,2,1,"okul"
27066,2,1,"ağ"
15505,2,1,"uzak"
420722,2,1,"uğraşmak"
15587,2,1,"baba"
487425,2,1,"aramak"
28164,2,1,"üstünde"
34990,2,1,"yuvarlak"
43955,2,1,"çeşitli"
7824,2,1,"çocuk"
1695774,2,1,"korkunç"
40544,2,1,"öğretmek"
10980,2,1,"kız"
4182,2,1,"torba"
30833,2,1,"merhamet"
35034,2,1,"silgi"
6290,2,1,"fırça"
1329024,2,1,"Stoper"
39181,2,1,"ocak"
32075,2,1,"özel"
9877,2,1,"doğru"
44637,2,1,"istemek"
17089,2,1,"ön"
12882,2,1,"yapmak"
6512,2,1,"otobüs"
40636,2,1,"telefon"
44605,2,1,"duvar"
24414,2,1,"alçak"
22894,2,1,"kibar"
23345,2,1,"fener"
7603,2,1,"şamdan"
35242,2,1,"güvenli"
45633,2,1,"odun"
33839,2,1,"hakem"
39694,2,1,"güneş"
23060,2,1,"bilinen"
13065,2,1,"kapı"
2825,2,1,"eğlence"
41125,2,1,"heyecanlı"
136291,2,1,"bezgince"
24160,2,1,"ıstakoz"
18368,2,1,"büyük"
35091,2,1,"cetvel"
35389,2,1,"aynı"
40468,2,1,"lezzetli"
20227,2,1,"insani"
39945,2,1,"bez"
5047,2,1,"ötesinde"
9649,2,1,"bakkal"
36519,2,1,"ciddi"
24289,2,1,"özlemek"
41056,2,1,"düşünce"
20329,2,1,"koca"
31471,2,1,"mümkün"
50735,2,1,"ebeveyn"
3872,2,1,"hala/teyze"
6273,2,1,"kahverengi"
36143,2,1,"görmek"
6375,2,1,"ampul"
3472,2,1,"kol"
454556,2,1,"saksı"
37202,2,1,"basit"
23407,2,1,"geç"
31355,2,1,"fakir"
14227,2,1,"boş"
45444,2,1,"pencere"
16593,2,1,"yiyecek"
5104,2,1,"büyük"
41131,2,1,"boğaz"
4522,2,1,"temel"
23913,2,1,"beğenmek"
2216,2,1,"sonra"
21731,2,1,"ilham"
16651,2,1,"için"
13481,2,1,"kuru"
2246,2,1,"yaş"
10713,2,1,"minder"
11337,2,1,"derin"
10119,2,1,"kuzen"
23402,2,1,"son"
44929,2,1,"zenginlik"
26842,2,1,"ulusal"
14111,2,1,"utandırmak"
2629,2,1,"yalnız"
3607,2,1,"utanmış"
13640,2,1,"faraş"
22994,2,1,"diz"
12841,2,1,"çeşitlilik"
22280,2,1,"rahatsızlık"
32973,2,1,"hızlı"
5469,2,1,"kan"
18384,2,1,"açgözlü"
2002,2,1,"ayarlamak"
33473,2,1,"okumak"
2371,2,1,"klima"
11832,2,1,"arzu"
12304,2,1,"doğrudan"
15337,2,1,"efsanevi"
37496,2,2,"uyumak"
1695581,2,1,"dünya"
18964,2,1,"el"
41545,2,1,"alet"
5453,2,1,"blok"
19315,2,1,"kalp"
6537,2,1,"meşgul"
26796,2,1,"peçete"
1658,2,1,"hakkında"
40013,2,1,"tatlı"
13725,2,1,"erken"
34722,2,1,"isyan"
7470,2,1,"merkezi"
23898,2,1,"hafiflik"
7067,2,1,"okşama"
15357,2,1,"gerçek"
29076,2,1,"acı"
34664,2,1,"doğru"
12465,2,1,"ayrık"
2239,2,1,"karşısında"
33488,2,1,"hazır"
37664,2,1,"sırıtmak"
22634,2,1,"kutlama"
13770,2,1,"yemek"
8714,2,1,"soğuk"
27109,2,1,"yeni"
6141,2,1,"tuğla"
15089,2,1,"egzotik"
45964,2,1,"genç"
17052,2,1,"korkmuş"
37852,2,1,"sosyal"
26774,2,1,"ad"
18385,2,1,"yeşil"
38245,2,1,"özel"
34615,2,1,"zengin"
37289,2,1,"baldız/elti"
41282,2,1,"Süre"
420745,2,1,"vurmak"
13766,2,1,"kolay"
13624,2,1,"toz"
48980,2,1,"endişeli"
37257,2,1,"lavabo"
101577,2,1,"abajur"
8700,2,1,"örtüşmek"
36943,2,1,"kısa"
7591,2,1,"şans"
7906,2,1,"seçmek"
33499,2,1,"gerçek"
4887,2,1,"altında"
228555,2,1,"söylemek"
5630,2,1,"vücut"
14957,2,1,"aşırılık"
420728,2,1,"beslemek"
3224,2,2,"kıyafet"
33713,2,1,"kırmızı"
5538,2,1,"mavi"
632,2,1,"yüksek"
16604,2,1,"ayak"
474147,2,1,"peştemal"
13200,2,1,"aşağı"
28096,2,1,"eski"
17900,2,1,"cam"
30662,2,1,"yastık"
40156,2,1,"sempati"
7441,2,1,"mezarlık"
18824,2,1,"dolu"
42920,2,1,"altında"
24464,2,1,"kazançlı"
37588,2,1,"yavaş"
177576,2,1,"sonuçlanmak"
228452,2,1,"başlamak"
17719,2,1,"hakiki"
19486,2,1,"çaresiz"
29260,2,1,"kiler"
188705,2,1,"dışında/arasından"
9630,2,1,"tartışmalı"
37716,2,1,"salyangoz"
6426,2,1,"çörek"
206903,2,1,"yerine"
19042,2,1,"mutlu"
5363,2,1,"battaniye"
2575,2,1,"yatıştırmak"
34887,2,1,"oda"
39346,2,1,"mücadele"
35785,2,1,"makas"
45271,2,1,"beyaz"
1697988,2,1,"hızlı"
15339,2,1,"yüz"
4162,2,1,"kötü"
18830,2,1,"saç"
5296,2,1,"siyah"
663,2,1,"ben"
8312,2,1,"akıllı"
17521,2,1,"gaz"
286196,2,1,"düşünmek"
6540,2,1,"ama/hariç"
6060,2,1,"ekmek"
23978,2,1,"keten"
24847,2,1,"adam"
38931,2,1,"merdiven"
17145,2,1,"bereketli"
35584,2,1,"testere"
