,word,local_word,pos,examples,local_examples,examples_and_definitions
0,word,слово,noun,key word|english word|first word|good word|,ключевое слово | английское слово | первое слово | хорошее слово | ,key word|english word|first word|good word|speech | expression | term | 
1,and,и,conj,empty_cell,empty_cell,empty_cell
2,and,а,conj,empty_cell,empty_cell,but | while | 
3,and,и,conj,He thinks of you day and night|,Он думает о вас день и ночь | ,He thinks of you day and night|
4,and,но,conj,It's an embarrassing joke and not an insult|,"Это неуместная шутка, а не оскорбление | ",It's an embarrassing joke and not an insult|
5,and,а,conj,This is a squid and not an octopus|,"Это кальмар, а не осьминог | ",This is a squid and not an octopus|
6,that,так,conj,empty_cell,empty_cell,as | so | as well as | how | so that | both | 
7,that,то,conj,empty_cell,empty_cell,empty_cell
8,that,который / кто / тот который,pron,I know the guy that sold you the disk|,"Я знаю парня, который продал тебе диск | ",I know the guy that sold you the disk|
9,that,тот,pron,On that evening I met Natalie|Do you see those two marks on the wall?|,В тот вечер я встретил Натали | Видишь те две отметины на стене? | ,On that evening I met Natalie|Do you see those two marks on the wall?|
10,that,что,conj,Tell him that Margaret wanted to see him|,"Скажите ему, что Марагарет хотела видеть его | ",Tell him that Margaret wanted to see him|
11,that,чтобы,conj,Turn the mirror so that the room becomes visually larger|,"Поверните зеркало, так чтобы комната казалась больше | ",Turn the mirror so that the room becomes visually larger|
12,for,для,prep,empty_cell,empty_cell,to | 
13,for,на,prep,empty_cell,empty_cell,on | in | to | at | by | 
14,for,за,prep,empty_cell,empty_cell,per | over | during | behind | 
15,for,в,prep,empty_cell,empty_cell,in | to | at | on | into | 
16,for,по,prep,empty_cell,empty_cell,on | by | at | according to | 
17,for,к,prep,empty_cell,empty_cell,to | toward | 
18,for,потому что / ибо,conj,"Lord forgive me, for I've sinned|","Прости меня, Господи, ибо грешен | ","Lord forgive me, for I've sinned|"
19,with,с,prep,empty_cell,empty_cell,from | to | on | 
20,with no,без,prep,empty_cell,empty_cell,without | 
21,but,но,conj,empty_cell,empty_cell,empty_cell
22,but,однако,conj,empty_cell,empty_cell,yet | though | 
23,but,а,conj,empty_cell,empty_cell,and | while | 
24,but,но,conj,He's hardworking but not very intelligent|,"Он трудолюбивый, но не очень умный | ",He's hardworking but not very intelligent|
25,but,а,conj,You may tell that to others but not to me|,"Можешь рассказывать это другим, а не мне | ",You may tell that to others but not to me|
26,but,тем не менее,conj,"What he says is ugly, but it's quite true|","То, что он говорит, отвратно, но тем не менее это совершенная правда | ","What he says is ugly, but it's quite true|"
27,but,однако,conj,"Sam would have been best, but he was dead|","Больше всего подошел бы Сэм, однако он был мертв | ","Sam would have been best, but he was dead|"
28,but,как / кроме как,conj,There was nothing else to do but to wait|,"Не оставалось ничего другого, как ждать | ",There was nothing else to do but to wait|
29,but,чтобы не,conj,Never a day passes but he calls her|,"Не проходит и дня, чтобы он ей не позвонил | ",Never a day passes but he calls her|
30,you,вы,pron,May I offer you a drink?|,Могу я предложить вам что-нибудь выпить? | ,May I offer you a drink?|
31,you,ты,pron,I'm thinking about you|,Я думаю о тебе | ,I'm thinking about you|
32,this,этот,pron,Do you recognise this object?|,Вам знаком этот предмет? | ,Do you recognise this object?|
33,this,это,pron,I will explain this to you more fully later|,Я объясню это вам потом подробнее | ,I will explain this to you more fully later|
34,not,нельзя,adv,empty_cell,empty_cell,empty_cell
35,not,мало,adv,empty_cell,empty_cell,little | not only | poorly | too little | 
36,not,недостаточно,adv,empty_cell,empty_cell,enough | insufficiently | sufficiently | too little | 
37,not,совсем,adv,empty_cell,empty_cell,quite | very | completely | exactly | entirely | totally | absolutely | 
38,not,плохо,adv,empty_cell,empty_cell,badly | poorly | wrong | 
39,not,невозможно,adv,empty_cell,empty_cell,empty_cell
40,have,иметь,verb,to have the right|to have children|to have consequences|to have access|,иметь право | иметь детей | иметь последствия | иметь доступ | ,to have the right|to have children|to have consequences|to have access|make | mean | be | feature | hold | enjoy | keep | possess | 
41,have,быть,verb,to have time|to have their hands full|to have a product|to have nuclear weapons|,быть времени | быть предостаточно | быть продукции | быть ядерного оружия | ,to have time|to have their hands full|to have a product|to have nuclear weapons|be | include | feature | get | come | go | offer | become | 
42,have,получить,verb,to have a chance|to have infections|,получить шанс | получить инфекции | ,to have a chance|to have infections|get | receive | obtain | gain | win | find | earn | grant | 
43,have,обладать,verb,to have legitimacy|to have its own local particularities|,обладать легитимностью | обладать местными особенностями | ,to have legitimacy|to have its own local particularities|possess | wield | own | possess | 
44,have,оказать,verb,empty_cell,empty_cell,provide | render | exert | extend | put up | 
45,have,мочь,verb,empty_cell,empty_cell,can | could | allow | may | 
46,have got,быть,verb,empty_cell,empty_cell,have | be | include | feature | get | come | go | offer | become | 
47,have got,попалить,verb,empty_cell,empty_cell,hit | fall | have got to | land | end up | strike | advance | fall | 
48,have to,придтись,verb,empty_cell,empty_cell,force | account for | 
49,have to,вынудить,verb,empty_cell,empty_cell,force | compel | force | cause | induce | prompt | pressure | displace | 
50,have to,приходиться,verb,empty_cell,empty_cell,account for | make up | contribute | account for | 
51,have to,следовать,verb,empty_cell,empty_cell,follow | pursue | follow | 
52,have to,потребоваться,verb,empty_cell,empty_cell,require | need | 
53,have to,обязать,verb,empty_cell,empty_cell,owe | order | oblige | must | commit | should | 
54,have to,иметь,verb,empty_cell,empty_cell,have | make | mean | be | feature | hold | enjoy | keep | possess | 
55,letter,письмо,noun,open letter|cover letter|official letter|registered letter|,открытое письмо | сопроводительное письмо | официальное письмо | заказное письмо | ,open letter|cover letter|official letter|registered letter|e-mail | message | mail | writing | 
56,letter,буква,noun,drive letter|first letter|letter of the law|capital letter|,буква диска | первая буква | буква закона | Заглавная буква | ,drive letter|first letter|letter of the law|capital letter|character | 
57,letter,символ,noun,letters of genetic code|,символов генетического кода | ,letters of genetic code|symbol | character | icon | 
58,plate,пластина,noun,color plate|offset plate|phosphorous plate|gold plate|,Цветовая пластина | офсетных пластин | Фосфорная пластина | золотые пластины | ,color plate|offset plate|phosphorous plate|gold plate|sheet | wafer | shutter | platter | 
59,plate,плита,noun,tectonic plate|base plate|sandwich plate|wall plate|,тектонические плиты | фундаментная плита | слоистые плиты | настенной плиты | ,tectonic plate|base plate|sandwich plate|wall plate|stove | hob | hotplate | slab | oven | hot plate | stove top | cooker | 
60,plate,тарелка,noun,souvenir plates|dinner plate|,сувенирные тарелки | обеденную тарелку | ,souvenir plates|dinner plate|dish | bowl | saucer | mater | sliver | dinner plate | 
61,plate,пластинка,noun,glass plate|X-ray plate|,стеклянная пластинка | рентгеновскую пластинку | ,glass plate|X-ray plate|disc | record | disk | wafer | vinyl | phonograph record | brace | strip | 
62,plate,лист,noun,empty_cell,empty_cell,sheet | leaf | piece | slate | sheet steel | 
63,plate,табличка,noun,empty_cell,empty_cell,sign | tablet | plaque | placard | shield | 
64,plate,листы,noun,empty_cell,empty_cell,sheet | leaf | piece | slate | sheet of paper | 
65,plate,посуда,noun,empty_cell,empty_cell,dish | utensil | kitchenware | crockery | ware | tableware | kitchen utensil | cookware | 
66,plate,доска,noun,empty_cell,empty_cell,board | plank | plaque | blackboard | whiteboard | chessboard | 
67,treat,угощение,noun,morning treat|,утреннее угощение | ,morning treat|feast | 
68,treat,удовольствие,noun,empty_cell,empty_cell,pleasure | fun | satisfaction | enjoyment | amusement | joy | delight | 
69,treat,лакомство,noun,empty_cell,empty_cell,delicacy | dainty | 
70,treat,лечить,verb,to treat people|,лечить людей | ,to treat people|heal | cure | heal | dose | 
71,treat,рассматривать,verb,empty_cell,empty_cell,consider | see | view | regard | examine | review | 
72,treat,относиться,verb,empty_cell,empty_cell,include | apply | belong | relate | concern | view | regard | date back | 
73,treat,обращаться,verb,empty_cell,empty_cell,turn | contact | apply | appeal | address | deal | turn | reach out | 
74,treat,вылечить,verb,empty_cell,empty_cell,cure | heal | 
75,treat,рассматриваться,verb,empty_cell,empty_cell,consider | view | address | examine | regard | see | review | construe | 
76,treat,угостить,verb,empty_cell,empty_cell,empty_cell
77,treat,обрабатывать,verb,to treat even vast skin areas|,обрабатывать даже большие участки кожи | ,to treat even vast skin areas|process | handle | process | handle | machine | cultivate | 
78,treat,лечиться,verb,empty_cell,empty_cell,empty_cell
79,diner,diners,noun,empty_cell,empty_cell,empty_cell
80,dinner,ужин,noun,romantic dinner|gala dinner|family dinner|themed dinner|,романтический ужин | торжественный ужин | семейный ужин | тематический ужин | ,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
81,dinner,обед,noun,business dinner|excellent dinner|,деловой обед | прекрасные обеды | ,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
82,necessary,нужный,adj,empty_cell,empty_cell,right | needed | correct | appropriate | proper | relevant | 
83,necessary,обязательный,adj,empty_cell,empty_cell,mandatory | compulsory | obligatory | binding | essential | indispensable | optional | 
84,necessary,необходимый,adj,empty_cell,empty_cell,empty_cell
85,necessary,неотъемлемый,adj,empty_cell,empty_cell,integral | inalienable | essential | inherent | indispensable | vital | 
86,necessary,должный,adj,empty_cell,empty_cell,proper | due | adequate | appropriate | 
87,go,идти,verb,to go home|to go further|to go straight|to go forward|,идти домой | идти дальше | идти прямо | идти вперед | ,to go home|to go further|to go straight|to go forward|come | walk | move | keep | run | walk | follow | 
88,go,пойти,verb,to go well|to go there|to go down|to go wrong|,пойти хорошо | пойти туда | пойти вниз | пойти плохо | ,to go well|to go there|to go down|to go wrong|walk | go out | 
89,go,быть,verb,to go decisively|to go tomorrow|to go in vain|,быть настроены решительно | быть сделано завтра | быть пролита напрасно | ,to go decisively|to go tomorrow|to go in vain|have | be | include | feature | get | come | offer | become | 
90,go,ходить,verb,empty_cell,empty_cell,walk | walk | run | walk around | wear | 
91,go,пройти,verb,to go smoothly|to go here|to go too well|to go into her exam|,пройти гладко | пройти сюда | пройти хорошо | пройти экзамен | ,to go smoothly|to go here|to go too well|to go into her exam|pass | hold | took place | undergo | receive | host | walk | complete | 
92,go,отправиться,verb,to go to summer camp|to go to pristine reefs|to go to this village|,отправиться в летний лагерь | отправиться на нетронутые рифы | отправиться в эту деревню | ,to go to summer camp|to go to pristine reefs|to go to this village|travel | set out | go out | head | embark | leave | depart | 
93,go,перейти,verb,to go to the background image|to go into its pinwheel display|,Перейти на фоновое изображение | перейти в режим шутихи | ,to go to the background image|to go into its pinwheel display|move | switch | cross | pass | proceed | navigate | shift | turn | 
94,go,ехать,verb,to go there directly|,ехать прямо туда | ,to go there directly|drive | travel | travel | ride | drive | 
95,go,поехать,verb,empty_cell,empty_cell,drive | go there | go back | go out | ride | 
96,go away,уезжать,verb,empty_cell,empty_cell,leave | go away | go away | 
97,go up,идти вверх,verb,empty_cell,empty_cell,empty_cell
98,go up,подходить,verb,empty_cell,empty_cell,suit | fit | approach | come up | walk up | place | go up | match | befit | 
99,go up,росить,verb,empty_cell,empty_cell,grow | grow up | go up | climb | 
100,go awry,сойти с ума,verb,empty_cell,empty_cell,empty_cell
101,go around,обойти,verb,empty_cell,empty_cell,bypass | circumvent | evade | bypass | outflank | finesse | tour | walk around | 
102,go around,вращаться,verb,empty_cell,empty_cell,rotate | revolve | spin | spin | rotate | spin around | move around | 
103,go around,ездить по миру,verb,empty_cell,empty_cell,empty_cell
104,go around,часто путешествовать,verb,empty_cell,empty_cell,empty_cell
105,go around,хватать,verb,empty_cell,empty_cell,lack | grab | catch | suffice | afford | miss | deprive | rip | 
106,go around,пролетать,verb,empty_cell,empty_cell,fly | 
107,go around,ходить вокруг,verb,empty_cell,empty_cell,empty_cell
108,go out,выйти,verb,empty_cell,empty_cell,go | come out | leave | reach | release | emerge | enter | step | 
109,go out,выходить,verb,to go out into the streets|,выходить на улицу | ,to go out into the streets|go | come out | face | extend | enter | overlook | emerge | withdraw | 
110,go out,пойти,verb,empty_cell,empty_cell,go | walk | go | 
111,go out,уходить,verb,empty_cell,empty_cell,go | leave | go away | go | leave | fade | dates back | 
112,go out,уйти,verb,empty_cell,empty_cell,leave | go | go away | withdraw | get out | get away | escape | resign | 
113,go out,выслать,verb,empty_cell,empty_cell,send | expel | come out | emerge | qualify | get out | advance | step | 
114,go out,отправиться,verb,empty_cell,empty_cell,go | travel | set out | head | embark | leave | depart | 
115,go out,отправляться,verb,empty_cell,empty_cell,go | leave | depart | head | head out | 
116,go out,выезжать,verb,empty_cell,empty_cell,travel | travel | dispatch | 
117,go off,плыть,verb,empty_cell,empty_cell,swim | sail | float | mind | go off | 
118,secret,секретный,adj,empty_cell,empty_cell,confidential | sensitive | covert | secretive | undercover | 
119,secret,тайный,adj,empty_cell,empty_cell,clandestine | covert | privy | arcane | insidious | esoteric | 
120,secret,сокровенный,adj,empty_cell,empty_cell,innermost | intimate | 
121,secret,секрет,noun,state secret|secret to high performance|shared secret|little secret|,государственные секреты | секрет высокой продуктивности | разделяемый секрет | маленький секрет | ,state secret|secret to high performance|shared secret|little secret|trick | mystery | 
122,secret,тайна,noun,trade secret|family secret|military secret|official secret|,коммерческая тайна | семейная тайна | военная тайна | государственная тайна | ,trade secret|family secret|military secret|official secret|mystery | secrecy | confidentiality | 
123,table,табличный,adj,empty_cell,empty_cell,tabular | 
124,table,настольный,adj,empty_cell,empty_cell,desktop | 
125,table,стол,noun,round table|dining table|pool table|negotiating table|,круглый стол | обеденный стол | бильярдный стол | стол переговоров | ,round table|dining table|pool table|negotiating table|desk | desktop | 
126,table,таблица,noun,routing table|following table|periodic table|partition table|,Таблица маршрутизации | следующая таблица | периодическая таблица | таблица разделов | ,routing table|following table|periodic table|partition table|chart | spreadsheet | sheet | 
127,table,столик,noun,coffee table|dressing table|small table|changing table|,журнальный столик | туалетный столик | небольшим письменным столиком | пеленальный столик | ,coffee table|dressing table|small table|changing table|reservation | small table | little table | 
128,table,рассматриваться,verb,empty_cell,empty_cell,consider | view | address | examine | treat | regard | see | review | construe | 
129,create,создать,verb,to create a vacuum|to create conditions|to create a system|to create institutions|,создать вакуум | создать условия | создать систему | создать институты | ,to create a vacuum|to create conditions|to create a system|to create institutions|establish | make | build | setup | form | found | develop | 
130,create,создавать,verb,to create a world|to create problems|to create the impression|to create the circumstances|,создавать мир | создавать проблемы | создавать впечатление | создавать условия | ,to create a world|to create problems|to create the impression|to create the circumstances|make | build | produce | establish | generate | form | setup | 
131,create,создаваться,verb,empty_cell,empty_cell,form | 
132,create,образовать,verb,empty_cell,empty_cell,form | establish | educate | constitute | found | make up | form | comprise | consist of | 
133,warm,теплый,adj,very warm|,очень теплые | ,very warm|hot | 
134,warm,тепло,adj,empty_cell,empty_cell,empty_cell
135,warm,уютный,adj,empty_cell,empty_cell,cosy | comfortable | intimate | charming | friendly | pleasant | 
136,warm,горячий,adj,empty_cell,empty_cell,hot | heated | ardent | 
137,warm,радушный,adj,empty_cell,empty_cell,friendly | cordial | hospitable | welcome | kind | 
138,warm,согревать,verb,empty_cell,empty_cell,empty_cell
139,warm,подогревать,verb,empty_cell,empty_cell,fuel | 
140,warm,греть,verb,empty_cell,empty_cell,heat | 
141,warm up,нагреваться,verb,empty_cell,empty_cell,heat | heat up | 
142,warm up,нагреться,verb,empty_cell,empty_cell,heat up | 
143,nobody,никто,pron,Nobody says it will be easy|,"Никто не говорит, что это будет просто | ",Nobody says it will be easy|
144,entire,всей,adj,empty_cell,empty_cell,whole | overall | total | 
145,entire,полный,adj,empty_cell,empty_cell,full | complete | total | comprehensive | whole | 
146,entire,целую,adj,empty_cell,empty_cell,whole | 
147,entire,весь,adj,empty_cell,empty_cell,all | whole | 
148,entire,цельный,adj,empty_cell,empty_cell,whole | solid | integral | coherent | consistent | seamless | 
149,entire,целостный,adj,empty_cell,empty_cell,holistic | integral | whole | consistent | seamless | 
150,anything,что-нибудь,pron,Have you ever seen anything like this?|,Вам уже приходилось видеть что-нибудь похожее? | ,Have you ever seen anything like this?|
151,anything,ничто,pron,We aren’t going to find anything out here.|,Мы ничего здесь не найдем. | ,We aren’t going to find anything out here.|
152,anything,всё,pron,I'll do anything I can|,"Я сделаю все, что смогу | ",I'll do anything I can|
153,background,фоновый,adj,empty_cell,empty_cell,empty_cell
154,background,справочный,adj,empty_cell,empty_cell,manual | 
155,background,фон,noun,transparent background|white background|black background|radiation background|,прозрачном фоне | белый фон | Черный фон | радиационный фон | ,transparent background|white background|black background|radiation background|backdrop | background color | 
156,background,фоновый режим,noun,empty_cell,empty_cell,empty_cell
157,background,происхождение,noun,ethnic background|family background|,этническое происхождение | семейное происхождение | ,ethnic background|family background|origin | descent | ancestry | birth | lineage | 
158,background,задний план,noun,empty_cell,empty_cell,empty_cell
159,background,фоновое изображение,noun,empty_cell,empty_cell,empty_cell
160,background,предпосылка,noun,empty_cell,empty_cell,prerequisite | premise | precondition | assumption | implication | boost | trait | 
161,background,корень,noun,immigrant background|,иммигрантскими корнями | ,immigrant background|root | origin | 
162,child,дитя,noun,young child|Pakistani children|innocent child|healthy child|,маленькое дитя | пакистанские дети | невинные дети | здоровые дети | ,young child|Pakistani children|innocent child|healthy child|kid | baby | 
163,child,ребенок,noun,first child|second child|small child|virtual child|,первый ребенок | второй ребенок | маленький ребенок | виртуальным ребенком | ,first child|second child|small child|virtual child|baby | kid | 
164,child,размещении всех детей,noun,empty_cell,empty_cell,empty_cell
165,child,размещении одного ребёнка,noun,empty_cell,empty_cell,empty_cell
166,childhood,детство,noun,early childhood|happy childhood|unhappy childhood|very difficult childhood|,раннее детство | счастливое детство | несчастливое детство | очень сложное детство | ,early childhood|happy childhood|unhappy childhood|very difficult childhood|
167,childhood,детском возрасте,noun,empty_cell,empty_cell,empty_cell
168,everything,весь / всё,pron,Everything else doesn't matter|,Всё остальное не имеет значения | ,Everything else doesn't matter|
169,grandchild,внук,noun,little grandchildren|,маленьких внуков | ,little grandchildren|grandson | grandkid | 
170,ketchup,кетчуп,noun,empty_cell,empty_cell,empty_cell
171,point,точка,noun,starting point|access point|percentage point|ideal starting point|,отправная точка | точка доступа | процентные точки | идеальная отправная точка | ,starting point|access point|percentage point|ideal starting point|dot | spot | pixel | location | outlet | 
172,point,пункт,noun,basis point|turning point|vaccination points|passport control points|,базовый пункт | поворотный пункт | пункты вакцинации | пунктами паспортного контроля | ,basis point|turning point|vaccination points|passport control points|item | post | paragraph | clause | pip | outlet | 
173,point,момент,noun,tipping point|key point|important point|certain point|,переломный момент | ключевой момент | важный момент | определенный момент | ,tipping point|key point|important point|certain point|moment | time | thing | date | 
