English,Russian,French
letter,письмо,lettre
letter,буква,lettre
letter,буква,caractère
plate,тарелка,assiette
plate,тарелка,plat
dinner,обед,déjeuner
dinner,ужин,dîner
necessary,необходимый,nécessaire
no_equality,неизбежный,inévitable
secret,секрет,secret
secret,секретный,secret
secret,тайный,secret
table,стол,table
table,таблица,table
table,таблица,tableau
table,"люди, сидящие за столом в контекстах типа ""наш столик""",tablée
warm,теплый,chaud
warm,теплый,chaleureux
warm,согревать,réchauffer
America,Америка,Amérique
entire,целый,entier
entire,весь,tout
thousand,тысяча,mille
Belgium,Бельгия,Belgique
background,окружение,milieu
background,происхождение,origines
background,задний план,arrière-plan
background,фон,fond
child,ребенок,enfant
childhood,детство,enfance
dependable,надежный,fiable
dependable,надежный,digne de confiance
grandchild,внук,petit-fils
grandchild,внучка,petite-fille
ketchup,кетчуп,ketchup
point,момент,moment
point,точка,point
point,"суть, смысл",intérêt
point,точка,stade
point,"идея, замечание",point
point,"качество, отличительная особенность",point
point,"очко, гол",point
point,"кончик, острие",pointe
point,запятая (в числах),virgule
point,показывать,montrer
point,указывать,indiquer
point,нацеливать,pointer
point,нацеливать,braquer
star,звезда,étoile
star,звезда,vedette
star,звезда,star 
star,звезда (первый ученик),meilleur
star,играть главную роль,être la vedette
star,играть главную роль,tenir le rôle principal
strength,сила,force
strength,прочность,solidité
no_equality,устойчивость,résistance
strength,мощь,puissance
coincide,совпадать,coïncider 
coincidental,совпадающий,fortuit
dance,танцевать,danser
dance,танец,danse
dance,бал,bal
countryside,сельская местность,campagne
break,пауза,pause 
break,перерыв,vacances
break,"поломка, скол",félure
break,ломать,briser
break,ломать,casser
break,игнорировать,désobéir à
break,пренебречь,manquer à
break,прерывать,interrompre
break,разразиться,éclater
mother,мать,mère
mother,дева Мария,Mère
mother,проявлять материнскую заботу,no_equality
start,начинаться,commencer
start,начинатся,débuter
start,начинаться,se mettre à
start,"запускать, открывать",lancer
start,приступать к,démarrer
start,запускать,(se) mettre en marche
start,начало,début
start,начало,commencement
start,начало,départ
start,линия старта,ligne de départ
start,"отправляться, стартовать",partir
tip,совет,conseil
tip,совет,tuyau
tip,чаевые,pourboire
tip,кончик,pointe
tip,кончик,bout
tip,наклоняться,pencher
tip,наклоняться,incliner
tip,давать чаевые,donner un pourboire
tip,наливать,verser
tip,предугадывать,pressentir
apologise,извиняться,excuser
curriculum,расписание,programme 
expertise,"опыт, компетенция",compétences
expertise,экспертиза,expertise
expertise,"опыт, знания",expertise
expertise,опыт,savoir-faire
peremptory,безапеляционный,péremptoire
parent,родитель,parent
member,"член, участник",membre
member,"депутат, член парламента",député
band,музыкальная группа,groupe
band,музыкальная группа,orchestre
band,браслет,brassard
band,повязка,col
band,пояс,ceinture
band,лента,bande
band,банда,bande
band,группа,groupe
band,объединяться,se liguer
hot,горячий,chaud
hot,острый,épicé
hot,привлекательный,recherché
hot,"горячий (напр., о теме, новости)",brûlant
hot,сексуальный,sexy
