ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","47","Что он планировал?","What was he planning?","What, Where, When, Why, Who","What","was, is, be, been, are, were, will, shall","was","he, him, his, it, its","he","planning, plan, planned, plans","planning","","?","","","","","","","","","",""
"2","47","Что она делала там?","What was she doing there?","What, Where, When, Why, Who","What","was, is, be, been, are, were, will, shall","was","she, her, hers","she","doing, do, does, did, done","doing","there, theres, thered, thering","there","","?","","","","","","","",""
"3","47","Что он говорил тогда?","What was he saying then?","What, Where, When, Why, Who","What","was, is, be, been, are, were, will, shall","was","he, him, his, it, its","he","saying, said, say, says, sayest, sayed, sayling, saies","saying","then, the, though","then","","?","","","","","","","",""
"4","47","Что он делал там?","What was he doing there?","What, Where, When, Why, Who","What","was, is, be, been, are, were, will, shall","was","he, him, his, it, its","he","doing, do, does, did, done","doing","there, theres, thered, thering","there","","?","","","","","","","",""
"5","47","Что вы делали здесь?","What were you doing here?","What, Where, When, Why, Who","What","were, is, be, been, are, was, will, shall","were","you, your, yours","you","doing, do, does, did, done","doing","here, heres, hering, hered","here","","?","","","","","","","",""
"6","47","Что вы делали раньше?","What were you doing before?","What, Where, When, Why, Who","What","were, is, be, been, are, was, will, shall","were","you, your, yours","you","doing, do, does, did, done","doing","before, on, in, at, since, for, ago, to","before","","?","","","","","","","",""
"7","47","Что ты делал тогда?","What were you doing then?","What, Where, When, Why, Who","What","were, is, be, been, are, was, will, shall","were","you, your, yours","you","doing, do, does, did, done","doing","then, the, though","then","","?","","","","","","","",""
"8","47","Что мы защищали там?","What were we defending there?","What, Where, When, Why, Who","What","were, is, be, been, are, was, will, shall","were","we, our, us, ours","we","defending, defend, defended, defends, defendest","defending","there, theres, thered, thering","there","","?","","","","","","","",""
"9","47","Кому вы звонили тогда?","Who were you calling then?","Who, Where, When, Why, What","Who","were, is, be, been, are, was, will, shall","were","you, your, yours","you","calling, call, called, calls, callest, callled","calling","then, the, though","then","","?","","","","","","","",""
"10","47","Что он искал?","What was he seeking?","What, Where, When, Why, Who","What","was, is, be, been, are, were, will, shall","was","he, him, his, it, its","he","seeking, seek, sought, seeks, seeked, seekest, seeks'","seeking","","?","","","","","","","","","",""
"11","47","Что вы делали?","What were you doing?","What, Where, When, Why, Who","What","were, is, be, been, are, was, will, shall","were","you, your, yours","you","doing, do, does, did, done","doing","","?","","","","","","","","","",""
"12","47","Что она делала?","What was she doing?","What, Where, When, Why, Who","What","was, is, be, been, are, were, will, shall","was","she, her, hers","she","doing, do, does, did, done","doing","","?","","","","","","","","","",""
"13","47","Что вы думали?","What were you thinking?","What, Where, When, Why, Who","What","were, is, be, been, are, was, will, shall","were","you, your, yours","you","thinking, think, thought, thinks, thinkest, thinked, thinks'","thinking","","?","","","","","","","","","",""
"14","47","Что ты говорил?","What were you saying?","What, Where, When, Why, Who","What","were, is, be, been, are, was, will, shall","were","you, your, yours","you","saying, said, say, says, sayest, sayed, sayling, saies","saying","","?","","","","","","","","","",""
"15","47","Чего вы ожидали?","What were you expecting?","What, Where, When, Why, Who","What","were, is, be, been, are, was, will, shall","were","you, your, yours","you","expecting, expect, expected, expects","expecting","","?","","","","","","","","","",""
"16","47","Что он делал?","What was he doing?","What, Where, When, Why, Who","What","was, is, be, been, are, were, will, shall","was","he, him, his, it, its","he","doing, do, does, did, done","doing","","?","","","","","","","","","",""
"17","47","Что она думала?","What was she thinking?","What, Where, When, Why, Who","What","was, is, be, been, are, were, will, shall","was","she, her, hers","she","thinking, think, thought, thinks, thinkest, thinked, thinks'","thinking","","?","","","","","","","","","",""
"18","47","Что я делал?","What was I doing?","What, Where, When, Why, Who","What","was, is, be, been, are, were, will, shall","was","I, me, my, mine","I","doing, do, does, did, done","doing","","?","","","","","","","","","",""
"19","47","Что она скрывала?","What was she hiding?","What, Where, When, Why, Who","What","was, is, be, been, are, were, will, shall","was","she, her, hers","she","hiding, hid, hidden, hide, hides, hidest, hided, hideing","hiding","","?","","","","","","","","","",""
"20","47","Что они ели?","What were they eating?","What, Where, When, Why, Who","What","were, is, be, been, are, was, will, shall","were","they, them, their, theirs","they","eating, ate, eat, eaten, eats, eatest, eated, eatting","eating","","?","","","","","","","","","",""
"21","47","Кому он звонил?","Who was he calling?","Who, Where, When, Why, What","Who","was, is, be, been, are, were, will, shall","was","he, him, his, it, its","he","calling, call, called, calls, callest, callled","calling","","?","","","","","","","","","",""
"22","47","Что вы праздновали?","What were you celebrating?","What, Where, When, Why, Who","What","were, is, be, been, are, was, will, shall","were","you, your, yours","you","celebrating, celebrate, celebrated, celebrates","celebrating","","?","","","","","","","","","",""
"23","47","Что вы ели?","What were you eating?","What, Where, When, Why, Who","What","were, is, be, been, are, was, will, shall","were","you, your, yours","you","eating, ate, eat, eaten, eats, eatest, eated, eatting","eating","","?","","","","","","","","","",""
"24","47","Что он носил?","What was he wearing?","What, Where, When, Why, Who","What","was, is, be, been, are, were, will, shall","was","he, him, his, it, its","he","wearing, wear, wore, worn, wears, worne, weared, weard","wearing","","?","","","","","","","","","",""
"25","47","Кого она ожидала?","Who was she expecting?","Who, Where, When, Why, What","Who","was, is, be, been, are, were, will, shall","was","she, her, hers","she","expecting, expect, expected, expects","expecting","","?","","","","","","","","","",""
"26","47","Что вы смотрели?","What were you watching?","What, Where, When, Why, Who","What","were, is, be, been, are, was, will, shall","were","you, your, yours","you","watching, watch, watches, watched, watchs, watches'","watching","","?","","","","","","","","","",""
"27","47","Кого вы ожидали?","Who were you expecting?","Who, Where, When, Why, What","Who","were, is, be, been, are, was, will, shall","were","you, your, yours","you","expecting, expect, expected, expects","expecting","","?","","","","","","","","","",""
"28","47","Что мы говорили?","What were we saying?","What, Where, When, Why, Who","What","were, is, be, been, are, was, will, shall","were","we, our, us, ours","we","saying, said, say, says, sayest, sayed, sayling, saies","saying","","?","","","","","","","","","",""
"29","47","Кого он целовал?","Who was he kissing?","Who, Where, When, Why, What","Who","was, is, be, been, are, were, will, shall","was","he, him, his, it, its","he","kissing, kiss, kissed, kisses, kisses'","kissing","","?","","","","","","","","","",""
