ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","161","Это твой муж.","This is your husband.","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","your, you, yours","your","husband, husbands, husbanding, husbanded","husband","",".","","","","","","","","","",""
"2","161","То его идея.","That's his idea.","That's, There's, There're, Here's, That'll","That's","his, he, him, it, its","his","idea, idealist, idealism, idealize, idealistic, ideally, ideal","idea","",".","","","","","","","","","","","",""
"3","161","Вот наш дом.","That is our home.","That, Those, Thats, That led","That","is, be, been, are, was, were, will, shall","is","our, we, us, ours","our","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","","","",""
"4","161","Это мой проект.","This is my project!","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","my, i, me, mine","my","project, projecting, projects, projected","project","","!","","","","","","","","","",""
"5","161","Это наш билет.","This is our ticket.","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","our, we, us, ours","our","ticket, tickets, ticketed, ticketing, tickets'","ticket","",".","","","","","","","","","",""
"6","161","Это ваш отец!","This is your father!","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","your, you, yours","your","father, fathers, fathered, fathering","father","","!","","","","","","","","","",""
"7","161","Это наш большой день.","This is our big day.","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","our, we, us, ours","our","big, biggest, bigger, bigs, bigging, bigest","big","day, days, daid, daies, daybed, daybest, daying, dayta","day","",".","","","","","","","",""
"8","161","Это их задача.","This is their task.","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","their, they, them, theirs","their","task, tasks, tasked, tasking, task'd, tasks'","task","",".","","","","","","","","","",""
"9","161","Вот мой дом.","That's my house.","That's, There's, There're, Here's, That'll","That's","my, i, me, mine","my","house, housing, houses, housed, hous'd","house","",".","","","","","","","","","","","",""
"10","161","Вот его план.","That's his plan.","That's, There's, There're, Here's, That'll","That's","his, he, him, it, its","his","plan, planned, plans, planning","plan","",".","","","","","","","","","","","",""
"11","161","Это ваш дом!","This is your home!","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","your, you, yours","your","home, homer, homing, homes, homed, homebed","home","","!","","","","","","","","","",""
"12","161","Это моя домашняя работа.","This is my homework.","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","my, i, me, mine","my","homework, homeworks, homeworking","homework","",".","","","","","","","","","",""
"13","161","Это его план.","This is his plan.","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","his, he, him, it, its","his","plan, planned, plans, planning","plan","",".","","","","","","","","","",""
"14","161","Это его работа.","This is his work.","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","his, he, him, it, its","his","work, working, works, wrought, worked, workest","work","",".","","","","","","","","","",""
"15","161","Вот наша музыка.","That's our music.","That's, There's, There're, Here's, That'll","That's","our, we, us, ours","our","music, musics, musicer, musics'","music","",".","","","","","","","","","","","",""
"16","161","Это мой экзамен.","This is my exam.","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","my, i, me, mine","my","exam, exams, examing, examed, exammed","exam","",".","","","","","","","","","",""
"17","161","Вот мой дедушка.","That is my grandfather.","That, Those, Thats, That led","That","is, be, been, are, was, were, will, shall","is","my, i, me, mine","my","grandfather, grandfathers, grandfathering, grandfathered","grandfather","",".","","","","","","","","","",""
"18","161","Это моя территория.","This is my place!","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","my, i, me, mine","my","place, places, placed, placing","place","","!","","","","","","","","","",""
"19","161","Вот наше правило.","That's our rule.","That's, There's, There're, Here's, That'll","That's","our, we, us, ours","our","rule, ruling, ruled, rules, ruleta","rule","",".","","","","","","","","","","","",""
"20","161","Это твой год.","This is your year.","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","your, you, yours","your","year, years, yeard, yeared, yearing","year","",".","","","","","","","","","",""
