,eng_word,l1,l1_context,l2,l2_context
0,necessary,mal nécessaire,necessary | ,необходимые,"necessary | required | needed | essential | appropriate | desired | Continue specifying points to draft the run as necessary. | Make the necessary changes to the display of the part. | Follow the standard installation steps as necessary. | All necessary attribute definitions are automatically placed. | The customer imports the package and installs the necessary certificates. | Check any related items, and perform the necessary procedures. | Includes all necessary mounting for quick installation. | Are you entering all the necessary data? | Create the tasks necessary to implement the change request. | Click edit and make any necessary changes. | Change the sheet properties as necessary. | Choose another file containing all of the necessary data. | Over time, gathered the necessary human potential and knowledge. | Necessary tools of the trade. | Use this time to make necessary changes! | "
1,necessary,mal nécessaire,necessary | ,нужно,"need | should | want | needs | must | needed | gotta | necessary | Therefore it is necessary to analyse our mistakes. | It is to me necessary to think about it. | If necessary, rename the constructs. | If necessary, we can also assemble it. | It is not necessary to activate them. | I knew, it is necessary to look after you. | Why is it necessary to have my clock movement cleaned? | Create the source dataset if necessary. | They are all used when necessary. | It is not necessary to create query. | I will do whatever is necessary. | There are no additional steps necessary. | Is it necessary to meet colleagues coming from other cities? | And very necessary was this. | This is necessary to prevent damage of teeth. | "
2,necessary,mal nécessaire,necessary | ,требуется,"required | needed | need | takes | necessary | want | This is an informational message, no action necessary. | At times it is necessary to manually add contacts. | User response is not necessary. | Edit the parameters as necessary. | This is only necessary for testing. | No conversion is necessary. | Edit the sketch line as necessary. | An example is necessary to clarify this point. | In that case, no further action is necessary. | No configuration of either solution is necessary. | When using the file, and are not necessary. | No upgrade is necessary at this time. | In that case, no change is necessary. | Modify the categories and filter rules, as necessary. | Normally not necessary to change light intensity. | "
3,necessary,mal nécessaire,necessary | ,надо,should | necessary | Nothing is necessary to me. | So what you did was necessary. | Also it is necessary to understand that it means. | You are not told in advance where necessary. | After such bath is necessary to have rest. | I you later way to transfer necessary! | It is necessary to say three times. | The doctor said it is necessary. | Is it necessary to buy workbooks? | Only it is not necessary to swear! | He would have written everything that was necessary. | It is necessary to hold an inquiry on the spot. | It is necessary anymore to know about him. | Although he can be very strict when it's necessary. | I said it's not necessary. | 
4,necessary,si nécessaire,"if necessary | necessary | If necessary, we’ll take her to the hospital. | ",обязательно,"necessarily | will definitely | necessary | required | sure | definitely | make sure | Was it absolutely necessary for you to tell my boss? | And it isn't at all necessary. | It is not necessary to be vulgar. | Is it necessary to read every label? | Rebooting is not necessary. | Is this really necessary? | Written consent is not necessary. | I understand that, but it's not necessary. | It is not necessary to make a deposit to register. | Is that absolutely necessary? | It is not necessary to hold down the mouse button. | Is this really necessary? | Is the owner's presence necessary for license renewal? | Is that really necessary? | Are you sure this is even necessary? | "
5,necessary,si nécessaire,"if necessary | necessary | If necessary, we’ll take her to the hospital. | ",необходимые,"necessary | required | needed | essential | appropriate | desired | Continue specifying points to draft the run as necessary. | Make the necessary changes to the display of the part. | Follow the standard installation steps as necessary. | All necessary attribute definitions are automatically placed. | The customer imports the package and installs the necessary certificates. | Check any related items, and perform the necessary procedures. | Includes all necessary mounting for quick installation. | Are you entering all the necessary data? | Create the tasks necessary to implement the change request. | Click edit and make any necessary changes. | Change the sheet properties as necessary. | Choose another file containing all of the necessary data. | Over time, gathered the necessary human potential and knowledge. | Necessary tools of the trade. | Use this time to make necessary changes! | "
6,necessary,nécessaire,"necessary | writing case | The Army needs men who are willing to fight, when necessary. | It is not necessary to explain everything. | Is it necessary for everyone to be there? | We gathered the necessary supplies. | It is necessary to examine this assertion. | Are we teaching students the necessary skills? | If necessary, the airship can stay up there for days. | They granted the necessary planning permission. | The colours necessary for perfect Camouflage. | I don’t want to stay longer than necessary. | ",необходимые,"necessary | required | needed | essential | appropriate | desired | Continue specifying points to draft the run as necessary. | Make the necessary changes to the display of the part. | Follow the standard installation steps as necessary. | All necessary attribute definitions are automatically placed. | The customer imports the package and installs the necessary certificates. | Check any related items, and perform the necessary procedures. | Includes all necessary mounting for quick installation. | Are you entering all the necessary data? | Create the tasks necessary to implement the change request. | Click edit and make any necessary changes. | Change the sheet properties as necessary. | Choose another file containing all of the necessary data. | Over time, gathered the necessary human potential and knowledge. | Necessary tools of the trade. | Use this time to make necessary changes! | "
7,necessary,inévitable,necessary | inevitable | unavoidable | inescapable | Suffering is a necessary part of the human experience. | ,необходимые,"necessary | required | needed | essential | appropriate | desired | Continue specifying points to draft the run as necessary. | Make the necessary changes to the display of the part. | Follow the standard installation steps as necessary. | All necessary attribute definitions are automatically placed. | The customer imports the package and installs the necessary certificates. | Check any related items, and perform the necessary procedures. | Includes all necessary mounting for quick installation. | Are you entering all the necessary data? | Create the tasks necessary to implement the change request. | Click edit and make any necessary changes. | Change the sheet properties as necessary. | Choose another file containing all of the necessary data. | Over time, gathered the necessary human potential and knowledge. | Necessary tools of the trade. | Use this time to make necessary changes! | "
8,go,être permis,go | ,пойти,"go | come | Well you can't just go visit him. | I can not go. | Can we go home now? | You should go after her. | I can go now. | Can we go home now? | I think we should go here first. | I should go out there. | We should go upstairs, we shouldn't do this. | I suggest you go home and get some rest. | We can go to a hotel and clean up. | Go and see him, no? | We could go to a hotel. | So we can go any way you want us. | Do you know somewhere we could go? | "
9,go,être permis,go | ,перейти,go | move | jump | switch | navigate | proceed | skip | Go to the quests in your city? | Go to their website and see for yourself. | Destroy their car and go to the next level. | Go eliminate all enemies and save your tree. | Go to your profile. | Go to previous step. | Go to the page activities. | Go to previous page in your browsing history. | Go to previous section. | You must go to another abbey as soon as possible. | So we can go on to treatment nine. | Save changes and go to the next task. | Go to a chat with a contact. | Go to the control panel. | Save changes and go to previous task. | 
