ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","91","Здесь есть хороший рассказ.","There's a good story here.","There's, There're, Here's, That'll, That's","There's","a, an","a","good, best, better, goods, gooding, goodest","good","story, stories, storys, storying","story","here, heres, hering, hered","here","",".","","","","","","","",""
"2","91","На небе тёмные тучи.","There are dark clouds in the sky.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","dark, darker, darkest, darking, darks","dark","clouds, cloud, clouded, clouding","clouds","in, on, at, since, for, ago, before, to","in","the, then, though","the","sky, skies, skied, skys, skying, skyed","sky","",".","","","",""
"3","91","В больнице семь этажей.","There are seven floors in the hospital.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","seven, sevens, sevens'","seven","floors, floor, floorer, flooring, floored, floors'","floors","in, on, at, since, for, ago, before, to","in","the, then, though","the","hospital, hospitable, hospitality","hospital","",".","","","",""
"4","91","В квартире есть другие люди.","There are other people in the apartment.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","other, others, otheri","other","people, peoples, peopled, peopling","people","in, on, at, since, for, ago, before, to","in","the, then, though","the","apartment, apartments, apart","apartment","",".","","","",""
"5","91","В комнате много ламп.","There are many lamps in the room.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","many, more, most, manys, manier, manies","many","lamps, lamp, lamping, lamped, lampin'","lamps","in, on, at, since, for, ago, before, to","in","the, then, though","the","room, rooms, roomed, rooming, roomin'","room","",".","","","",""
"6","91","В книге есть много изображений.","There are many pictures in the book.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","many, more, most, manys, manier, manies","many","pictures, picture, pictured, picturing","pictures","in, on, at, since, for, ago, before, to","in","the, then, though","the","book, booked, booking, booker, books","book","",".","","","",""
"7","91","В лесу есть большие животные.","There are big animals in the forest.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","big, biggest, bigger, bigs, bigging, bigest","big","animals, animatedly, animation, animate, animal","animals","in, on, at, since, for, ago, before, to","in","the, then, though","the","forest, forests, forested, foresting","forest","",".","","","",""
"8","91","В мире много секретов.","There are many secrets in the world.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","many, more, most, manys, manier, manies","many","secrets, secret, secreter","secrets","in, on, at, since, for, ago, before, to","in","the, then, though","the","world, worlds, worlded, worlder","world","",".","","","",""
"9","91","В каждой комнате бесплатные напитки.","There are free drinks in every room.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","free, freed, frees, freer, freeing, freest, freeger","free","drinks, drank, drink, drunk, drinking, drinked, drinkest","drinks","in, on, at, since, for, ago, before, to","in","every, everybody's, everyone's, everything's, everytime, everyday, everywhere, everybody","every","room, rooms, roomed, rooming, roomin'","room","",".","","","",""
"10","91","В  этом городе много высоких зданий.","There are many tall buildings in this city.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","many, more, most, manys, manier, manies","many","tall, taller, tallest, talls","tall","buildings, builder, buildup, building, build","buildings","in, on, at, since, for, ago, before, to","in","this, it'll, it's, its","this","city, cities, citys, citier","city","",".","",""
"11","91","На столе несколько книг.","There are several books on the table.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","several, severals, severall, several's","several","books, book, booked, booking, booker","books","on, in, at, since, for, ago, before, to","on","the, then, though","the","table, tables, tabled, tabling, tabler","table","",".","","","",""
"12","91","В том районе много деревень.","There are many villages in that area.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","many, more, most, manys, manier, manies","many","villages, villainy, villainous, villager, villa, villain, village","villages","in, on, at, since, for, ago, before, to","in","that, those, thats, that led","that","area, areas","area","",".","","","",""
"13","91","В саду много детей.","There are many children in the garden.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","many, more, most, manys, manier, manies","many","children, child, childs, childer, chilt","children","in, on, at, since, for, ago, before, to","in","the, then, though","the","garden, gardens, gardened, garden bed","garden","",".","","","",""
"14","91","На ферме много животных.","There are many animals on the farm.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","many, more, most, manys, manier, manies","many","animals, animatedly, animation, animate, animal","animals","on, in, at, since, for, ago, before, to","on","the, then, though","the","farm, farming, farms, farmed","farm","",".","","","",""
"15","91","В вазе прекрасные цветы.","There are lovely flowers in the vase.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","lovely, loveliest, lovelier, lovelies, lovelys, lovelyest, lovely's","lovely","flowers, flower, flowered, flowering, flower bed, flowerest","flowers","in, on, at, since, for, ago, before, to","in","the, then, though","the","vase, vases, vases'","vase","",".","","","",""
"16","91","На детской площадке много детей.","There are many children on the playground.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","many, more, most, manys, manier, manies","many","children, child, childs, childer, chilt","children","on, in, at, since, for, ago, before, to","on","the, then, though","the","playground, played, plays, playfulness, playing, playstation, playin, playroom","playground","",".","","","",""
"17","91","Здесь есть две проблемы.","There are two problems here.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","two, second, twice, couple, duet","two","problems, problematic, problem","problems","here, heres, hering, hered","here","",".","","","","","","","",""
"18","91","Здесь пять языков.","There are five languages here.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","five, fives, fived, fiving, fiveing","five","languages, language, languaging","languages","here, heres, hering, hered","here","",".","","","","","","","",""
"19","91","Наверху есть четыре спальни.","There are four bedrooms upstairs.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","four, fours, foured","four","bedrooms, bedroom, bedroomed","bedrooms","upstairs, upstanding, upstart, upstate","upstairs","",".","","","","","","","",""
"20","91","Здесь есть две опасности.","There are two dangers here.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","two, second, twice, couple, duet","two","dangers, danger, dangered, dangers'","dangers","here, heres, hering, hered","here","",".","","","","","","","",""
"21","91","Здесь есть две возможности.","There are two possibilities here.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","two, second, twice, couple, duet","two","possibilities, possibility, possibly, possible","possibilities","here, heres, hering, hered","here","",".","","","","","","","",""
"22","91","Здесь два списка.","There are two lists here.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","two, second, twice, couple, duet","two","lists, list, listed, listing, listtest, listin'","lists","here, heres, hering, hered","here","",".","","","","","","","",""
"23","91","Есть другие типы работ.","There are other kinds of jobs.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","other, others, otheri","other","kinds, kind, kinder, kindest, kinded, kinds'","kinds","of, from, by, on, in, off, out of, at","of","jobs, job, jobber, jobbing, jobbed","jobs","",".","","","","","",""
"24","91","Есть несколько видов уроков.","There are several kinds of classes.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","several, severals, severall, several's","several","kinds, kind, kinder, kindest, kinded, kinds'","kinds","of, from, by, on, in, off, out of, at","of","classes, class, classed, classing, classer","classes","",".","","","","","",""
"25","91","Есть много типов компьютеров.","There are many types of computers.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","many, more, most, manys, manier, manies","many","types, type, typing, typed, typer","types","of, from, by, on, in, off, out of, at","of","computers, computerize, compute, computer","computers","",".","","","","","",""
"26","91","Есть различные типы договоров.","There are various types of contracts.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","various, varied, variously, variability, variance, variant, variation, variety","various","types, type, typing, typed, typer","types","of, from, by, on, in, off, out of, at","of","contracts, contract, contracted, contracting","contracts","",".","","","","","",""
"27","91","Есть много видов тестов.","There are many kinds of tests.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","many, more, most, manys, manier, manies","many","kinds, kind, kinder, kindest, kinded, kinds'","kinds","of, from, by, on, in, off, out of, at","of","tests, test, testing, tested, testbed, testtest, test bed","tests","",".","","","","","",""
"28","91","Есть много типов звёзд.","There are many kinds of stars.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","many, more, most, manys, manier, manies","many","kinds, kind, kinder, kindest, kinded, kinds'","kinds","of, from, by, on, in, off, out of, at","of","stars, star, starred, starring, starer, starrer","stars","",".","","","","","",""
"29","91","Есть много типов книг.","There are many kinds of books.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","many, more, most, manys, manier, manies","many","kinds, kind, kinder, kindest, kinded, kinds'","kinds","of, from, by, on, in, off, out of, at","of","books, book, booked, booking, booker","books","",".","","","","","",""
"30","91","Есть разные виды экзаменов.","There are different kinds of exams.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","different, differentiation, differential, differentiate, differently","different","kinds, kind, kinder, kindest, kinded, kinds'","kinds","of, from, by, on, in, off, out of, at","of","exams, exam, examing, examed, exammed","exams","",".","","","","","",""
"31","91","Во всех семьях есть секреты.","There are secrets in all families.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","secrets, secret, secreter","secrets","in, on, at, since, for, ago, before, to","in","all, allbest, alls'","all","families, family, familys, familier","families","",".","","","","","",""
"32","91","В этих лесах есть волки.","There are wolves in these woods.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","wolves, wolf, wolfed, wolfing, wolfs","wolves","in, on, at, since, for, ago, before, to","in","these, thesis","these","woods, wood, wooded, wooding, wooder","woods","",".","","","","","",""
"33","91","В саду пять человек.","There are five people in the garden.","There, Theres, Thered, Thering","There","are, is, be, been, was, were, will, shall","are","five, fives, fived, fiving, fiveing","five","people, peoples, peopled, peopling","people","in, on, at, since, for, ago, before, to","in","the, then, though","the","garden, gardens, gardened, garden bed","garden","",".","","","",""
