ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","78","Какой хороший учитель.","What a good teacher.","What, Where, When, Why, Who","What","a, an","a","good, best, better, goods, gooding, goodest","good","teacher, teaching, teach","teacher","",".","","","","","","","","","",""
"2","78","Какой хороший парень!","What a good guy!","What, Where, When, Why, Who","What","a, an","a","good, best, better, goods, gooding, goodest","good","guy, guys, guyed, guying, guier, guies, guied","guy","","!","","","","","","","","","",""
"3","78","Какая большая комната!","What a big room!","What, Where, When, Why, Who","What","a, an","a","big, biggest, bigger, bigs, bigging, bigest","big","room, rooms, roomed, rooming, roomin'","room","","!","","","","","","","","","",""
"4","78","Какая милая женщина!","What a nice woman!","What, Where, When, Why, Who","What","a, an","a","nice, nicer, nicest, nices","nice","woman, women, womaning, womans, womaned","woman","","!","","","","","","","","","",""
"5","78","Какой фантастический вид.","What a fantastic view.","What, Where, When, Why, Who","What","a, an","a","fantastic, fantastical, fantastically","fantastic","view, views, viewed, viewing, viewest, viewin'","view","",".","","","","","","","","","",""
"6","78","Какое красивое платье!","What a beautiful dress!","What, Where, When, Why, Who","What","a, an","a","beautiful, beautifulest, beautifuls","beautiful","dress, dresser, dressing, dressed, dresses, dresses'","dress","","!","","","","","","","","","",""
"7","78","У меня есть билет.","I've got a ticket.","I've, I'd, I'll, I'm","I've","got, get, gotten, getting, gets, gettest, geted, gets'","got","a, an","a","ticket, tickets, ticketed, ticketing, tickets'","ticket","",".","","","","","","","","","",""
"8","78","У меня есть собака.","I've got a dog.","I've, I'd, I'll, I'm","I've","got, get, gotten, getting, gets, gettest, geted, gets'","got","a, an","a","dog, dogged, dogs, dogging, dogbed","dog","",".","","","","","","","","","",""
"9","78","У меня есть идея!","I've got an idea!","I've, I'd, I'll, I'm","I've","got, get, gotten, getting, gets, gettest, geted, gets'","got","an, a","an","idea, idealist, idealism, idealize, idealistic, ideally, ideal","idea","","!","","","","","","","","","",""
"10","78","У меня есть комната.","I've got a room.","I've, I'd, I'll, I'm","I've","got, get, gotten, getting, gets, gettest, geted, gets'","got","a, an","a","room, rooms, roomed, rooming, roomin'","room","",".","","","","","","","","","",""
"11","78","У меня есть друг!","I've got a friend!","I've, I'd, I'll, I'm","I've","got, get, gotten, getting, gets, gettest, geted, gets'","got","a, an","a","friend, friends, friending, friended","friend","","!","","","","","","","","","",""
"12","78","У меня есть семья.","I've got a family.","I've, I'd, I'll, I'm","I've","got, get, gotten, getting, gets, gettest, geted, gets'","got","a, an","a","family, families, familys, familier","family","",".","","","","","","","","","",""
"13","78","У меня есть работа.","I've got a job.","I've, I'd, I'll, I'm","I've","got, get, gotten, getting, gets, gettest, geted, gets'","got","a, an","a","job, jobber, jobbing, jobs, jobbed","job","",".","","","","","","","","","",""
"14","78","У нас есть проблема.","We've got a problem.","We've, We'd, We'll, We're","We've","got, get, gotten, getting, gets, gettest, geted, gets'","got","a, an","a","problem, problems, problematic","problem","",".","","","","","","","","","",""
"15","78","У меня есть компьютер.","I've got a computer.","I've, I'd, I'll, I'm","I've","got, get, gotten, getting, gets, gettest, geted, gets'","got","a, an","a","computer, computerize, compute","computer","",".","","","","","","","","","",""
"16","78","У меня есть вопрос.","I've got a question.","I've, I'd, I'll, I'm","I've","got, get, gotten, getting, gets, gettest, geted, gets'","got","a, an","a","question, questioning, questions, questioned, questionning","question","",".","","","","","","","","","",""
"17","78","У меня есть работа!","I've got a job!","I've, I'd, I'll, I'm","I've","got, get, gotten, getting, gets, gettest, geted, gets'","got","a, an","a","job, jobber, jobbing, jobs, jobbed","job","","!","","","","","","","","","",""
"18","78","Я не ученик.","I am not a pupil.","I, me, my, mine","I","am, are, be, been, being, is, was, were","am","not, no, none, neither, nore, nope","not","a, an","a","pupil, pupils","pupil","",".","","","","","","","",""
"19","78","Мы не семья.","We're not a family.","We're, We'd, We'll, We've","We're","not, no, none, neither, nore, nope","not","a, an","a","family, families, familys, familier","family","",".","","","","","","","","","",""
"20","78","Ты не ребёнок.","You are not a child.","You, Your, Yours","You","are, is, be, been, was, were, will, shall","are","not, no, none, neither, nore, nope","not","a, an","a","child, children, childs, childer, chilt","child","",".","","","","","","","",""
"21","78","Я не повар.","I'm not a cook.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","a, an","a","cook, cooked, cooking, cooks","cook","",".","","","","","","","","","",""
"22","78","Он был замечательным пилотом.","He was a great pilot.","He, Him, His, It, Its","He","was, is, be, been, are, were, will, shall","was","a, an","a","great, greater, greats, greatest, greated, greating, greatter, greats'","great","pilot, pilots, piloted, piloting, pilot'd","pilot","",".","","","","","","","",""
"23","78","Я не писатель.","I'm not a writer.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","a, an","a","writer, writers, writeri","writer","",".","","","","","","","","","",""
"24","78","Мы не команда.","We are not a team.","We, Our, Us, Ours","We","are, is, be, been, was, were, will, shall","are","not, no, none, neither, nore, nope","not","a, an","a","team, teams, teaming, teamed, teamin', team'd","team","",".","","","","","","","",""
"25","78","Я не пассажир!","I am not a passenger!","I, me, my, mine","I","am, are, be, been, being, is, was, were","am","not, no, none, neither, nore, nope","not","a, an","a","passenger, passes, passengers, passed, passerby, passer","passenger","","!","","","","","","","",""
"26","78","У меня был ужасный день.","I had a terrible day.","I, me, my, mine","I","had, has, have, having, haves, haveta, haveing, have led","had","a, an","a","terrible, terribles, terribler, terribled","terrible","day, days, daid, daies, daybed, daybest, daying, dayta","day","",".","","","","","","","",""
"27","78","Он был великим писателем.","He was a great writer","He, Him, His, It, Its","He","was, is, be, been, are, were, will, shall","was","a, an","a","great, greater, greats, greatest, greated, greating, greatter, greats'","great","writer, writers, writeri","writer","","","","","","","","","",""
