,English text,en_fr_yandex_tr,fr_en_yandex_tr,correct_translation
0,I like wine.,J'aime le vin.,I like wine.,True
2,I like winter.,J'aime l'hiver.,I like winter.,True
4,You know everything.,Vous savez tout.,You know everything.,True
6,They know everything.,Ils savent tout.,They know everything.,True
7,We need time.,Nous avons besoin de temps.,We need time.,True
9,I like football.,J'aime le football.,I like football.,True
12,I need time,J'ai besoin de temps,I need time,True
14,I like reading.,J'aime la lecture.,I like reading.,True
16,We share everything.,Nous partageons tout.,We share everything.,True
17,You need money.,Vous avez besoin d'argent.,You need money.,True
18,I hear everything.,J'entends tout.,I hear everything.,True
19,I like money.,J'aime l'argent.,I like money.,True
20,I like baseball.,J'aime le baseball.,I like baseball.,True
26,We know everything.,Nous savons tout.,We know everything.,True
27,We have nothing!,Nous n'avons rien!,We have nothing!,True
28,I hate football.,Je déteste le football.,I hate football.,True
30,They drink coffee.,Ils boivent du café.,They drink coffee.,True
31,You do everything.,Vous faites tout.,You do everything.,True
34,You need water.,Vous avez besoin d'eau.,You need water.,True
35,I hate biology.,Je déteste la biologie.,I hate biology.,True
36,I know his songs.,Je connais ses chansons.,I know his songs.,True
37,I know her well.,Je la connais bien.,I know her well.,True
38,I need your advice.,J'ai besoin de vos conseils.,I need your advice.,True
39,I like his book.,J'aime son livre.,I like his book.,True
40,I know my sister.,Je sais que ma sœur.,I know my sister.,True
41,I know his name.,Je sais son nom.,I know his name.,True
43,I need his help.,J'ai besoin de son aide.,I need his help.,True
44,I need your phone.,J'ai besoin de votre téléphone.,I need your phone.,True
45,I like your hat.,J'aime votre chapeau.,I like your hat.,True
46,I love my mother.,J'aime ma mère.,I love my mother.,True
47,You need my help.,Vous avez besoin de mon aide.,You need my help.,True
48,We need your help.,Nous avons besoin de votre aide.,We need your help.,True
50,I need your brother.,J'ai besoin de votre frère.,I need your brother.,True
51,You know my name.,Vous savez mon nom.,You know my name.,True
52,I see your face.,Je vois votre visage.,I see your face.,True
54,I like your shirt.,J'aime ta chemise.,I like your shirt.,True
55,I like your style,J'aime votre style,I like your style,True
56,I like your hair.,J'aime vos cheveux.,I like your hair.,True
57,I read your text.,J'ai lu votre texte.,I read your text.,True
58,You have my number.,Vous avez mon numéro.,You have my number.,True
59,I have your order.,J'ai votre commande.,I have your order.,True
60,I miss my wife.,Je m'ennuie de ma femme.,I miss my wife.,True
61,I need your pencil.,J'ai besoin de votre crayon.,I need your pencil.,True
62,We thank you for your help.,Nous vous remercions pour votre aide.,We thank you for your help.,True
64,I love my son!,J'aime mon fils!,I love my son!,True
65,I love her smile.,J'adore son sourire.,I love her smile.,True
66,I like your work.,J'aime votre travail.,I like your work.,True
67,I need your signature.,J'ai besoin de votre signature.,I need your signature.,True
68,I love his music.,J'adore sa musique.,I love his music.,True
69,I see your face.,Je vois votre visage.,I see your face.,True
