ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","62","Мы будем сидеть за столом.","We'll be sitting at a table","We'll, We'd, We're, We've","We'll","be, is, been, are, was, were, will, shall","be","sitting, sat, sit, sits, sitted, sittest, sit's, sits'","sitting","at, on, in, since, for, ago, before, to","at","a, an","a","table, tables, tabled, tabling, tabler","table","","","","","","","",""
"2","62","Я приеду через час.","I'll be arriving in an hour.","I'll, I'd, I'm, I've","I'll","be, is, been, are, was, were, will, shall","be","arriving, arrive, arrived, arrives, arriven","arriving","in, on, at, since, for, ago, before, to","in","an, a","an","hour, hours, hourglass, hourly","hour","",".","","","","","",""
"3","62","Я буду ждать в машине.","I will be waiting in the car.","I, me, my, mine","I","will, is, be, been, are, was, were, shall","will","be, is, been, are, was, were, will, shall","be","waiting, wait, waited, waits, waitting","waiting","in, on, at, since, for, ago, before, to","in","the, then, though","the","car, carer, cars, carring, carred","car","",".","","","",""
"4","62","Я буду ждать звонка.","I'll be waiting for a call.","I'll, I'd, I'm, I've","I'll","be, is, been, are, was, were, will, shall","be","waiting, wait, waited, waits, waitting","waiting","for, on, in, at, since, ago, before, to","for","a, an","a","call, calling, called, calls, callest, callled","call","",".","","","","","",""
"5","62","Мы уезжаем утром.","We'll be leaving in the morning.","We'll, We'd, We're, We've","We'll","be, is, been, are, was, were, will, shall","be","leaving, leave, leaves, left, leavest, loven, leav'd","leaving","in, on, at, since, for, ago, before, to","in","the, then, though","the","morning, mornin, morn","morning","",".","","","","","",""
"6","62","Я буду работать в городе.","I'll be working in the city.","I'll, I'd, I'm, I've","I'll","be, is, been, are, was, were, will, shall","be","working, work, works, wrought, worked, workest","working","in, on, at, since, for, ago, before, to","in","the, then, though","the","city, cities, citys, citier","city","",".","","","","","",""
"7","62","Мы будем плавать в море.","We'll be swimming in the sea","We'll, We'd, We're, We've","We'll","be, is, been, are, was, were, will, shall","be","swimming, swam, swim, swum, swims, swiming, swimmed, swimed","swimming","in, on, at, since, for, ago, before, to","in","the, then, though","the","sea, seas, seae, sea bed","sea","","","","","","","",""
"8","62","Вы будете спать на полу.","You'll be sleeping on the floor.","You'll, You'd, You're, You've","You'll","be, is, been, are, was, were, will, shall","be","sleeping, sleep, slept, sleeps, sleepest, sleeped, sleepping, sleepped","sleeping","on, in, at, since, for, ago, before, to","on","the, then, though","the","floor, floorer, flooring, floors, floored, floors'","floor","",".","","","","","",""
"9","62","Он будет ждать ответа.","He'll be waiting for a response.","He'll, He'd, He's, He're","He'll","be, is, been, are, was, were, will, shall","be","waiting, wait, waited, waits, waitting","waiting","for, on, in, at, since, ago, before, to","for","a, an","a","response, responsibly, responsive, responsible, responsibility","response","",".","","","","","",""
"10","62","Я начну осенью.","I'll be starting in the fall.","I'll, I'd, I'm, I've","I'll","be, is, been, are, was, were, will, shall","be","starting, start, started, starts, startted, starttest, start'd","starting","in, on, at, since, for, ago, before, to","in","the, then, though","the","fall, fallen, falling, fell, falls, fallest, fallling","fall","",".","","","","","",""
"11","62","Он будет гулять по этому городу.","He'll be walking around this town","He'll, He'd, He's, He're","He'll","be, is, been, are, was, were, will, shall","be","walking, walk, walked, walks, walkest","walking","around, aroused, aroun, arousal, arouse","around","this, it'll, it's, its","this","town, towns, towner","town","","","","","","","",""
"12","62","Мы будем обедать на террасе.","We'll be dining on the terrace.","We'll, We'd, We're, We've","We'll","be, is, been, are, was, were, will, shall","be","dining, din, dinned, dinning, dins","dining","on, in, at, since, for, ago, before, to","on","the, then, though","the","terrace, terraced, terracing, terraces","terrace","",".","","","","","",""
"13","62","Я уезжаю через час.","I'll be leaving in an hour.","I'll, I'd, I'm, I've","I'll","be, is, been, are, was, were, will, shall","be","leaving, leave, leaves, left, leavest, loven, leav'd","leaving","in, on, at, since, for, ago, before, to","in","an, a","an","hour, hours, hourglass, hourly","hour","",".","","","","","",""
"14","62","Она будет читать с тобой.","She'll be reading with you.","She'll, She'd, She's, She're","She'll","be, is, been, are, was, were, will, shall","be","reading, read, reader, reads, readest, readed","reading","with, withing, withim, withs","with","you, your, yours","you","",".","","","","","","","",""
"15","62","Мы будем рассчитывать на вас.","We'll be counting on you.","We'll, We'd, We're, We've","We'll","be, is, been, are, was, were, will, shall","be","counting, count, counted, counts, countest","counting","on, in, at, since, for, ago, before, to","on","you, your, yours","you","",".","","","","","","","",""
"16","62","Я буду ждать вас.","I will be waiting for you.","I, me, my, mine","I","will, is, be, been, are, was, were, shall","will","be, is, been, are, was, were, will, shall","be","waiting, wait, waited, waits, waitting","waiting","for, on, in, at, since, ago, before, to","for","you, your, yours","you","",".","","","","","",""
