,en,ru,fr
0,marvel,восхищаться,admirer
1,marvel,подивиться,no_equality
2,marvel,изумиться,no_equality
3,marvel,чудо,merveille
4,marvel,чудо,miracle
5,marvel,чудо,émerveillement
6,marvel,чудо,prodige
7,marvel,диво,merveille
8,marvel,замечательная вещь,no_equality
9,marvel,удивительный,no_equality
10,carburetor,карбюратор,carburateur
11,carburetor,карбюраторный,no_equality
12,primly,чопорно,no_equality
13,cultivate,культивировать,cultiver
14,cultivate,развивать,no_equality
15,cultivate,обрабатывать,cultiver
16,cultivate,прививать,no_equality
17,cultivate,самосовершенствоваться,no_equality
18,cultivate,разводить,no_equality
19,cultivate,вырабатывать,no_equality
20,cultivate,окультурить,no_equality
21,cultivate,окультуривать,no_equality
22,Petrovitch,Петрович,petrovitch
23,sunroof,люк,toit ouvrant
24,sunroof,крыша с окошком,no_equality
25,disenchant,разочаровывать,no_equality
26,disenchant,расколдовать,désensorceler
27,disenchant,снятие чар,no_equality
28,scaphoid,ладьевидный,no_equality
29,scaphoid,ладьевидная кость,no_equality
30,take away,забирать,enlever
31,take away,забирать,retirer
32,take away,забирать,emporter
33,take away,забирать,reprendre
34,take away,забирать,emmener
35,take away,отобрать,enlever
36,take away,отобрать,retirer
37,take away,отобрать,reprendre
38,take away,отобрать,confisquer
39,take away,увести,emmener
40,take away,уносить,emporter
41,take away,растаскивать,no_equality
42,take away,забрать с собой,no_equality
43,musicology,музыковедение,no_equality
44,musicology,музыковедческий,no_equality
45,recompense,компенсация,compensation
46,recompense,компенсация,dédommagement
47,recompense,награда,no_equality
48,recompense,справедливое возмездие,rétribution
49,recompense,компенсировать,dédommager
50,recompense,компенсировать,compenser
51,recompense,воздавать,no_equality
52,recompense,вознаградить,récompenser
53,remonstrate,протестовать,protester
54,remonstrate,увещевать,no_equality
55,verdigris,медянка,no_equality
56,verdigris,ярь-медянка,no_equality
57,verdigris,патина,no_equality
58,adventurer,авантюрист,aventurier
59,adventurer,авантюристка,aventurier
60,adventurer,приключение,no_equality
61,adventurer,любитель приключений,no_equality
62,adventurer,приключенец,no_equality
63,italic,италийский,no_equality
64,italic,курсивный,no_equality
65,italic,наклонный,no_equality
66,italic,курсивный шрифт,no_equality
67,bungalow,бунгало,bungalow
68,dependence,зависимость,dépendance
69,dependence,зависимость,tributaire
70,dependence,зависимость,dépendant
71,dependence,зависимость,dépend
72,dependence,зависимость,dépendent
73,dependence,зависимость,dépendre
74,dependence,зависимость,sujétion
75,dependence,несамостоятельность,no_equality
76,dependence,подневольность,no_equality
77,dependence,зависимый,no_equality
