,word,local_word,pos,examples,local_examples
0,подчиненный,subordonné,noun,[],[]
1,подчиненный,subalterne,noun,['подчиненное положение'],['position subalterne']
2,подчиненный,assujetti,noun,[],[]
3,подчиненный,sujet,noun,[],[]
4,подчиненный,sous-ordre,noun,[],[]
5,подчиненный,préposé,noun,[],[]
6,подчиненный,soumis,adjective,[],[]
7,точечный,ponctuel,adjective,['точечная нагрузка'],['charge ponctuelle']
8,пожаробезопасность,incendie,noun,[],[]
9,значительно,considérablement,adverb,['значительно уменьшить'],['réduire considérablement']
10,значительно,grandement,adverb,[],[]
11,значительно,significativement,adverb,['значительно более высокий'],['significativement plus élevé']
12,значительно,nettement,adverb,[],[]
13,значительно,fortement,adverb,[],[]
14,значительно,substantiellement,adverb,[],[]
15,значительно,radicalement,adverb,[],[]
16,значительно,sérieusement,adverb,[],[]
17,значительно,autrement,adverb,[],[]
18,значительно,singulièrement,adverb,[],[]
19,значительно,significatif,adjective,['значительно улучшить'],['significative à améliorer']
20,профессионализм,professionnalisme,noun,['рост профессионализма'],['professionnalisme croissant']
21,профессионализм,qualification,noun,[],[]
22,очистить,nettoyer,verb,"['двоеточие очистить', 'очищенный воздух']","['Colon nettoyer', 'air purifié']"
23,очистить,effacer,verb,['очистить кэш'],['effacer le cache']
24,очистить,peler,verb,[],[]
25,очистить,voler,verb,[],[]
26,труба,tuyau,noun,"['диаметр трубы', 'пучок труб', 'установка трубы']","['diamètre du tuyau', 'faisceau de tubes', 'pipe fitting']"
27,труба,trompette,noun,['трубы юбилейных'],['trompettes retentissantes']
28,труба,conduite,noun,[],[]
29,труба,gaine,noun,[],[]
30,труба,trompe,noun,[],[]
31,труба,tube d'usure,noun,[],[]
32,несколько,plusieurs,numeral,[],[]
33,несколько,différents,noun,[],[]
34,несколько,divers,noun,[],[]
35,несколько,quelque,adverb,['играть несколько'],['jouer quelque']
36,несколько,un peu,adverb,[],[]
37,несколько,quelque peu,adverb,[],[]
38,несколько,légèrement,adverb,['несколько иначе'],['façon légèrement différente']
39,несколько,sur les bords,adverb,[],[]
40,невежественный,ignorant,adjective,['невежественные люди'],['gens ignorants']
41,невежественный,profane,adjective,[],[]
42,написанное,écrit,adjective,[],[]
43,завтрак,déjeuner,noun,['континентальные завтраки'],['déjeuners continentaux']
44,завтрак,petit déjeuner,noun,[],[]
45,завтрак,casse-croûte,noun,[],[]
46,быть знакомым,connaître,verb,[],[]
47,быть знакомым,se connaître,verb,[],[]
48,район,quartier,noun,"['берлинский район', 'сельские районы', 'петроградский район', 'сельский район', 'в горные районы', 'районы вены', 'районы мира']","['quartier berlinois', 'secteurs ruraux', 'district petrogradsky', 'zone rurale', 'les régions montagneuses', 'arrondissements de vienne', 'domaines du monde']"
49,район,endroit,noun,[],[]
50,район,voisinage,noun,[],[]
51,район,coin,noun,['районы мюнхена'],['coins de munich']
52,район,rayon,noun,[],[]
53,район,section,noun,[],[]
54,долить,remplir,verb,[],[]
55,долить,ajouter,verb,[],[]
56,пряный,épicé,adjective,['пряный аромат'],['saveur épicée']
57,пряный,épice,adjective,[],[]
58,во,durant,preposition,[],[]
59,одобрять,approuver,verb,['сенат одобряет'],['sénat approuvera']
60,одобрять,cautionner,verb,[],[]
61,одобрять,autoriser,verb,[],[]
62,одобрять,applaudir,verb,[],[]
63,одобрять,agréer,verb,[],[]
64,одобрять,trouver bon,verb,[],[]
65,всполошить,alarmer,verb,[],[]
66,восьмерка,huit,noun,[],[]
67,восьмерка,Eight,noun,[],[]
68,слон,éléphant,noun,['морской слон'],['éléphant de mer']
69,подача,alimentation,noun,['ручная подача'],['alimentation manuelle']
70,подача,dépôt,noun,['дата подачи'],['date de dépôt']
71,подача,débit,noun,['регулировка подачи'],['réglage du débit']
72,подача,avance,noun,[],[]
73,подача,présentation,noun,['подача документов'],['présentation des documents']
74,подача,fourniture,noun,"['подача газа', 'система подачи']","['fourniture de gaz', 'système de distribution']"
75,подача,mouvement d'avance,noun,[],[]
