,word,local_word,pos,examples,local_examples,examples_and_definitions
0,word,слово,NOUN,NOUN,NOUN,"word | floor | words | But i need your word. | You have my word, okay? | Every word that he ever said is a lie. | That is your last word? | Say that word again. | You must have a word in your language that you. | That word is an intellectual word. | You can spell a word that means nothing. | You all gave me your word. | So you take back your word? | You have my word. | I give you my word of honour. | Is that your last word? | I mean, that's not a good word. | You gave your word to me. | "
1,word,microsoft word,NOUN,NOUN,NOUN,"word | Per snapshot image size and placement control within Word | This automates Word, adds a new document with some text ... | Word chooses between three print modes ... | ... location as the previously saved Word document. | ... depending on the version of Word that you use: | ... that it works, and then return to Word. | ... run at the same time as Word. | ... you must lower the macro security in Word. | ... pasting a table in Word, you can perform the following ... | ... :industry model data to Word | ... from your web browser and paste them into Word Online. | "
2,word,текстовый,NOUN,NOUN,NOUN,"text | word | Word processing applications allow students to easily edit and modify ... | ... you cannot make an innovative word processor. | ... spreadsheet without knowing where the word processor originally got it. | ... not being able to find a word processor that can format ... | A word processing application with integrated online services | For example, a word processor might expose its ... | ... develop a nice new innovative word processor, that means ... | ... be exported to other word document formats supported by applications ... | ... light and fast cross platform word processor. | TextEdit Simple yet powerful word processing. | "
3,word,поговорить,NOUN,NOUN,NOUN,"talk | speak | word | chat | I need to have a word with him anyway. | We just want a word. | My lawyer wants a word with you. | If we may break word in private? | Someone wants a word with you. | We need a word with you. | This man wants a word with you. | What do you want to have a word about? | Someone wants a word with you. | He wants a word with you. | A word with my son, please. | We need to have a word with you. | My mother wants a word with you. | I would have you with me to break word. | That he wants to have a word? | "
4,the,в,DET,DET,DET,in | the | The restaurant serves dinner as an open buffet. | This is the first time so. | Guests can also enjoy fruit picking around the large garden. | The shared bathroom comes with rainshower facilities. | Rent a car from the hotel to explore the surroundings. | They can also enjoy the property's gardens. | What is the meaning of this? | You are the man of the house now. | I hit the gym. | You were the last one on the list. | And when was the last time you picked them up? | But that's not the matter. | The apartments feature a kitchen and dining area. | The cellar is the only safe place in the house. | All included with the price. | 
5,and,и,CONJ,CONJ,CONJ,and | High quality models and textures. | And we still have a very good chance of cure. | I am the life and the light of the world. | And if it gets dangerous. | And who is lying? | For you and for me. | Leverage and complement your existing storage infrastructure. | Meet us there and be ready. | Change the color and width of the table borders. | And start paying your debts. | And not just for you. | Other wellness facilities include a fitness area and massage service. | And you know what? | You just sign here and initial here and sign there. | You just sign here and initial here and sign there. | 
6,and,а,CONJ,CONJ,CONJ,"and | And the world couldn't care less. | And now, our weekly visit. | And now you're asking me to betray my country? | And when was the last time you picked them up? | And your father, with all his heart problems. | And what is the topic of your degree work? | We help modern technologies to be available and people mobile. | And the women have that. | And the people here, where do they live? | And that makes you important to me. | And men say they have to wait for women. | And you must remain strong for him. | And what about the speech? | And then you have to change gear. | And this is my office. | "
7,that,что,PREP,PREP,PREP,"that | what | These guys work in pairs, you know that right? | The best that money can buy. | I find it strange that. | That it had to come to this. | I cannot believe that he lied to me. | The defense will suggest that you did. | That in whose eyes should we judge our work? | She always says that, but she never does it. | Now these sewers are all that's left. | I was told that he's been seeing you. | I know that much. | This means that the specified files are missing. | Every word that he ever said is a lie. | But it proves that you're still in there somewhere. | That you have diamond eyes. | "
8,that,которые,VERB,VERB,VERB,that | who | which | are | Especially the ones that remind us of. | There are things that we. | Correct errors that block processing of the data warehouse. | We propose solutions that meet their needs and requirements. | Select videos that you want to share. | Choose words that reflect your personal voice. | The kind that's really not worth repeating. | The list of sites that you want to migrate. | Select the objects that you want to import. | Select unconsumed sketches that you would also like to unfold. | Exclude strings that should not appear in results. | One set of restaurant games that need many skills. | Phone calls that he made to you. | These are just the pictures that come in the frames. | And there's wild animals that roam about everywhere. | 
9,that,это,DET,DET,DET,this | it | that | What line of work is that? | That could be funny. | And how do we do that? | That makes you a hero. | How do they do that? | That must have been so painful. | That was another thing. | I guess that'll be up to you. | That is the only logical explanation. | That was good work. | You can do that now. | Is that aimed at me? | That ties our hands here. | If they want to have that discussion. | I could have played that for two hours. | 
10,for,для,PREP,PREP,PREP,"for | to | For the dishes or my body? | Which file extension should you use for the announcement file? | For you and for me. | For you and for me. | Create a new package for project source files. | And not just for you. | Those were for my voice. | For best results, create a preset. | There was nothing we could do for him. | For eye contour perfection. | For the record, you never told me either. | Can you find such a precedent for us? | A unique identifier for the layout node. | You can specify different setback distances for each edge. | Specifies the dot and dash pattern for a stroke. | "
11,for,за,PREP,PREP,PREP,"for | per | I feel responsible for you. | By the way, thank you for this. | I will come for you. | I am grateful for the clothes you sent me. | I will not forgive them for this. | Two guys asking for me. | Thanks a lot for everything. | How nice for both of you. | Contact your hardware manufacturer for assistance. | Thanks for helping out, sweetie. | But we're paid for that. | Jailed for stealing hay. | Thanks for your support, friends! | Select the dates for the subscriptions you want to view. | Two villagers returned for salt. | "
12,with,с,PREP,PREP,PREP,"with | Two of the rooms have private balconies with great views. | Who will we go out with? | Have you spoken with the other families? | She lives with my mother now. | You need to come over here with us. | Do you need to take your vacation photos with you? | A report already exists with this name. | An interesting game with a very different concept. | Does he live with you? | I was so happy while with you. | What do you want to do with your life? | With a soul in his heart. | I walk with them. | And your father, with all his heart problems. | One room is adapted for guests with reduced mobility. | "
13,with,со,PREP,PREP,PREP,"with | You play checkers with your pop? | With its stormy moments. | But you're coming with me. | I mean, not with me! | It works with all types. | I went with my son. | Your secret is safe with me. | And then suddenly you come in with all of your. | You coming with me? | Can you come have a drink with me? | She wants to have lunch with me. | Come into the bathroom with me? | No one will work with me after that. | And who will ride with me? | He wants to spend time with his family. | "
14,but,но,CONJ,CONJ,CONJ,"but | But things do matter. | But this album's really important to us. | But we mustn't let him have it. | But we have victory. | But it'll be night soon. | But by then we'll be ready. | But you already know that. | But it's a great experience. | The job was started but could not be completed. | But it's not just about the clothes. | But you can become one. | But they need the support of the world community. | I believe you, but there is no remedy. | But you're coming with me. | But she was so busy. | "
15,you,вы,PRON,PRON,PRON,you | How did you know each other? | What do you know about the text? | Tell me you found lindsey. | Glad you're back now on the ship. | You should have it by now. | I think you got them all. | Can you find such a precedent for us? | You almost hit us! | Can you tell us where this is? | Have you spoken with the other families? | But you already know that. | You were a hero of mine. | Are you sure it's the same body? | Is this who you're looking for? | I hope you guys can hear me. | 
16,you,ты,PRON,PRON,PRON,"you | Did you make him? | You left it behind on purpose, didn't ya? | Maybe you can fly. | You play checkers with your pop? | You brought us children. | Why are you still doing this? | You must go pray for a son. | Where you going to meet him? | You started this, now it's in play! | How long have you known about this? | You sure you don't want something to drink? | What did you call me? | You want me to help you? | What would you do in his position? | You used to make trouble on the streets. | "
17,you,вам,PRON,PRON,PRON,"you | I cannot tell you anything. | You will never save her. | You need to give him what he wants. | I think you will find interesting. | You probably get this a lot. | Very best wishes to you all! | But you know that, too. | We offer you something interesting. | I want to show you something. | So appearance is important to you. | Then what have you got to lose? | Let me draw you a map! | I was told that he's been seeing you. | I will get you some sheets. | And we are sure, will answer you! | "
18,you,вас,PRON,PRON,PRON,"you | Do you have a qualifying upgrade license? | You guys get that a lot? | How did you get that phone? | I mean, have you guys ever. | Do you have any particular disabilities? | What makes you a great project manager? | You have a minute? | Maybe not for you. | You have nice dresses. | You have a funny definition of justice. | And so, for you created this section. | You have two days to agree to my demands. | You do not have permission to edit the element. | How nice for both of you. | We have some very good news for you. | "
19,you,тебя,PRON,PRON,PRON,you | For you and for me. | You will have no place in my house. | And not just for you. | I feel responsible for you. | How old are you? | That makes you a hero. | Do you have a permit? | Everyone else is against you. | You got two minutes. | He used to make you so happy. | For you it's the opposite. | Now you got nine minutes! | I talked to local experts to bring you the truth. | I should have let you drive. | You have no list. | 
20,this,это,DET,DET,DET,"this | it | This is the first time so. | I got to write this thing! | This is the worst picture ever made. | By the way, thank you for this. | This troubleshooter fixes many problems. | You started this, now it's in play! | Do you know what this means? | Can we discuss this in private? | This is just me, man, being me. | This is the central wiring shaft! | Come on, we started this together. | Does this sound fine to you? | And who will do all this? | How did you find this place? | This is an outside game. | "
21,this,данном,DET,DET,DET,"this | Learn more about this format here. | In this case, your loss is my gain. | This reference covers both dialog boxes. | In this exercise, you manually place devices. | You can only insert pipes in this mode. | The procedure in this topic includes instructions for this. | One of the most expensive models in this class. | In this lesson, you learned how to create sheets. | Inappropriate arcs in this context! | In this exercise, you added junction boxes and switches. | It cannot be changed at this level. | This illustration shows a map made of polylines. | These network ports are described in this topic. | In this example, a linear edge is selected. | Display the drawing window width conditions defined in this drawing. | "
