ID,Page ID,Local text,English text
1,4,Мне нравится вино.,I like wine.
2,4,Я хочу всё.,I want everything
3,4,Мне нравится зима.,I like winter.
4,4,Я люблю читать.,I love reading.
5,4,Ты знаешь всё.,You know everything.
6,4,Я обожаю готовить.,I enjoy cooking.
7,4,Они знают всё.,They know everything.
8,4,Нам необходимо время.,We need time.
9,4,Мы любим торты.,We love cakes.
10,4,Мне нравится футбол.,I like football.
11,4,Я люблю мясо.,I love meat.
12,4,Я смотрю телевизор.,I watch TV.
13,4,Мне нужно время.,I need time
14,4,Я люблю цветы.,I love flowers.
15,4,Мне нравится читать.,I like reading.
16,4,Я люблю бейсбол.,I love baseball.
17,4,Мы делимся всем.,We share everything.
18,4,Тебе нужны деньги.,You need money.
19,4,Я слышу все.,I hear everything.
20,4,Мне нравятся деньги.,I like money.
21,4,Мне нравится бейсбол.,I like baseball.
22,4,У меня есть работа.,I have work.
23,4,Я люблю кофе.,I love coffee.
24,4,Я люблю еду.,I love food.
25,4,У меня есть информация.,I have information.
26,4,Мне нужны наличные.,I need cash.
27,4,Мы знаем всё.,We know everything.
28,4,У нас ничего нет!,We have nothing!
29,4,Я ненавижу футбол.,I hate football.
30,4,Мы идём домой.,We go home.
31,4,Они пьют кофе.,They drink coffee.
32,4,Вы делаете всё.,You do everything.
33,4,Мы теряем всё.,We lose everything.
34,4,Я люблю музыку.,I love music
35,4,Вам нужна вода.,You need water.
36,4,Я ненавижу биологию.,I hate biology.
37,4,Я знаю его песни.,I know his songs.
38,4,Я знаю её хорошо.,I know her well.
39,4,Мне нужен твой совет.,I need your advice.
40,4,Мне нравится его книга.,I like his book.
41,4,Я знаю свою сестру.,I know my sister.
42,4,Я знаю его имя.,I know his name.
43,4,Я беру его за руку.,I take his hand.
44,4,Мне нужна его помощь.,I need his help.
45,4,Мне нужен ваш телефон.,I need your phone.
46,4,Мне нравится ваша шляпа.,I like your hat.
47,4,Я люблю свою мать.,I love my mother.
48,4,Тебе нужна моя помощь.,You need my help.
49,4,Нам нужна ваша помощь.,We need your help.
50,4,Я рассказываю ей всё.,I tell her everything.
51,4,Мне нужен твой брат.,I need your brother.
52,4,Вы знаете моё имя.,You know my name.
