ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","15","Вы уходите от ответа?","Are you avoiding the question?","Are, Is, Be, Been, Was, Were, Will, Shall","Are","you, your, yours","you","avoiding, avoid, avoided, avoids, avoidin'","avoiding","the, then, though","the","question, questioning, questions, questioned, questionning","question","","?","","","","","","","",""
"2","15","Почему ты спрашиваешь меня?","Why are you asking me?","Why, Where, When, Who, What","Why","are, is, be, been, was, were, will, shall","are","you, your, yours","you","asking, ask, asked, asks, askest, asks'","asking","me, i, my, mine","me","","?","","","","","","","",""
"3","15","Куда ты везешь меня?","Where are you taking me?","Where, When, Why, Who, What","Where","are, is, be, been, was, were, will, shall","are","you, your, yours","you","taking, take, taken, took, takes, taketa, taked, takeing","taking","me, i, my, mine","me","","?","","","","","","","",""
"4","15","Почему ты говоришь мне?","Why are you telling me?","Why, Where, When, Who, What","Why","are, is, be, been, was, were, will, shall","are","you, your, yours","you","telling, tell, told, tells, tellest, tollen","telling","me, i, my, mine","me","","?","","","","","","","",""
"5","15","Почему ты сжигаешь это?","Why are you burning it?","Why, Where, When, Who, What","Why","are, is, be, been, was, were, will, shall","are","you, your, yours","you","burning, burn, burnt, burned, burns, burnest, burnning, burnped","burning","it, he, him, his, its","it","","?","","","","","","","",""
"6","15","Почему вы защищаете его?","Why are you protecting him?","Why, Where, When, Who, What","Why","are, is, be, been, was, were, will, shall","are","you, your, yours","you","protecting, protect, protected, protects, protectest, protects'","protecting","him, he, his, it, its","him","","?","","","","","","","",""
"7","15","Почему вы делаете это?","Why are you doing it?","Why, Where, When, Who, What","Why","are, is, be, been, was, were, will, shall","are","you, your, yours","you","doing, do, does, did, done","doing","it, he, him, his, its","it","","?","","","","","","","",""
"8","15","Почему ты преследуешь меня?","Why are you following me?","Why, Where, When, Who, What","Why","are, is, be, been, was, were, will, shall","are","you, your, yours","you","following, follow, followed, follows","following","me, i, my, mine","me","","?","","","","","","","",""
"9","15","Почему ты защищаешь его?","Why are you defending him?","Why, Where, When, Who, What","Why","are, is, be, been, was, were, will, shall","are","you, your, yours","you","defending, defend, defended, defends, defendest","defending","him, he, his, it, its","him","","?","","","","","","","",""
"10","15","Куда вы нас ведете?","Where are you taking us?","Where, When, Why, Who, What","Where","are, is, be, been, was, were, will, shall","are","you, your, yours","you","taking, take, taken, took, takes, taketa, taked, takeing","taking","us, we, our, ours","us","","?","","","","","","","",""
"11","15","Куда вы ведёте его?","Where are you taking him?","Where, When, Why, Who, What","Where","are, is, be, been, was, were, will, shall","are","you, your, yours","you","taking, take, taken, took, takes, taketa, taked, takeing","taking","him, he, his, it, its","him","","?","","","","","","","",""
"12","15","Почему ты помогаешь мне?","Why are you helping me?","Why, Where, When, Who, What","Why","are, is, be, been, was, were, will, shall","are","you, your, yours","you","helping, help, helped, helps, helpped","helping","me, i, my, mine","me","","?","","","","","","","",""
"13","15","Почему вы преследуете нас?","Why are you following us?","Why, Where, When, Who, What","Why","are, is, be, been, was, were, will, shall","are","you, your, yours","you","following, follow, followed, follows","following","us, we, our, ours","us","","?","","","","","","","",""
"14","15","Как ты справляешься с этим?","How are you handling it?","How, Hown, Hows, Howed, Howest","How","are, is, be, been, was, were, will, shall","are","you, your, yours","you","handling, handle, handled, handles, handlest, handles'","handling","it, he, him, his, its","it","","?","","","","","","","",""
"15","15","Почему ты помогаешь ему?","Why are you helping him?","Why, Where, When, Who, What","Why","are, is, be, been, was, were, will, shall","are","you, your, yours","you","helping, help, helped, helps, helpped","helping","him, he, his, it, its","him","","?","","","","","","","",""
"16","15","Почему ты избегаешь меня?","Why are you avoiding me?","Why, Where, When, Who, What","Why","are, is, be, been, was, were, will, shall","are","you, your, yours","you","avoiding, avoid, avoided, avoids, avoidin'","avoiding","me, i, my, mine","me","","?","","","","","","","",""
"17","15","Куда они везут меня?","Where are they taking me?","Where, When, Why, Who, What","Where","are, is, be, been, was, were, will, shall","are","they, them, their, theirs","they","taking, take, taken, took, takes, taketa, taked, takeing","taking","me, i, my, mine","me","","?","","","","","","","",""
"18","15","Как я мучаю тебя?","How am I torturing you?","How, Hown, Hows, Howed, Howest","How","am, are, be, been, being, is, was, were","am","I, me, my, mine","I","torturing, torture, tortures, tortured, tortures'","torturing","you, your, yours","you","","?","","","","","","","",""
