,word,oxford_sensewords,compared_sensewords,comparison_value
0,word,"['mot', 'bruit [masculine] qui court', 'parole', 'formuler', 'nouvelles']","['mot', 'nouvelle', 'mot', 'dire', 'formuler', 'textuel', 'verbal']",0.6
1,the,"['les', 'la (before a consonant) / l’…', 'le (before a consonant) / l’ (before a vowel)', 'la (before a consonant) / l’ (before a vowel)']","['ce', 'le', 'le', 'tant']",0.5
2,and,"['(et)', '(indique une intention ou un but)', 'plus', 'et', '(et même)', 'de']","['et', 'et aussi', 'et en outre', 'donc et', 'avec']",0.3333333333333333
3,that,"['que (before a consonant) / qu’ (before a vowel)', 'cette', 'cette … (là)', 'comme…', 'celui/celle-là', 'qui', 'ce (before a consonant) / cet (before a vowel)', 'ce (before a consonant) / c’ (before a vowel)', 'cela / ça', 'si', 'tellement', 'ce (before a consonant) / cet (before a vowel) … (là)', 'que']","['que', 'comme', 'afin que', 'qui', 'ce', 'propre', 'donc', 'tel']",0.5384615384615385
4,for,"['en', 'en faveur de', 'malgré', 'pour', 'en raison de', 'pendant', 'en direction de', 'car']","['pour', 'pour', 'au cours de', ""à l'égard de"", 'à des fins', 'car', 'pour']",0.3125
5,with,"['(avec)', 'contre', 'pour', 'en + verbe au participe présent', 'à', '(contre)', 'avec', 'à/au…', 'de']","['avec', 'et en outre', 'en compagnie de']",0.2222222222222222
6,but,"['mais', 'excepté', 'sauf']","['mais', 'et', 'cependant', 'seulement', 'sauf']",0.8333333333333333
7,you,"['tu/toi/te', 'espèce de', 'on', 'tu/vous', 'vous']","['vous', 'tu']",0.3
8,this,"['cette', 'ce (before a consonant) / cet (before a vowel) / cette', 'à venir', 'ce (before a consonant) / cet (before a vowel)', 'qui vient', 'ce (before a consonant…', 'cette … ci', 'ce (before a consonant) / cet (before a vowel) … (ci)']","['ce', 'ce', 'actuel', 'ce', 'donc']",0.5
9,not,"['ne…pas', 'pas', 'non', 'ne … pas', 'n’est-ce pas']","['pas', 'pas']",0.4
10,have,"['manger', 'recevoir', 'faire', 'avoir', 'être', 'prendre (du café', 'permettre', 'faire venir', 'boire', 'faire faire (qqch)', 'du thé)']","['avoir', 'posséder', 'recevoir', 'éprouver', 'tenir', 'tomber', 'avoir', 'porter', 'manifester', 'essuyer', 'nourrir', 'déjà', 'verbe auxiliaire']",0.5454545454545454
11,letter,['lettre'],"['lettre', 'lettre', 'diplôme', 'caractères', 'littéral', 'écrit', 'letters', 'écrire une lettre']",3.0
12,plate,"['assiette', 'plaque [feminine] d’immatriculation', 'dentier', 'argenterie', 'plaque', 'planche', 'plaque [feminine] minéralogique']","['plaque', 'cuisinière', 'assiette', 'feuille', ""plaque d'immatriculation"", 'planchette', 'panneau', 'couvre-joint', 'plate-forme', 'chape', 'badge', 'tôle forte', 'en feuilles', 'lamelleux']",1.0714285714285714
13,treat,"['gâterie', 'plaisir', 'soigner', 'faire plaisir', 'aborder', 'traiter', 'gâter', 'offrir', 'traiter de', 'cadeau']","['considérer', 'se tourner', 'traiter', 'traiter', 'traiter', 'régaler', 'choyer', 'traiter de haut', 'régalade', 'plaisir', 'traitement']",0.5
14,dinner,"['de soirée', 'banquet', 'dîner']","['dîner', 'dîner de gala', 'de repas', 'prié']",0.5
15,necessary,"['inévitable', 'nécessaire']","['nécessaire', 'inévitable', 'nécessaire', 'requis', 'il le faut', 'besoin']",1.25
