,word,local_word,pos
0,Sagittaire,archer,noun
1,Sagittaire,Sagittarian,noun
2,Zorn,Zorn,noun
3,Guantanamo,Guantanamo,noun
4,Guantánamo,Guantanamo,noun
5,Coran,Koran,noun
6,Coran,quraan,noun
7,babeurre,buttermilk,noun
8,refonte,recast,noun
9,refonte,redesign,verb
10,refonte,overhaul,noun
11,refonte,rebuild,verb
12,aqueduc,aqueduct,noun
13,humble,humble,verb
14,humble,lowly,adjective
15,million,million,noun
16,muguet,thrush,noun
17,lexique,lexicon,noun
18,lexique,vocabulary,adjective
19,Isabelle,Isabelle,noun
20,Isabelle,Isabel,noun
21,volaille,poultry,noun
22,tomber,fall,verb
23,tomber,fell,noun
24,tomber,fall down,verb
25,oblitération,obliteration,noun
26,Serbie,Serbia,noun
27,roulement,bearing,noun
28,roulement,rolling,noun
29,internaute,Internet user,noun
30,internaute,web user,noun
31,cuiller,teaspoon,noun
32,Halley,Halley,noun
33,boulimie,bulimia,noun
34,midnight,midnight,noun
35,lombalgie,low back pain,noun
36,asexué,asexual,adjective
37,signal,signal,noun
38,modifiable,editable,adjective
39,modifiable,modifiable,adjective
40,Copenhague,Copenhagen,noun
41,inclure,include,verb
42,rectangulaire,rectangular,adjective
43,rectangulaire,rectangle,noun
44,parmesan,parmesan,noun
45,parmesan,parmesan cheese,noun
46,postérité,seed,noun
47,bavarder,chat,noun
48,bavarder,talk,verb
49,Jamaïque,Jamaica,noun
50,Jamaïque,Jamaican,noun
51,recombinaison,recombination,noun
52,promontoire,promontory,noun
53,promontoire,headland,noun
54,rafraîchissant,refreshing,noun
55,aggravation,worsening,noun
56,audience,hearing,noun
57,glissant,slippery,adjective
58,glissant,sliding,participle
59,fonceur,goer,noun
60,médias,mass media,noun
61,Odyssée,Odyssey,noun
62,universalité,universality,noun
63,hémorragie,hemorrhage,noun
64,hémorragie,bleeding,noun
65,hémorragie,bleed,verb
66,soirée,evening,noun
67,décennal,decadal,adjective
68,décennal,decennial,adjective
69,décennal,ten-year,noun
70,Springer,Springer,noun
71,éternellement,forever,adverb
72,interrelation,interrelationship,noun
73,interrelation,interrelation,noun
74,opportunisme,opportunism,noun
75,plausibilité,plausibility,noun
76,aquifère,aquifer,noun
77,tumulus,tumulus,noun
78,Morrison,Morrison,noun
79,pénétrer,penetrate,verb
80,Goldstein,Goldstein,noun
81,Lipton,Lipton,noun
82,toxicomanie,addiction,noun
83,analgésie,analgesia,noun
84,complet,full,noun
85,complet,complete,verb
86,complet,comprehensive,adjective
87,complet,entire,noun
88,complet,fully,adverb
89,anthologie,anthology,noun
90,varech,kelp,noun
91,tourteau,cake,noun
92,baleinière,whaling,noun
93,Millie,Millie,noun
94,saindoux,lard,noun
95,Pénélope,Penelope,noun
96,schisme,schism,noun
97,épinette,spruce,noun
98,visa,visa,noun
99,lecteur,drive,noun
100,lecteur,reader,noun
101,lecteur,player,noun
102,dépoussiérage,dust removal,noun
103,effectuer,perform,verb
104,effectuer,make,verb
105,risotto,risotto,noun
106,béquille,crutch,noun
107,australien,Australian,noun
108,marginal,marginal,adjective
109,superbement,superbly,adverb
110,superbement,magnificently,noun
111,désinfectant,disinfectant,noun
112,chat,cat,noun
113,chat,chat,noun
114,chronométrage,timekeeping,noun
115,David,David,noun
116,Édimbourg,Edinburgh,noun
117,grille,grid,noun
118,grille,grille,noun
119,sponsor,sponsor,noun
120,cohérent,consistent,adjective
121,ciseau,chisel,noun
122,nihiliste,nihilistic,adjective
123,nihiliste,nihilist,noun
124,blason,coat of arms,noun
125,blason,blazon,noun
126,stratifier,stratify,verb
127,coalescence,coalescence,noun
128,Grouse,grouse,noun
129,mûrir,mature,verb
130,Lite,Lite,noun
131,Shari,Shari,noun
132,préexistant,preexisting,noun
133,consulter,see,verb
134,négoce,trading,noun
135,Welt,welt,noun
136,blind,blind,noun
137,Puck,puck,noun
138,LAN,LAN,noun
139,toutefois,however,adverb
140,toutefois,though,conjunction
141,flegme,phlegm,noun
142,existentiel,existential,adjective
143,Bridge,bridge,noun
144,certain,certain,adjective
145,certain,definitely,adverb
146,Camellia,camellia,noun
147,Monaco,Monaco,noun
148,inclusif,inclusive,adjective
149,Albanais,Albanian,noun
150,transférabilité,transferability,noun
151,transférabilité,number portability,noun
152,tragiquement,tragically,adverb
153,aide,aid,noun
154,aide,assist,verb
155,plasmide,plasmid,noun
156,rechercher,search,verb
157,rechercher,browse,noun
158,guimauve,marshmallow,noun
159,forfaitaire,lump,noun
160,forfaitaire,lump sum,noun
161,forfaitaire,flat rate,noun
162,surchauffer,overheat,verb
163,surchauffer,overheating,noun
164,empoisonnement,poisoning,noun
165,empoisonnement,poison,verb
166,dénigrement,denigration,noun
167,dénigrement,bashing,noun
168,Kantor,Kantor,noun
169,humide,wet,noun
170,humide,humid,adjective
171,isomorphisme,isomorphism,noun
172,crime,crime,noun
173,téléphonique,telephone,noun
174,hibernation,hibernation,noun
175,hibernation,hibernate,noun
176,Conway,Conway,noun
177,Madeleine,Madeleine,noun
178,Madeleine,Magdalen,noun
179,Madeleine,Magdalene,noun
180,invulnérable,invulnerable,adjective
181,bigarré,motley,noun
182,bigarré,variegated,adjective
183,neutralité,neutrality,noun
184,phénolique,phenolic,noun
185,traité,treaty,noun
186,prolifique,prolific,adjective
187,Shelley,Shelley,noun
188,comédien,comedian,noun
189,analogique,analog,noun
190,réductionnisme,reductionism,noun
191,uriner,urinate,verb
192,uriner,urination,noun
193,uriner,passing urine,noun
194,câble,cable,noun
195,tapisser,upholster,verb
196,collage,collage,noun
197,collage,glue,noun
198,actionnement,actuation,noun
199,Djakarta,Jakarta,noun
200,habitant,inhabitant,noun
201,habitant,resident,noun
202,étonnamment,surprisingly,adverb
203,étonnamment,amazingly,adverb
204,étonnamment,astonishingly,noun
205,étonnamment,stunningly,adverb
206,obligeant,accommodating,adjective
207,obligeant,requiring,participle
208,lamantin,manatee,noun
209,arbrisseau,shrubs,noun
210,allergique,allergic,adjective
211,extravagant,extravagant,adjective
212,extravagant,fancy,noun
213,signification,meaning,noun
214,signification,significance,noun
215,inopérant,ineffective,adjective
216,ferraille,scrap,noun
217,ferraille,scrap metal,noun
218,trois,three,numeral
219,privilégié,privileged,adjective
220,indésirable,adverse,adjective
221,indésirable,unwanted,adjective
222,indésirable,undesirable,noun
223,indésirable,junk,noun
224,infâme,infamous,adjective
225,infâme,nefarious,adjective
226,infâme,vile,noun
227,spirituel,spiritual,noun
228,nocivité,harmfulness,noun
229,nocivité,noxiousness,noun
230,défilé,parade,noun
231,défilé,fashion show,noun
232,ah,ah,noun
233,ah,Oh,interjection
234,cholestérol,cholesterol,noun
235,cholestérol,cholesterol level,noun
236,pulpe,pulp,noun
237,fouiller,search,verb
238,fouiller,rummage,verb
239,fouiller,excavate,verb
240,divers,various,adjective
241,crevette,shrimp,noun
242,imagination,imagination,noun
243,Kensington,Kensington,noun
244,tsigane,Gypsy,noun
245,ischémique,ischemic,noun
246,ischémique,coronary,adjective
247,accumulateur,accumulator,noun
248,Rocket,rocket,noun
249,inintéressant,uninteresting,adjective
250,primal,primal,noun
251,dérivation,derivation,noun
252,dérivation,bypass,noun
253,dérivation,diversion,noun
254,debout,stand,verb
255,debout,standing,noun
256,debout,upright,noun
257,gargouille,gargoyle,noun
258,instruire,educate,verb
259,instruire,instruct,verb
260,instruire,educated,adjective
261,instruire,train,noun
262,Patriote,patriot,noun
263,épopée,epic,noun
264,informatif,informative,adjective
265,infamie,infamy,noun
266,abstrait,abstract,noun
267,oreille,ear,noun
268,proscrire,outlaw,verb
269,proscrire,ban,noun
270,protestantisme,Protestantism,noun
271,Belgrade,Belgrade,noun
272,palliatif,palliative,adjective
